instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5
instance_93,72000.0,72000.0,72000.0,42.0,186.0
instance_114,334.0,29.0,66.0,8.0,25.0
instance_196,2122.0,1974.0,72000.0,2517.0,2123.0
instance_139,1008.0,46.0,515.0,72.0,37.0
instance_108,52.0,9.0,32.0,10.0,12.0
instance_105,72000.0,1005.0,1207.0,534.0,583.0
instance_5,152.0,14.0,185.0,11.0,16.0
instance_110,77.0,19.0,127.0,9.0,10.0
instance_8,266.0,31.0,645.0,34.0,81.0
instance_201,72000.0,1246.0,72000.0,859.0,839.0
instance_122,8.0,2.0,51.0,2.0,1.0
instance_96,1260.0,96.0,72000.0,122.0,78.0
instance_92,72000.0,72000.0,72000.0,6.0,23.0
instance_189,72000.0,72000.0,72000.0,72000.0,6517.0
instance_173,191.0,20.0,142.0,48.0,6.0
instance_86,65.0,17.0,814.0,8.0,6.0
instance_161,89.0,32.0,608.0,20.0,62.0
instance_136,301.0,50.0,213.0,74.0,38.0
instance_22,137.0,57.0,72000.0,357.0,184.0
instance_76,197.0,10.0,161.0,10.0,8.0
instance_29,373.0,3497.0,72000.0,222.0,97.0
instance_26,69.0,33.0,172.0,28.0,28.0
instance_80,72000.0,72000.0,72000.0,2668.0,72000.0
instance_51,1192.0,60.0,3980.0,54.0,64.0
instance_208,72000.0,2289.0,72000.0,52.0,1160.0
instance_200,113.0,120.0,72000.0,14.0,28.0
instance_214,72000.0,72000.0,72000.0,37.0,63.0
instance_97,72000.0,101.0,72000.0,2375.0,496.0
instance_155,72000.0,72000.0,72000.0,72000.0,1762.0
instance_181,35.0,6.0,21.0,1.0,9.0
instance_73,72000.0,798.0,72000.0,2051.0,539.0
instance_7,46.0,9.0,118.0,5.0,11.0
instance_179,72000.0,2.0,72000.0,2.0,72000.0
instance_151,2998.0,260.0,1708.0,401.0,840.0
instance_61,693.0,152.0,1392.0,89.0,82.0
instance_57,72000.0,492.0,72000.0,976.0,346.0
instance_152,72000.0,3538.0,72000.0,72000.0,72000.0
instance_12,72000.0,660.0,72000.0,1748.0,1022.0
instance_6,46.0,17.0,104.0,8.0,10.0
instance_102,81.0,12.0,119.0,2.0,2.0
instance_63,933.0,107.0,1606.0,85.0,95.0
instance_101,3935.0,1.0,72000.0,1.0,3502.0
instance_103,1552.0,161.0,1010.0,79.0,68.0
instance_99,445.0,294.0,755.0,215.0,461.0
instance_15,72000.0,72000.0,72000.0,1654.0,72000.0
instance_212,72000.0,105.0,72000.0,731.0,90.0
instance_43,72000.0,473.0,72000.0,39.0,7.0
instance_10,2689.0,48.0,72000.0,19.0,46.0
instance_35,54.0,25.0,201.0,11.0,16.0
instance_32,22.0,28.0,101.0,10.0,38.0
instance_138,72000.0,340.0,72000.0,366.0,472.0
instance_42,70.0,3.0,1900.0,4.0,6.0
instance_215,72000.0,148.0,72000.0,72000.0,218.0
instance_187,35.0,10.0,67.0,7.0,9.0
instance_111,72000.0,9.0,67.0,6.0,5.0
instance_137,295.0,63.0,242.0,97.0,10.0
instance_131,191.0,3.0,11.0,2.0,1.0
instance_146,84.0,3.0,91.0,4.0,30.0
instance_132,222.0,55.0,233.0,18.0,15.0
instance_68,72000.0,24.0,72000.0,12.0,9.0
instance_72,49.0,23.0,650.0,91.0,110.0
instance_140,1100.0,1195.0,1344.0,207.0,426.0
instance_49,1146.0,715.0,5086.0,581.0,619.0
instance_124,90.0,349.0,72000.0,35.0,11.0
instance_115,1607.0,41.0,1285.0,1.0,2.0
instance_167,3300.0,3927.0,72000.0,1376.0,1117.0
instance_45,72000.0,872.0,72000.0,767.0,975.0
instance_171,72000.0,1.0,485.0,2.0,1.0
instance_75,72000.0,233.0,72000.0,401.0,224.0
instance_149,139.0,27.0,437.0,163.0,14.0
instance_83,72000.0,63.0,91.0,39.0,6.0
instance_37,1.0,1.0,72000.0,1.0,1.0
instance_9,20.0,11.0,47.0,4.0,5.0
instance_156,168.0,6.0,653.0,1.0,2.0
instance_127,171.0,19.0,250.0,11.0,15.0
instance_209,759.0,57.0,126.0,51.0,38.0
instance_144,765.0,203.0,1292.0,147.0,89.0
instance_202,72000.0,1131.0,72000.0,5973.0,693.0
instance_91,6.0,20.0,49.0,12.0,4.0
instance_195,72000.0,63.0,1741.0,29.0,74.0
instance_112,1.0,1.0,4.0,1.0,1.0
instance_192,75.0,15.0,61.0,11.0,10.0
instance_1,106.0,2.0,99.0,2.0,3.0
instance_48,139.0,146.0,1319.0,140.0,212.0
instance_194,306.0,76.0,693.0,316.0,106.0
instance_85,3145.0,219.0,72000.0,5.0,8.0
instance_50,237.0,189.0,584.0,104.0,116.0
