instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10
instance_615,2.488,3.972,18.812,8.024,7.62,9.516,35.392,7.528,6.588,7.576
instance_1002,2431.13,2797.04,1853.59,1499.26,943.636,811.564,846.0,1145.62,469.648,1099.57
instance_1643,6.536,5.884,6.0,8.74,7.412,21.832,32.876,8.752,57.624,10.432
instance_1609,15.128,17.864,8.868,16.24,6.432,37.112,8.856,13.776,26.74,10.54
instance_1384,25.052,444.72,107.288,110.9,271.22,71.552,667.92,96.052,4371.26,260.296
instance_754,50000.0,99.196,136.524,1376.71,192.98,361.792,103.008,1667.66,56.12,102.22
instance_657,50000.0,655.696,122.98,331.072,127.668,50000.0,106.384,559.624,133.22,222.904
instance_307,50000.0,4764.07,50000.0,1050.36,50000.0,50000.0,3045.06,50000.0,2013.28,50000.0
instance_523,0.048,0.092,0.192,0.104,0.136,0.26,0.428,0.12,0.028,0.108
instance_1886,50000.0,2709.59,292.592,792.092,186.86,705.912,181.824,986.096,258.192,451.184
instance_1265,0.001,0.004,0.004,0.004,0.004,0.012,0.036,0.004,50000.0,0.004
instance_1976,1290.57,932.948,744.844,913.216,763.544,879.964,1397.72,494.06,601.804,447.32
instance_893,318.684,297.532,35.9,57.9,45.192,84.592,48.14,48.252,84.072,85.144
instance_659,50000.0,1357.41,214.796,511.792,137.588,50000.0,122.884,722.436,133.804,256.808
instance_353,2877.06,3319.25,641.752,2050.76,2975.75,1199.74,3123.94,957.264,853.764,718.544
instance_1396,230.344,104.44,77.656,57.712,79.924,70.956,108.848,54.128,103.44,87.256
instance_1401,24.956,35.796,37.8,27.216,4.768,23.176,59.476,4.132,8.82,106.168
instance_1330,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1640,0.244,0.204,0.716,0.916,1.052,1.052,13.416,0.804,12.12,0.816
instance_1670,50000.0,1883.28,2656.73,2955.78,1611.71,1544.64,1541.11,50000.0,4470.19,3102.02
instance_1835,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,4347.99,50000.0
instance_1004,252.504,135.696,48.808,123.296,58.54,136.224,54.424,74.632,61.4,73.896
instance_299,656.36,1105.42,1380.25,97.912,982.94,670.008,3391.8,359.312,365.804,440.38
instance_1715,50000.0,50000.0,4223.95,3430.17,50000.0,50000.0,50000.0,3239.06,50000.0,50000.0
instance_1315,17.388,8.612,5.94,16.02,3.032,6.856,8.752,6.252,18.684,6.852
instance_1113,32.724,123.424,328.112,99.292,152.564,112.364,145.484,2588.34,294.136,142.324
instance_590,13.096,5.236,5.852,22.392,8.848,18.08,11.828,14.648,18.1,9.512
instance_1970,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1890,1419.27,2499.61,214.32,350.012,203.332,509.948,147.316,1228.12,113.528,275.948
instance_610,3221.01,700.536,399.832,1189.72,376.788,874.78,336.428,1536.14,656.492,344.564
instance_641,94.448,51.688,19.928,24.252,11.16,50000.0,13.316,37.96,21.264,30.572
instance_152,50000.0,383.332,389.608,2524.88,338.764,1740.92,270.604,3347.83,50000.0,171.772
instance_1064,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,5.132,50000.0,13.876
instance_666,1547.74,667.528,342.272,335.032,185.62,50000.0,149.012,774.936,90.816,361.448
instance_927,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1244,0.008,0.024,0.016,0.024,0.02,0.028,0.144,0.016,0.06,0.016
instance_1798,1240.68,538.436,100.936,195.748,169.788,221.796,704.768,406.18,148.232,82.936
instance_1030,129.916,118.86,32.316,60.812,26.536,50.664,19.06,53.304,52.56,41.488
instance_1447,72.484,27.552,14.404,22.128,17.872,21.868,154.492,31.252,15.3,12.768
instance_175,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_677,2489.66,847.364,277.716,364.788,220.292,50000.0,151.08,961.872,172.684,399.824
instance_1700,1934.18,1877.63,1339.52,2299.62,1710.29,1787.8,1433.6,1631.46,1916.43,1240.63
instance_369,3313.14,50000.0,1105.94,50000.0,50000.0,331.044,50000.0,236.396,50000.0,3055.03
instance_1082,3.096,1.204,35.58,4.152,3.68,9.212,20.876,37.432,9.036,36.036
instance_203,51.496,40.952,35.544,58.916,45.264,89.484,53.58,65.08,142.752,51.356
instance_1869,50000.0,50000.0,63.2,204.26,119.6,4440.79,150.796,61.928,32.968,59.416
instance_806,50000.0,50000.0,50000.0,50000.0,50000.0,4732.93,50000.0,50000.0,50000.0,50000.0
instance_28,913.436,454.676,374.884,199.052,684.592,298.76,909.452,204.768,939.528,429.28
instance_444,851.28,2269.66,3126.98,1737.0,4265.06,176.528,4279.86,1364.23,4937.92,302.596
instance_1442,184.112,57.76,22.032,53.132,21.968,87.276,161.388,74.38,29.508,35.944
instance_1196,0.004,0.004,0.024,0.024,0.032,0.028,0.096,0.024,0.004,0.024
instance_1824,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_863,50000.0,900.22,1717.3,1240.9,904.088,814.88,1254.14,1430.15,616.388,889.96
instance_435,106.404,161.864,86.668,89.076,131.848,127.796,193.98,61.776,482.42,87.464
instance_1727,864.864,418.536,420.952,408.94,464.292,533.656,685.76,443.648,2662.4,804.876
instance_885,71.412,81.088,18.244,59.78,25.084,49.728,10.156,41.34,24.432,27.68
instance_1931,64.712,36.9,38.844,33.976,20.572,51.556,24.928,38.968,11.084,37.732
instance_1300,0.02,0.016,0.088,0.088,0.104,0.084,0.42,0.096,0.016,0.088
instance_1140,50000.0,4942.14,4801.18,50000.0,50000.0,50000.0,4887.57,50000.0,2669.03,50000.0
instance_111,782.06,515.124,506.552,1184.49,583.496,1689.15,417.924,2685.19,177.212,687.12
instance_474,0.208,0.22,0.188,0.284,0.18,0.496,0.672,0.236,0.476,0.216
instance_1340,46.808,14.784,26.452,8.908,8.336,14.82,32.084,13.792,26.448,14.832
instance_169,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_860,50000.0,140.716,234.34,1092.67,130.396,462.248,106.444,2544.64,58.648,166.38
instance_1887,2138.82,722.104,132.304,174.448,80.816,266.144,76.032,415.212,119.176,179.204
instance_1883,50000.0,50000.0,50000.0,50000.0,1055.96,50000.0,4634.73,843.224,50000.0,50000.0
instance_363,852.244,2565.65,1477.24,1466.64,50000.0,50000.0,50000.0,1889.25,50000.0,2083.05
instance_1929,553.688,439.116,133.812,158.52,74.708,264.516,200.504,105.556,469.772,136.872
instance_1498,280.644,219.88,146.268,349.888,138.596,82.656,114.184,318.208,59.34,351.36
instance_186,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_396,73.284,50000.0,196.308,50000.0,50000.0,50000.0,50000.0,19.856,1467.79,19.792
instance_1655,172.412,347.156,67.124,441.464,569.348,489.652,171.404,152.26,50000.0,116.772
instance_1518,321.472,196.724,65.484,190.512,97.744,214.816,62.32,100.864,201.304,62.876
instance_1833,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1424,2489.27,4629.89,309.076,50000.0,2761.53,478.316,2843.19,718.38,1000.04,600.616
instance_710,19.776,89.956,187.22,2760.16,98.692,273.112,278.304,984.432,171.752,142.152
instance_208,2.404,2.388,0.676,1.88,1.1,4.664,3.824,0.824,5.904,0.852
instance_1860,3780.22,629.748,94.14,111.056,386.164,420.368,162.392,54.596,3165.84,32.676
instance_1672,50000.0,50000.0,50000.0,1108.13,50000.0,50000.0,50000.0,50000.0,50000.0,1885.94
instance_214,148.96,146.176,133.732,329.112,156.896,103.448,146.408,380.112,2365.59,347.552
instance_1533,150.736,96.972,88.42,37.928,57.948,98.924,88.476,41.92,624.696,90.572
instance_1123,20.048,15.28,55.18,2514.3,56.928,65.732,48.724,44.52,29.444,46.072
instance_557,326.88,221.708,17.996,56.012,6.724,37.168,8.916,87.576,10.488,12.396
instance_1145,50000.0,1194.04,1170.87,4153.16,1425.08,2256.87,993.372,3060.09,739.408,1413.28
instance_1685,50000.0,50000.0,2039.69,4970.08,3025.68,2274.54,3500.22,3097.62,1900.63,2050.6
instance_43,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1356,3.66,3.844,1.204,1.076,1.096,7.188,9.876,1.148,0.688,1.212
instance_1908,160.048,16.184,80.168,90.848,65.216,128.944,78.048,36.368,220.176,30.916
instance_1085,0.536,0.612,3.324,3.592,4.26,21.524,8.496,3.52,3.964,3.876
instance_1515,197.14,114.34,43.64,175.92,111.172,166.608,52.208,72.22,156.648,58.976
instance_1846,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,3651.08,50000.0
instance_1434,996.252,370.508,77.764,161.604,83.544,781.512,173.696,96.988,160.528,96.8
instance_1023,133.14,125.384,22.848,69.248,23.656,66.228,20.84,57.4,58.276,35.812
instance_1431,1878.72,1095.32,430.54,1473.39,558.36,2792.58,1593.12,1031.98,2196.58,577.176
instance_1021,1361.04,127.984,113.304,1031.42,75.408,112.572,35.452,2547.05,24.984,64.468
instance_1349,2844.72,126.892,0.54,0.576,0.524,1.752,4.016,0.52,0.3,0.536
instance_651,133.4,68.664,12.468,21.904,12.132,50000.0,11.328,26.732,15.1,16.424
instance_1389,1138.0,760.424,248.4,231.508,375.268,308.748,495.796,187.596,458.808,355.664
instance_288,50000.0,240.7,477.428,50000.0,479.568,206.456,215.004,2598.96,102.12,254.78
instance_1960,8.48,6.916,4.444,4.552,2.328,50000.0,5.628,5.924,12.608,4.9
instance_1041,1402.67,50000.0,50000.0,50000.0,50000.0,50000.0,18.528,50000.0,80.524,50000.0
instance_1373,0.196,0.136,0.208,0.16,0.164,0.204,0.092,0.204,0.16,0.212
instance_1472,21.204,4.16,9.856,10.848,8.552,35.708,2.576,25.828,36.896,11.12
instance_1184,0.036,0.032,0.212,0.216,0.264,0.348,0.624,0.204,50000.0,0.212
instance_1266,0.004,0.001,0.004,0.004,0.008,0.012,0.048,0.004,0.001,0.004
instance_133,0.008,0.008,0.02,0.012,0.012,0.028,0.068,0.012,0.044,0.012
instance_1368,2.64,1.36,2.308,2.02,1.456,3.532,4.376,2.212,0.296,2.316
instance_812,427.06,393.22,34.528,103.32,46.748,149.208,113.904,48.12,68.008,38.416
instance_1010,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_77,0.044,0.036,0.084,0.072,0.088,0.148,0.444,0.08,0.704,0.08
instance_901,23.4,6.604,5.076,5.496,2.616,7.72,3.416,6.952,7.652,8.128
instance_1475,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1943,444.352,417.188,1067.24,251.908,1140.5,302.148,950.176,120.84,1064.8,2758.8
instance_234,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1322,2704.8,607.232,272.016,611.82,385.144,174.956,373.9,383.448,244.34,429.824
instance_1873,0.188,0.04,0.824,0.832,0.944,0.66,2.332,0.828,0.028,0.788
instance_606,211.36,171.432,36.0,138.28,91.656,122.024,75.32,56.728,190.996,64.32
instance_516,606.388,77.704,14.348,97.992,53.688,106.212,63.84,36.328,211.064,36.812
instance_1460,4.34,1.352,1.792,0.4,1.04,0.756,1.664,0.916,5.836,1.5
instance_1993,1.64,1.56,6.384,3.472,3.54,5.288,13.62,5.952,1.116,6.5
instance_1260,0.004,0.004,0.004,0.008,0.008,0.016,50000.0,0.004,0.004,0.004
instance_339,100.78,132.512,120.98,2701.98,61.424,152.252,112.796,2630.24,1056.48,113.94
instance_582,2.084,0.972,1.976,1.96,2.136,3.988,8.892,2.024,0.62,1.976
instance_1005,1487.95,3052.73,734.612,684.888,597.796,592.788,1521.88,586.684,642.12,589.116
instance_1750,50000.0,50000.0,1706.53,50000.0,50000.0,50000.0,50000.0,1643.34,50000.0,50000.0
instance_1517,80.112,22.044,61.02,44.64,21.156,30.644,18.788,25.004,63.108,26.072
instance_837,881.392,50000.0,95.0,1366.36,50000.0,57.536,50000.0,20.332,50000.0,50000.0
instance_503,0.64,1.888,1.708,0.984,0.604,3.512,0.704,1.544,0.588,0.332
instance_1536,87.588,55.852,47.736,40.204,55.784,67.632,79.22,38.984,956.82,105.352
instance_196,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1982,30.08,49.192,5.5,80.192,30.856,61.244,41.452,46.628,39.78,19.696
instance_719,50000.0,2111.76,613.116,1707.59,694.472,386.108,456.096,2011.24,303.256,403.808
instance_473,0.192,0.152,0.144,0.216,0.14,0.384,0.404,0.252,0.356,0.192
instance_23,288.072,242.684,360.088,580.128,563.736,505.5,99.372,142.644,433.404,88.648
instance_1114,18.38,13.46,87.188,822.772,106.44,19.804,162.348,90.296,60.372,90.02
instance_387,1.184,0.136,12.628,13.368,13.932,4.08,19.568,11.688,0.108,10.724
instance_679,121.212,63.044,24.536,29.916,14.028,50000.0,18.652,70.036,36.516,32.988
instance_1762,2270.82,50000.0,4357.11,4566.32,50000.0,50000.0,50000.0,1681.77,50000.0,2699.11
instance_373,432.068,317.676,302.92,308.26,427.784,860.904,562.692,344.78,1832.0,402.072
instance_212,323.98,368.812,281.268,568.284,306.38,835.012,387.836,446.772,1042.59,440.54
instance_278,50000.0,1170.35,681.26,773.568,501.124,759.672,831.448,240.632,412.3,441.612
instance_807,4854.18,50000.0,2116.07,2574.92,3308.01,1183.86,1394.2,1498.88,649.308,1450.44
instance_573,50000.0,50000.0,50000.0,2602.94,50000.0,2900.03,50000.0,1698.95,50000.0,50000.0
instance_1295,0.004,0.004,0.012,0.012,0.016,0.02,0.052,0.012,50000.0,0.012
instance_1060,50000.0,5.98,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1968,1394.2,555.6,503.204,591.4,356.332,641.956,386.108,2671.81,386.98,437.216
instance_1354,767.98,35.244,0.492,0.48,0.488,12.46,3.272,0.464,0.256,0.496
instance_1500,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_970,1936.58,83.572,71.608,2862.58,75.148,114.62,61.916,1673.56,35.552,176.636
instance_934,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1901,50000.0,50000.0,50000.0,50000.0,50000.0,4140.05,50000.0,528.62,50000.0,3854.2
instance_319,50000.0,951.216,445.56,3366.32,439.88,2030.61,671.692,2702.37,476.064,423.664
instance_922,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1905,50000.0,50000.0,50000.0,50000.0,97.596,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1845,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,4094.4,50000.0
instance_931,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1499,3868.58,50000.0,2513.33,3871.44,4372.76,3777.98,1874.77,2845.13,144.36,50000.0
instance_1037,4004.07,50000.0,46.888,2004.84,50000.0,66.072,1773.83,429.576,50000.0,50000.0
instance_782,0.084,0.024,0.072,0.172,0.124,0.072,0.832,0.04,0.276,0.036
instance_1348,860.92,6.736,0.536,0.576,0.524,2.116,3.548,0.504,0.276,0.536
instance_1329,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_445,59.084,2091.37,1016.04,50000.0,1114.32,272.916,903.676,2617.32,22.064,53.144
instance_229,1350.8,808.272,322.724,732.756,579.744,558.048,234.6,682.728,393.804,470.6
instance_347,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,2908.84,50000.0,2126.74,50000.0
instance_178,50000.0,50000.0,50000.0,50000.0,50000.0,4368.83,50000.0,50000.0,50000.0,50000.0
instance_1001,50000.0,50000.0,50000.0,50000.0,50000.0,4788.86,50000.0,50000.0,50000.0,4858.2
instance_1946,1.068,0.912,17.456,3.264,2.88,6.388,8.968,11.076,8.884,11.412
instance_1872,0.188,0.036,0.824,0.812,0.904,0.648,2.264,0.812,0.028,0.8
instance_1732,50000.0,50000.0,3709.22,50000.0,50000.0,50000.0,50000.0,1312.17,50000.0,1723.42
instance_1561,27.44,38.948,15.052,34.08,17.672,59.856,20.836,28.9,45.408,20.452
instance_1743,97.068,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,1407.87,50000.0,50000.0
instance_790,1712.29,63.44,59.172,958.252,50.4,154.748,41.576,2583.93,25.44,92.376
instance_574,42.036,36.736,11.864,30.652,13.544,35.32,17.592,14.816,31.52,12.036
instance_1391,61.264,48.796,33.224,40.304,33.96,50.7,56.9,52.268,35.396,49.092
instance_741,4.176,5.116,0.648,0.848,0.676,1.448,1.556,0.548,2.276,0.58
instance_150,50000.0,50000.0,50000.0,50000.0,50000.0,926.62,50000.0,50000.0,50000.0,50000.0
instance_1193,0.008,0.008,0.024,0.024,0.032,0.036,0.216,0.024,50000.0,0.024
instance_50,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
instance_1408,6.576,11.672,10.696,10.604,12.288,24.988,11.708,12.012,24.536,17.212
instance_1897,12.644,1.0,1.168,130.536,0.952,11.476,3.284,761.58,2.788,3.808
instance_1108,415.68,50.724,164.988,2733.6,102.608,100.9,169.0,2584.46,252.056,122.584
instance_200,627.7,345.796,455.436,427.42,675.076,610.028,468.752,443.776,1751.17,539.192
instance_309,50000.0,50000.0,50000.0,1051.4,50000.0,50000.0,3830.57,50000.0,50000.0,50000.0
instance_459,16.12,64.464,18.564,32.256,21.368,8.172,59.072,49.748,31.328,17.124
