instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5
instance_52,317.0,17.0,72000.0,22.0,14.0
instance_212,72000.0,105.0,72000.0,731.0,90.0
instance_144,765.0,203.0,1292.0,147.0,89.0
instance_177,72000.0,1.0,72000.0,1.0,72000.0
instance_28,1203.0,444.0,72000.0,275.0,294.0
instance_206,5.0,2.0,39.0,1.0,1.0
instance_203,605.0,53.0,4847.0,95.0,54.0
instance_137,295.0,63.0,242.0,97.0,10.0
instance_178,72000.0,1.0,72000.0,1.0,72000.0
instance_185,1012.0,200.0,4340.0,103.0,282.0
instance_216,2385.0,166.0,903.0,434.0,341.0
instance_126,147.0,337.0,1973.0,10.0,6.0
instance_37,1.0,1.0,72000.0,1.0,1.0
instance_175,72000.0,1.0,2448.0,1.0,134.0
instance_146,84.0,3.0,91.0,4.0,30.0
instance_141,24.0,2.0,25.0,1.0,2.0
instance_176,72000.0,1.0,72000.0,1.0,1979.0
instance_145,72000.0,72000.0,72000.0,276.0,1333.0
instance_134,368.0,122.0,304.0,105.0,29.0
instance_75,72000.0,233.0,72000.0,401.0,224.0
instance_160,58.0,18.0,72000.0,5.0,2.0
instance_59,5866.0,7.0,72000.0,9.0,72.0
instance_44,72000.0,50.0,72000.0,72.0,108.0
instance_193,72000.0,72000.0,6231.0,5426.0,2808.0
instance_7,46.0,9.0,118.0,5.0,11.0
instance_156,168.0,6.0,653.0,1.0,2.0
instance_12,72000.0,660.0,72000.0,1748.0,1022.0
instance_30,793.0,74.0,72000.0,249.0,275.0
instance_64,425.0,103.0,776.0,38.0,39.0
instance_204,48.0,14.0,17.0,10.0,21.0
instance_67,72000.0,72000.0,72000.0,3748.0,1564.0
instance_174,20.0,6.0,6.0,3.0,3.0
instance_213,839.0,23.0,578.0,54.0,77.0
instance_179,72000.0,2.0,72000.0,2.0,72000.0
instance_39,1.0,1.0,72000.0,1.0,1.0
instance_188,1239.0,54.0,72000.0,72000.0,342.0
instance_121,11.0,2.0,44.0,3.0,2.0
instance_170,72000.0,5168.0,72000.0,72000.0,2370.0
instance_31,749.0,284.0,838.0,128.0,419.0
instance_142,577.0,31.0,1345.0,53.0,39.0
instance_191,100.0,11.0,41.0,6.0,6.0
instance_60,72000.0,9.0,3461.0,2.0,18.0
instance_105,72000.0,1005.0,1207.0,534.0,583.0
instance_140,1100.0,1195.0,1344.0,207.0,426.0
instance_36,1.0,1.0,72000.0,1.0,1.0
instance_166,666.0,31.0,20.0,599.0,476.0
instance_42,70.0,3.0,1900.0,4.0,6.0
instance_47,72000.0,3229.0,72000.0,1448.0,509.0
instance_187,35.0,10.0,67.0,7.0,9.0
instance_169,72000.0,2208.0,72000.0,72000.0,2031.0
instance_111,72000.0,9.0,67.0,6.0,5.0
instance_190,42.0,29.0,190.0,51.0,120.0
instance_116,72000.0,8.0,72000.0,1.0,1.0
instance_23,753.0,238.0,72000.0,1416.0,608.0
instance_131,191.0,3.0,11.0,2.0,1.0
instance_151,2998.0,260.0,1708.0,401.0,840.0
instance_38,1.0,1.0,72000.0,1.0,1.0
instance_88,72000.0,72000.0,72000.0,26.0,76.0
instance_197,148.0,32.0,221.0,22.0,112.0
instance_201,72000.0,1246.0,72000.0,859.0,839.0
instance_57,72000.0,492.0,72000.0,976.0,346.0
instance_195,72000.0,63.0,1741.0,29.0,74.0
instance_101,3935.0,1.0,72000.0,1.0,3502.0
instance_189,72000.0,72000.0,72000.0,72000.0,6517.0
instance_128,233.0,3.0,4.0,4.0,1.0
instance_94,72000.0,72000.0,72000.0,509.0,1978.0
instance_63,933.0,107.0,1606.0,85.0,95.0
instance_18,11.0,2.0,27.0,1.0,2.0
instance_114,334.0,29.0,66.0,8.0,25.0
instance_72,49.0,23.0,650.0,91.0,110.0
instance_106,399.0,43.0,18.0,4.0,4.0
instance_147,72000.0,111.0,2293.0,5.0,553.0
instance_117,72000.0,8.0,72000.0,3.0,2.0
instance_73,72000.0,798.0,72000.0,2051.0,539.0
instance_27,2744.0,15.0,2201.0,1.0,2.0
instance_55,103.0,2.0,68.0,2.0,3.0
instance_26,69.0,33.0,172.0,28.0,28.0
instance_53,81.0,7.0,94.0,4.0,2.0
instance_130,72000.0,30.0,481.0,64.0,66.0
