instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5
instance_181,35.0,6.0,21.0,1.0,9.0
instance_59,5866.0,7.0,72000.0,9.0,72.0
instance_111,72000.0,9.0,67.0,6.0,5.0
instance_126,147.0,337.0,1973.0,10.0,6.0
instance_51,1192.0,60.0,3980.0,54.0,64.0
instance_139,1008.0,46.0,515.0,72.0,37.0
instance_82,5.0,3.0,27.0,2.0,2.0
instance_50,237.0,189.0,584.0,104.0,116.0
instance_67,72000.0,72000.0,72000.0,3748.0,1564.0
instance_130,72000.0,30.0,481.0,64.0,66.0
instance_118,49.0,8.0,275.0,4.0,15.0
instance_152,72000.0,3538.0,72000.0,72000.0,72000.0
instance_155,72000.0,72000.0,72000.0,72000.0,1762.0
instance_23,753.0,238.0,72000.0,1416.0,608.0
instance_189,72000.0,72000.0,72000.0,72000.0,6517.0
instance_83,72000.0,63.0,91.0,39.0,6.0
instance_183,72000.0,2673.0,72000.0,72000.0,72000.0
instance_133,135.0,17.0,105.0,6.0,8.0
instance_142,577.0,31.0,1345.0,53.0,39.0
instance_89,72000.0,72000.0,72000.0,152.0,449.0
instance_172,72000.0,72000.0,72000.0,210.0,129.0
instance_156,168.0,6.0,653.0,1.0,2.0
instance_17,30.0,9.0,49.0,21.0,8.0
instance_99,445.0,294.0,755.0,215.0,461.0
instance_182,72000.0,401.0,72000.0,1717.0,732.0
instance_44,72000.0,50.0,72000.0,72.0,108.0
instance_185,1012.0,200.0,4340.0,103.0,282.0
instance_73,72000.0,798.0,72000.0,2051.0,539.0
instance_211,72000.0,4681.0,72000.0,307.0,1195.0
instance_188,1239.0,54.0,72000.0,72000.0,342.0
instance_192,75.0,15.0,61.0,11.0,10.0
instance_141,24.0,2.0,25.0,1.0,2.0
instance_187,35.0,10.0,67.0,7.0,9.0
instance_58,72000.0,544.0,72000.0,72000.0,1717.0
