instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5
instance_32,22.0,28.0,101.0,10.0,38.0
instance_180,931.0,116.0,936.0,14.0,39.0
instance_146,84.0,3.0,91.0,4.0,30.0
instance_89,72000.0,72000.0,72000.0,152.0,449.0
instance_12,72000.0,660.0,72000.0,1748.0,1022.0
instance_33,30.0,73.0,71.0,18.0,1.0
instance_5,152.0,14.0,185.0,11.0,16.0
instance_109,467.0,524.0,72000.0,141.0,153.0
instance_183,72000.0,2673.0,72000.0,72000.0,72000.0
instance_201,72000.0,1246.0,72000.0,859.0,839.0
instance_203,605.0,53.0,4847.0,95.0,54.0
