instance,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_58,feature_59,feature_60,feature_61,feature_62,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_56,feature_57
instance_678,1600.0,6800.0,1572.0,6772.0,0.0712,0.0164,0.9284,1.9688,2.342,0.0,4.0,2.7548,0.0308,0.2212,0.0304,0.0408,0.524,0.0,0.0,3.8844,0.0308,1.1192,0.012,0.0616,10.684,0.91,0.7188,0.0,4.0,13.028,0.0152,1.5404,0.0024,0.038,9.2072,1.9964,0.06,1.0916,0.0236,0.118,0.0464,0.9008,0.014,0.0968,11.5448,0.4416,0.97,0.2276,1.1428,9.17,16.0,0.0,16.0,16.0,0.0,15760.4,0.0748,15112.0,16184.0,16184.0,15112.0,15908.0,15644.0,15876.0,96.072,0.2864,86.98,109.956,109.956,86.98,103.912,92.772,93.316,1.5632,2.4092,0.0188,4.0,2.8332,0.2492,2.246,0.818,1.5524,0.356,2.5124,0.016,1.5296,0.6584,0.1116,0.4864,0.1752,0.3084,57.544,1.4588,348.98,0.3248,348.0,312.0,384.0,3.7872,0.84,3.4172,0.1704,46.676,1.1444,348.424,0.3096,348.0,316.0,384.0,1.4872,1.552,3.3728,0.1512,1.3084,2.342
instance_1540,209528.0,728000.0,70024.0,392120.0,7.9688,3.446,0.7144,1.4348,2.122,0.0,4.0,4.5976,0.0008,0.9504,0.0004,0.0036,4.3716,0.0,0.6696,2.2812,0.0008,5.608,0.0004,0.082,7.6656,0.16,0.26,0.0,2.5,5.2564,0.0004,8.9296,0.0,0.0708,5.9972,2.4176,0.0004,10.6468,0.0,0.0648,,,,,,,,,,,27.2288,0.4288,20.0,32.0,4.256,3543.0,1.2732,2652.0,5476.0,5476.0,2652.0,5476.0,2940.0,3104.0,140.512,0.7548,100.484,174.352,174.352,100.484,174.352,138.872,148.336,0.8256,3.6332,0.0,3.9572,1.67,0.118,1.4468,0.2292,0.4772,0.1228,2.6488,0.0,0.9484,0.188,0.0532,0.1756,0.0916,0.1004,7854.0,3.918,9974.0,2.6672,13228.0,0.0,13340.0,5.9804,3.9864,4.1624,1.6768,5882.8,1.282,13482.8,0.0372,13490.0,13288.0,13616.0,1.8228,6.2292,3.4444,0.2024,0.3784,2.344
instance_597,194756.0,816000.0,79460.0,464000.0,5.804,3.0648,0.6876,1.6344,1.7488,0.0,4.0,4.1576,0.0008,0.7492,0.0004,0.0012,3.6832,0.0,0.33,2.1332,0.0008,2.0388,0.0004,0.002,10.284,0.0776,0.1544,0.0,1.3332,3.3884,0.0004,1.9928,0.0,0.0008,9.2148,2.1212,0.0004,2.0736,0.0,0.0008,0.0012,1.71,0.0004,0.0028,14.9724,1.0248,1.1228,0.3548,2.2856,13.1564,53.38,0.1424,52.0,56.0,2.5772,1024.48,0.9724,532.0,1536.0,1436.0,756.0,1172.0,792.0,1032.0,30.0392,0.6544,21.9848,47.492,36.0932,23.7128,32.6464,26.7412,29.4232,0.31,7.4336,0.0,2.706,1.4636,0.0,0.2648,0.0008,0.024,0.1232,2.8864,0.0,0.8424,0.1788,0.0032,0.164,0.09,0.106,4774.0,0.1968,15416.0,0.0072,15416.0,15396.0,15396.0,2.2016,0.7328,3.2164,0.0164,7337.6,0.8768,15200.0,0.0544,15252.0,14932.0,15416.0,1.2996,6.7204,3.3996,0.1728,0.1344,0.4012
instance_822,5892.0,91548.0,5860.0,91548.0,0.022,0.0,0.256,2.8188,1.9552,0.0,4.0,4.468,0.0072,2.308,0.0056,0.0684,3.9332,0.0,2.3912,3.6184,0.0072,2.1724,0.0012,0.02,11.4728,2.8584,1.0492,0.0,3.652,10.5724,0.0052,1.5048,0.0008,0.0112,10.5552,3.3876,0.0088,1.1632,0.0012,0.0124,0.0072,5.7768,0.0004,0.168,11.2616,1.1528,3.0884,0.016,2.0,6.9924,22.8088,0.3992,20.0,28.0,3.3768,3786.96,0.9364,2308.0,5132.0,4740.0,2448.0,4520.0,2796.0,3892.0,90.564,0.8568,55.112,121.052,120.136,60.004,102.432,75.808,89.828,3.1684,1.35,0.3692,3.8736,3.87,1.1032,3.8496,2.9684,3.742,0.1036,3.1488,0.0056,0.3236,0.212,0.0072,0.1652,0.0132,0.1076,100.692,10.2264,2341.44,0.2232,2348.0,2252.0,2436.0,19.3484,0.6792,3.964,0.078,98.388,0.5976,2351.72,0.1196,2352.0,2260.0,2440.0,13.4668,1.1672,3.9632,0.006,0.7416,2.2192
instance_1420,920000.0,4280000.0,249480.0,1572000.0,10.7216,6.89,0.6344,1.3852,4.1996,0.0,4.0,5.2208,0.0,1.514,0.0,0.0008,3.8864,0.0,2.2692,3.7108,0.0,2.2144,0.0,0.0004,11.4648,0.9592,0.634,0.0,3.238,12.5232,0.0,2.0216,0.0,0.0004,10.4332,2.98,0.0,2.224,0.0,0.0004,0.0004,2.6164,0.0,0.0008,14.5156,0.5612,2.8724,0.1096,2.4444,12.8348,58.668,0.1284,56.0,60.0,2.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0384,2.396,0.0,3.96,3.3896,0.1588,3.1336,0.79,2.458,0.0552,3.7068,0.0,0.7688,0.1216,0.0,0.0956,0.0004,0.0468,75052.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9364,0.0,5.3516,0.0,19552.0,4.6876,54820.0,3.464,82084.0,0.0,82084.0,6.4468,3.8028,3.9756,0.6572,0.7848,2.7952
instance_198,820000.0,2436000.0,129592.0,1028000.0,21.2688,5.4716,0.5036,1.4864,2.7556,0.0,4.0,7.38,0.0004,1.5156,0.0004,0.0036,6.7228,0.0,0.4576,1.8608,0.0004,7.9636,0.0,0.0504,11.4256,0.7164,0.5928,0.0,3.8796,11.176,0.0,9.5696,0.0,0.0248,9.8332,1.8588,0.0004,7.0704,0.0,0.0288,,,,,,,,,,,29.1428,0.248,28.0,32.0,2.3932,1110.52,1.654,180.0,1896.0,1740.0,352.0,1356.0,936.0,1216.0,47.416,0.7292,32.8,70.456,55.576,35.1052,52.328,42.712,47.42,2.3352,1.6592,0.0,4.0,3.4308,0.7116,2.9756,1.8624,2.526,0.304,3.186,0.0,1.8424,0.5716,0.0044,0.4808,0.0736,0.3084,14706.0,4.732,18172.0,5.6568,18172.0,0.0,0.0,6.9508,3.8988,4.5472,1.288,11163.2,5.61,29725.2,1.9612,35430.0,0.0,35764.0,3.6924,7.1072,4.2072,1.4224,0.1104,0.4984
instance_722,180.0,153720.0,180.0,153720.0,0.0,0.0,0.0048,4.0,0.0,4.0,4.0,0.0,1.0548,0.3424,0.3556,1.0668,0.3348,0.0,0.0,0.0,1.0548,0.0,1.0548,1.0548,0.0,3.9556,0.0,3.9556,3.9556,0.0,0.006,0.0,0.006,0.006,0.0,0.0656,0.0044,0.0,0.0044,0.0044,,,,,,,,,,,8.0,0.0,8.0,8.0,0.0,18825.2,0.0148,18728.0,18884.0,18884.0,18728.0,18884.0,18728.0,18864.0,69.736,0.0196,69.304,70.132,70.132,69.304,70.132,69.304,69.776,1.0164,2.7128,0.0064,1.9332,1.8896,0.0388,1.66,0.3472,1.1284,0.0,1.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4672,0.8968,26.702,1.266,24.0,16.0,36.0,18.4464,3.564,3.6576,0.5936,36.3232,0.918,28.02,1.2088,28.0,20.0,40.0,17.1536,2.772,3.6412,0.5,2.984,3.1172
instance_787,2800.0,35068.0,2100.0,34368.0,1.3332,0.0816,0.2444,1.9308,2.3784,0.5716,4.0,4.226,0.0256,0.9992,0.0228,0.0532,1.9336,0.0,0.0,3.3796,0.0256,1.5432,0.0148,0.068,13.0864,1.3736,0.1888,0.9232,2.0,9.9488,0.0104,2.056,0.0008,0.0304,14.7588,1.7584,0.0092,1.3232,0.0064,0.0204,0.04,2.3784,0.0136,0.2432,19.354,0.7568,1.2724,0.1812,1.5888,12.7976,23.4504,0.2564,20.0,28.0,1.9256,18446.0,0.002,18436.0,18456.0,18456.0,18436.0,18456.0,18436.0,18456.0,172.5,0.1292,166.92,178.084,178.084,166.92,178.084,166.92,178.084,2.4796,0.3944,1.8176,3.236,2.7872,2.1548,2.646,2.3,2.462,0.0148,4.454,0.0,0.06,0.0388,0.0,0.0312,0.0004,0.0036,150.356,0.5664,629.6,0.2504,628.0,580.0,680.0,14.1428,0.7524,3.8712,0.0404,186.924,2.274,631.36,0.2692,632.0,584.0,680.0,13.8124,0.9808,3.9056,0.1124,1.1708,2.8504
instance_515,2112.0,122912.0,2024.0,120800.0,0.174,0.07,0.0672,3.9896,0.0584,3.4668,4.0,0.5604,0.0236,6.9692,0.016,0.3636,0.7808,0.0,3.8476,3.8476,0.0236,0.5788,0.0168,0.0344,15.792,1.2128,0.2996,0.5,1.944,11.7048,0.0152,0.7516,0.0088,0.0244,13.5136,3.8476,0.0668,0.0,0.0668,0.0668,,,,,,,,,,,8.0,0.0,8.0,8.0,0.0,11466.0,2.4572,2800.0,18492.0,18492.0,2800.0,18492.0,6260.0,18312.0,267.252,0.3512,233.564,296.656,296.656,233.564,296.656,259.488,279.304,3.4824,0.0952,3.24,3.7252,3.5856,3.3728,3.5328,3.4276,3.494,0.0,10.0348,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,61.592,63.896,934.8,0.2472,936.0,876.0,996.0,109.464,0.4476,3.992,0.1504,31.3296,0.956,931.12,0.1928,932.0,872.0,988.0,108.508,0.6736,3.9988,0.0012,3.5016,3.826
instance_382,4400.0,88000.0,4400.0,88000.0,0.0,0.0,0.2,1.5168,2.6132,0.8,4.0,3.3712,0.018,0.0,0.018,0.018,0.0,0.0,0.0,0.0,0.018,0.4088,0.0128,0.0244,14.8484,0.3176,0.2516,0.0,1.414,12.0916,0.0036,0.926,0.0012,0.006,11.502,0.7524,0.0608,0.35,0.0452,0.078,,,,,,,,,,,12.0,0.0,12.0,12.0,0.0,153.008,1.042,96.0,328.0,200.0,112.0,168.0,128.0,144.0,235.66,0.4004,189.448,311.704,267.316,206.0,249.38,221.572,233.436,0.6652,2.8692,0.0044,2.3532,1.3672,0.104,0.97,0.2772,0.5616,0.0112,2.6692,0.0008,0.052,0.0208,0.004,0.0136,0.006,0.0092,243.376,0.6916,841.52,0.3116,844.0,784.0,904.0,4.1596,0.9232,3.4336,0.1628,195.616,0.794,843.72,0.216,838.0,788.0,908.0,1.3644,2.26,3.364,0.1068,1.8976,2.3176
instance_665,262416.0,1096000.0,104628.0,616000.0,6.0324,3.1084,0.6796,1.6212,1.652,0.0,4.0,4.0248,0.0004,0.73,0.0004,0.0008,3.6108,0.0,0.2892,2.1712,0.0004,2.4168,0.0,0.002,9.48,0.0828,0.154,0.0,1.3332,3.918,0.0004,2.3456,0.0,0.0008,8.2744,2.1176,0.0,1.9436,0.0,0.0008,0.0008,1.7072,0.0,0.002,14.8676,1.1072,0.8956,0.4212,1.9288,12.3624,51.284,0.2016,48.0,56.0,3.8544,1147.72,2.0448,340.0,3256.0,1820.0,592.0,1508.0,712.0,1000.0,29.2312,0.8864,19.6208,52.504,35.8288,21.8964,32.2632,24.5744,28.5832,0.3296,6.9596,0.0,2.702,1.4688,0.0,0.3544,0.0004,0.0424,0.1248,2.3188,0.0,0.6316,0.1944,0.0004,0.1628,0.0924,0.1164,7458.0,0.4232,20626.0,0.028,20626.0,20524.0,20524.0,2.6464,0.5892,3.32,0.0452,9877.2,1.0968,18593.6,1.406,20588.0,0.0,20844.0,1.6296,6.8648,3.6208,0.71,0.1448,0.3376
instance_1383,18668.0,73968.0,15336.0,66252.0,0.8692,0.466,0.926,1.9648,2.4324,0.0,4.0,3.4812,0.0032,0.3996,0.002,0.0052,1.4508,0.0,0.0552,3.6636,0.0032,3.6112,0.0016,0.0376,4.436,0.3024,0.3632,0.0,1.6,4.1976,0.0016,3.8372,0.0004,0.0196,7.9356,1.9596,0.0016,3.8876,0.0008,0.0192,0.008,4.8032,0.0012,0.0296,8.5152,1.3904,1.73,0.1032,2.476,11.402,48.924,0.3636,40.0,60.0,5.954,6144.0,0.904,4612.0,7732.0,7732.0,4612.0,7732.0,4924.0,7308.0,216.932,1.9444,104.384,351.68,351.68,104.384,351.68,123.948,287.724,0.8552,2.9744,0.0,2.906,1.7492,0.1732,1.5888,0.2644,0.5776,0.2396,1.2408,0.0,0.7028,0.3716,0.182,0.2472,0.202,0.2208,661.12,0.8136,2617.48,0.1076,2614.0,2528.0,2712.0,1.6464,0.916,2.9536,0.0908,969.28,0.2764,2616.04,0.0988,2608.0,2540.0,2696.0,0.6592,1.4432,3.0812,0.068,0.1108,0.4276
instance_1282,100000.0,420000.0,97568.0,416000.0,0.0996,0.0232,0.9348,1.9872,2.348,0.0,4.0,2.8484,0.0004,0.2544,0.0004,0.0008,0.6324,0.0,0.0,3.858,0.0004,1.1608,0.0,0.0016,10.8576,0.9108,0.6848,0.0,4.0,13.4596,0.0004,1.604,0.0,0.0008,9.3268,1.9672,0.0012,1.1744,0.0,0.0032,0.0008,0.9768,0.0,0.002,11.8564,0.4084,0.97,0.1456,1.6,8.9856,22.2608,0.3564,20.0,24.0,2.7384,26.4408,1.772,8.0,56.0,44.0,12.0,36.0,16.0,24.0,346.744,1.242,173.668,609.32,484.8,218.668,434.4,261.0,329.332,1.5716,2.3124,0.0,4.0,2.8228,0.3368,2.2688,0.8296,1.5412,0.3684,2.596,0.0048,3.7332,0.6944,0.1132,0.4952,0.19,0.3164,2618.0,0.4364,21192.0,0.0084,21192.0,21160.0,21160.0,2.1136,0.872,3.3516,0.0028,2056.8,0.0612,21265.6,0.0572,21268.0,20900.0,21536.0,0.4992,0.1248,3.3344,0.0148,0.9072,1.0692
instance_718,2080.0,8840.0,2044.0,8812.0,0.0704,0.0128,0.928,1.946,2.3428,0.0,4.0,2.5864,0.0236,0.1972,0.0236,0.0312,0.4336,0.0,0.0,3.9092,0.0236,1.144,0.0092,0.0564,10.66,0.95,0.7392,0.0,4.0,13.35,0.0116,1.5716,0.0,0.0308,9.1408,1.9464,0.0464,1.128,0.0164,0.1036,0.0356,0.9604,0.0128,0.0728,11.7724,0.4384,1.0328,0.2096,1.0908,9.3264,16.0312,0.088,16.0,20.0,0.1832,15410.4,0.0624,15096.0,15804.0,15804.0,15096.0,15672.0,15236.0,15512.0,117.252,0.252,106.388,129.36,129.36,106.388,128.04,114.404,116.38,1.6124,2.3032,0.0004,4.0,2.9124,0.3232,2.328,0.8768,1.5416,0.372,2.5968,0.028,1.4772,0.6972,0.122,0.5204,0.1844,0.3104,64.288,1.2436,455.44,0.284,456.0,416.0,496.0,3.6704,0.8388,3.422,0.1424,53.892,1.4876,454.0,0.288,452.0,416.0,492.0,1.3352,1.6604,3.3852,0.2536,1.2792,2.3144
