instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5
instance_179,72000.0,2.0,72000.0,2.0,72000.0
instance_78,72000.0,141.0,72000.0,24.0,48.0
instance_17,30.0,9.0,49.0,21.0,8.0
instance_199,81.0,4.0,104.0,11.0,11.0
instance_178,72000.0,1.0,72000.0,1.0,72000.0
instance_3,72000.0,1642.0,72000.0,451.0,1527.0
instance_205,1574.0,9.0,72000.0,1.0,4.0
instance_157,19.0,2.0,72000.0,1.0,1.0
instance_183,72000.0,2673.0,72000.0,72000.0,72000.0
instance_137,295.0,63.0,242.0,97.0,10.0
instance_189,72000.0,72000.0,72000.0,72000.0,6517.0
instance_124,90.0,349.0,72000.0,35.0,11.0
instance_144,765.0,203.0,1292.0,147.0,89.0
instance_116,72000.0,8.0,72000.0,1.0,1.0
instance_186,1394.0,192.0,2232.0,85.0,455.0
instance_71,15.0,10.0,41.0,5.0,4.0
instance_86,65.0,17.0,814.0,8.0,6.0
instance_171,72000.0,1.0,485.0,2.0,1.0
instance_52,317.0,17.0,72000.0,22.0,14.0
instance_210,72000.0,3439.0,6868.0,72000.0,3979.0
instance_73,72000.0,798.0,72000.0,2051.0,539.0
instance_72,49.0,23.0,650.0,91.0,110.0
instance_165,2081.0,257.0,3612.0,225.0,167.0
instance_67,72000.0,72000.0,72000.0,3748.0,1564.0
instance_18,11.0,2.0,27.0,1.0,2.0
instance_105,72000.0,1005.0,1207.0,534.0,583.0
instance_147,72000.0,111.0,2293.0,5.0,553.0
instance_184,109.0,76.0,293.0,48.0,26.0
instance_93,72000.0,72000.0,72000.0,42.0,186.0
instance_108,52.0,9.0,32.0,10.0,12.0
instance_145,72000.0,72000.0,72000.0,276.0,1333.0
instance_75,72000.0,233.0,72000.0,401.0,224.0
instance_21,72000.0,2479.0,72000.0,202.0,341.0
instance_63,933.0,107.0,1606.0,85.0,95.0
instance_158,72000.0,48.0,5905.0,26.0,15.0
instance_188,1239.0,54.0,72000.0,72000.0,342.0
instance_94,72000.0,72000.0,72000.0,509.0,1978.0
instance_66,3745.0,2321.0,606.0,4.0,1.0
instance_54,263.0,14.0,201.0,5.0,4.0
instance_119,11.0,3.0,8.0,1.0,3.0
instance_143,72000.0,129.0,765.0,114.0,49.0
instance_212,72000.0,105.0,72000.0,731.0,90.0
instance_68,72000.0,24.0,72000.0,12.0,9.0
instance_88,72000.0,72000.0,72000.0,26.0,76.0
instance_31,749.0,284.0,838.0,128.0,419.0
instance_32,22.0,28.0,101.0,10.0,38.0
instance_121,11.0,2.0,44.0,3.0,2.0
instance_128,233.0,3.0,4.0,4.0,1.0
instance_47,72000.0,3229.0,72000.0,1448.0,509.0
instance_146,84.0,3.0,91.0,4.0,30.0
instance_79,64.0,123.0,72000.0,11.0,45.0
instance_126,147.0,337.0,1973.0,10.0,6.0
instance_45,72000.0,872.0,72000.0,767.0,975.0
instance_113,7.0,19.0,72000.0,18.0,573.0
instance_174,20.0,6.0,6.0,3.0,3.0
instance_42,70.0,3.0,1900.0,4.0,6.0
instance_77,72000.0,655.0,1914.0,1187.0,521.0
instance_109,467.0,524.0,72000.0,141.0,153.0
instance_9,20.0,11.0,47.0,4.0,5.0
instance_177,72000.0,1.0,72000.0,1.0,72000.0
instance_96,1260.0,96.0,72000.0,122.0,78.0
instance_58,72000.0,544.0,72000.0,72000.0,1717.0
instance_95,2236.0,398.0,72000.0,66.0,560.0
instance_163,72000.0,72000.0,72000.0,32.0,60.0
instance_39,1.0,1.0,72000.0,1.0,1.0
instance_98,1579.0,52.0,72000.0,105.0,136.0
instance_138,72000.0,340.0,72000.0,366.0,472.0
instance_6,46.0,17.0,104.0,8.0,10.0
instance_90,72000.0,72000.0,72000.0,159.0,280.0
instance_132,222.0,55.0,233.0,18.0,15.0
instance_118,49.0,8.0,275.0,4.0,15.0
instance_103,1552.0,161.0,1010.0,79.0,68.0
instance_8,266.0,31.0,645.0,34.0,81.0
instance_82,5.0,3.0,27.0,2.0,2.0
instance_2,69.0,22.0,610.0,3.0,3.0
instance_214,72000.0,72000.0,72000.0,37.0,63.0
instance_80,72000.0,72000.0,72000.0,2668.0,72000.0
instance_211,72000.0,4681.0,72000.0,307.0,1195.0
instance_30,793.0,74.0,72000.0,249.0,275.0
instance_20,72000.0,2489.0,72000.0,200.0,289.0
instance_180,931.0,116.0,936.0,14.0,39.0
instance_215,72000.0,148.0,72000.0,72000.0,218.0
instance_53,81.0,7.0,94.0,4.0,2.0
instance_43,72000.0,473.0,72000.0,39.0,7.0
instance_15,72000.0,72000.0,72000.0,1654.0,72000.0
instance_40,1.0,1.0,52.0,1.0,1.0
instance_195,72000.0,63.0,1741.0,29.0,74.0
instance_148,72000.0,84.0,72000.0,58.0,36.0
instance_139,1008.0,46.0,515.0,72.0,37.0
instance_19,259.0,7.0,152.0,11.0,6.0
instance_136,301.0,50.0,213.0,74.0,38.0
instance_34,72000.0,1466.0,72000.0,6488.0,72000.0
instance_100,72000.0,6581.0,72000.0,4.0,1474.0
instance_169,72000.0,2208.0,72000.0,72000.0,2031.0
instance_209,759.0,57.0,126.0,51.0,38.0
instance_69,81.0,17.0,264.0,21.0,11.0
instance_133,135.0,17.0,105.0,6.0,8.0
instance_208,72000.0,2289.0,72000.0,52.0,1160.0
instance_190,42.0,29.0,190.0,51.0,120.0
instance_26,69.0,33.0,172.0,28.0,28.0
instance_85,3145.0,219.0,72000.0,5.0,8.0
instance_153,14.0,4.0,72000.0,1.0,1.0
instance_102,81.0,12.0,119.0,2.0,2.0
instance_107,72000.0,521.0,72000.0,286.0,3679.0
instance_191,100.0,11.0,41.0,6.0,6.0
instance_70,47.0,1.0,38.0,1.0,2.0
instance_203,605.0,53.0,4847.0,95.0,54.0
