instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18,algorithm_19,algorithm_20,algorithm_21,algorithm_22,algorithm_23,algorithm_24
instance_29,0.0,0.07,0.04,4.7,0.04,0.17,0.0,0.02,0.04,0.11,0.19,18000.0,0.12,0.01,0.0,0.04,0.04,0.04,0.03,0.04,0.12,0.11,0.01,0.01
instance_306,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_92,0.64,57.26,1.79,18000.0,1.74,10.33,0.57,0.92,18000.0,2.81,3.25,0.51,270.27,10.11,0.57,1.44,0.93,1.96,30.12,2.05,267.69,1.94,10.11,10.17
instance_410,0.02,18000.0,0.13,52.52,0.12,0.25,0.02,0.06,0.17,0.21,0.37,18000.0,106.36,18000.0,0.02,0.05,0.06,0.13,0.02,0.13,106.05,6.35,18000.0,18000.0
instance_181,0.0,18000.0,0.0,0.05,0.01,0.08,0.0,0.02,0.0,0.02,0.09,0.02,0.01,0.0,0.0,0.03,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0
instance_632,0.02,0.19,0.16,18000.0,0.18,0.39,0.02,0.04,0.23,0.21,0.53,18000.0,112.14,18000.0,0.02,0.05,0.05,0.16,0.04,0.16,109.29,64.24,18000.0,18000.0
instance_695,0.01,0.13,0.1,51.2,0.1,0.34,0.01,0.03,0.45,0.21,0.47,18000.0,2.79,0.02,0.01,0.04,0.04,0.1,0.06,0.1,2.79,0.48,0.02,0.02
instance_232,0.0,18000.0,0.0,0.05,0.0,0.06,0.0,0.02,0.0,0.02,0.06,0.02,0.0,0.0,0.0,0.03,0.03,0.0,0.02,0.0,0.0,0.0,0.0,0.0
instance_486,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,434.36,18000.0,18000.0,18000.0,18000.0
instance_735,0.26,18000.0,14.63,11.93,13.79,11.72,0.26,0.24,5.33,0.1,12.67,0.71,2.81,0.59,0.26,0.25,0.25,13.78,0.85,17.67,2.6,0.04,0.6,0.59
instance_607,0.1,1.66,1.26,29.53,0.29,0.31,0.07,0.14,563.63,0.21,1.34,0.07,18000.0,0.02,0.04,0.28,0.15,0.2,159.27,27.05,18000.0,0.12,0.01,0.01
instance_661,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_398,0.0,18000.0,0.02,0.37,0.02,0.08,0.0,0.02,0.01,0.06,0.09,0.02,0.01,0.0,0.0,0.03,0.03,0.02,0.01,0.02,0.0,0.01,0.0,0.0
instance_705,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_425,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,21.95,18000.0,134.45,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,40.36,18000.0,18000.0,18000.0,18000.0
instance_111,0.54,158.42,4.66,18000.0,22.59,2.79,0.48,2.04,6.87,4.61,27.23,0.21,3.76,18000.0,0.46,3.5,2.04,4.59,0.26,30.91,4.2,1.43,18000.0,18000.0
instance_335,133.5,18000.0,212.21,18000.0,202.76,29.52,18000.0,18000.0,18000.0,18000.0,65.07,18000.0,18000.0,18000.0,72.72,18000.0,18000.0,93.05,0.15,93.09,18000.0,18000.0,18000.0,18000.0
instance_227,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_789,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_652,0.55,81.57,5.25,18000.0,6.37,6.58,0.49,1.88,7.34,4.42,116.45,0.21,3.88,18000.0,0.49,3.43,1.9,4.71,18000.0,4.89,4.26,1.47,18000.0,18000.0
instance_441,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,20.75,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,3.26,18000.0,18000.0,422.23,1.12,459.15,18000.0,18000.0,18000.0,18000.0
instance_734,0.0,18000.0,0.0,0.06,0.0,0.07,0.0,0.02,0.0,0.02,0.07,0.02,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0
instance_21,0.0,18000.0,0.01,0.68,0.01,0.27,0.0,0.02,0.01,0.02,0.29,1.71,18000.0,0.31,0.0,0.04,0.04,0.01,18000.0,0.02,18000.0,0.01,0.31,0.31
instance_78,0.01,18000.0,0.06,5.94,0.06,0.17,0.01,0.03,0.08,0.11,0.17,0.02,1.06,0.01,0.01,0.04,0.04,0.05,0.02,0.06,1.05,0.06,0.01,0.01
instance_22,44.78,18000.0,22.7,18000.0,8.27,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,531.79,13.73,18000.0,18000.0,18000.0,160.06,18000.0,18000.0,18000.0,489.31,505.46
instance_606,0.01,0.25,0.22,9.19,0.22,18000.0,0.01,0.03,0.02,0.81,18000.0,0.13,0.06,0.02,0.01,0.05,0.05,0.22,0.01,0.22,0.05,0.62,0.02,0.02
instance_523,0.03,18000.0,0.68,1.1,0.68,4.41,0.03,0.06,0.12,0.02,4.61,0.11,0.07,0.03,0.03,0.07,0.07,0.67,0.06,0.68,0.03,0.01,0.03,0.03
instance_821,0.03,18000.0,0.2,33.68,0.21,0.31,0.03,0.05,0.39,0.31,0.4,8.51,159.73,1.6,0.03,0.06,0.06,0.2,0.03,0.2,160.23,0.17,2.52,1.65
instance_187,0.13,18000.0,0.51,47.28,0.5,183.39,0.13,0.29,0.94,0.11,183.01,0.61,1.23,1.32,0.13,0.3,0.3,0.48,1.39,0.49,0.11,0.06,1.3,1.32
instance_620,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,73.05,18000.0,18000.0,18000.0,18000.0,18000.0,489.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_538,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_659,0.01,18000.0,0.14,97.82,0.15,0.53,0.01,0.04,0.91,0.31,0.63,0.1,9.1,0.03,0.01,0.05,0.05,0.14,0.08,0.15,9.24,0.94,0.03,0.03
instance_370,6.75,18000.0,15.23,18000.0,18000.0,0.7,2.15,18000.0,1.55,2.61,0.69,0.1,7.43,0.14,0.35,18000.0,18000.0,4.36,18000.0,4.46,7.38,372.41,0.14,0.15
instance_273,29.03,7.85,7.85,18000.0,7.88,6.51,28.54,139.38,18000.0,9.11,6.53,18000.0,18000.0,10.17,28.56,138.57,138.59,7.7,0.08,7.69,18000.0,13.42,10.16,10.15
instance_228,0.04,18000.0,0.18,2.03,0.2,7.46,0.03,0.08,0.1,0.03,7.52,0.21,0.13,0.17,0.04,0.09,0.09,0.17,0.21,0.18,0.02,0.02,0.17,0.17
instance_612,397.23,18000.0,473.52,18000.0,18000.0,35.27,18000.0,18000.0,18000.0,18000.0,37.06,18000.0,18000.0,18000.0,120.73,18000.0,18000.0,163.65,0.45,226.41,18000.0,18000.0,18000.0,18000.0
instance_753,14.03,18000.0,18000.0,18000.0,511.47,18000.0,14.03,4.05,18000.0,76.92,18000.0,18000.0,18000.0,14.57,14.05,4.08,4.11,510.87,18000.0,512.2,18000.0,18000.0,23.79,23.73
instance_323,0.01,0.2,0.17,18000.0,0.17,18000.0,0.01,0.04,3.8,0.51,18000.0,0.1,0.37,0.13,0.01,0.05,0.05,0.17,18000.0,0.17,0.35,0.31,0.13,0.13
instance_195,0.0,0.04,0.01,0.05,0.01,18000.0,0.0,0.02,0.0,0.02,18000.0,0.02,0.0,0.0,0.0,0.03,0.03,0.0,3.0,0.01,0.0,0.0,0.0,0.0
instance_502,65.74,18000.0,146.5,18000.0,97.45,12.88,18000.0,18000.0,132.35,486.51,13.81,18000.0,18000.0,18000.0,24.22,18000.0,18000.0,77.76,0.18,78.6,18000.0,18000.0,18000.0,18000.0
instance_738,0.01,18000.0,0.12,32.99,0.12,0.28,0.01,0.03,0.15,0.21,0.32,4.91,4.7,21.27,0.01,0.05,0.05,0.12,0.03,0.12,4.7,0.19,77.83,34.36
instance_345,18000.0,18000.0,18000.0,18000.0,6.06,18000.0,18000.0,14.04,18000.0,32.92,18000.0,168.01,18000.0,18000.0,18000.0,18000.0,14.11,18000.0,18000.0,18000.0,18000.0,87.79,18000.0,18000.0
instance_34,0.05,18000.0,0.47,18000.0,0.46,1.55,0.05,0.08,0.7,0.61,1.87,18000.0,60.15,18000.0,0.05,0.09,0.09,0.44,0.09,0.44,59.61,18000.0,18000.0,18000.0
instance_242,0.6,16.3,18000.0,32.22,18000.0,8.53,0.6,0.48,1.17,1.22,8.71,0.31,18000.0,1.19,0.6,0.49,0.49,13.55,0.43,13.22,18000.0,1.2,1.18,1.19
instance_532,137.68,18000.0,273.89,18000.0,328.54,17.57,18000.0,18000.0,18000.0,18000.0,24.31,18000.0,18000.0,18000.0,62.52,18000.0,18000.0,212.72,0.4,217.66,18000.0,18000.0,18000.0,18000.0
instance_375,0.19,0.75,0.71,18000.0,0.68,0.46,0.19,0.42,1.9,0.81,1.26,0.11,9.52,1.36,0.19,0.43,0.43,0.68,11.65,0.68,11.02,0.41,1.34,0.8
instance_91,18000.0,23.87,3.1,259.89,18.57,25.66,0.48,13.91,18000.0,18000.0,57.89,1.81,18000.0,131.8,0.13,40.75,42.84,5.26,12.91,27.45,18000.0,4.34,529.26,0.97
instance_286,7.56,470.08,34.17,18000.0,22.38,18000.0,2.34,13.39,18000.0,24.13,18000.0,0.51,33.28,9.29,2.06,21.39,13.47,30.64,18000.0,31.03,35.94,13.01,14.09,111.56
instance_730,0.01,0.71,0.03,0.34,0.03,0.11,0.01,0.07,0.0,0.12,0.12,0.12,0.18,0.11,0.01,0.14,0.08,0.03,0.01,0.04,0.18,0.03,0.01,0.01
instance_67,0.01,18000.0,0.11,43.45,0.11,0.38,0.01,0.03,0.23,0.21,0.47,0.1,3.04,0.02,0.01,0.04,0.04,0.1,0.06,0.11,3.04,0.54,0.02,0.02
instance_402,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,5.69,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_649,10.41,18000.0,26.3,18000.0,19.67,5.08,18000.0,28.17,51.65,77.71,5.39,18000.0,18000.0,18000.0,3.28,165.24,28.2,27.04,0.09,27.11,18000.0,67.57,18000.0,18000.0
instance_304,469.13,18000.0,18000.0,18000.0,18000.0,40.33,18000.0,18000.0,18000.0,18000.0,42.29,18000.0,18000.0,18000.0,168.59,18000.0,18000.0,453.27,0.56,453.52,18000.0,18000.0,18000.0,18000.0
instance_45,0.01,2.3,0.12,4.1,0.12,0.32,0.01,0.09,0.01,0.21,0.46,0.02,0.33,0.01,0.01,0.18,0.1,0.16,0.08,0.14,0.33,0.03,0.01,0.01
instance_615,0.01,0.07,0.04,1.98,0.05,0.15,0.0,0.02,0.07,0.07,0.16,0.11,0.04,0.03,0.0,0.04,0.04,0.04,0.02,0.05,0.03,0.07,0.03,0.03
instance_365,18000.0,18000.0,140.72,67.68,1.39,26.82,18000.0,1.3,18000.0,2.22,44.57,0.21,18000.0,4.65,0.42,3.2,1.31,34.08,18000.0,34.49,18000.0,10.95,3.95,3.99
instance_241,0.03,0.24,0.23,97.64,0.22,0.38,0.03,0.06,0.43,0.31,0.43,6.41,5.6,1.34,0.03,0.06,0.06,0.22,0.02,0.21,5.58,0.18,1.57,0.96
instance_209,18000.0,18000.0,133.97,18000.0,125.76,12.75,18000.0,171.37,18000.0,18000.0,14.89,18000.0,18000.0,182.22,91.49,380.27,171.96,100.56,0.25,101.5,18000.0,270.01,299.25,330.3
instance_117,0.0,0.04,0.0,0.07,0.01,0.11,0.0,0.02,0.0,0.02,0.11,0.02,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0
instance_591,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,15.8,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_564,0.07,0.54,0.49,18000.0,0.47,1.06,0.07,0.07,0.66,0.61,1.38,18000.0,18000.0,18000.0,0.07,0.09,0.09,0.49,0.06,0.5,18000.0,18000.0,18000.0,18000.0
instance_149,0.23,2.43,1.14,167.88,1.15,20.5,0.23,0.37,17.82,8.72,94.41,2.31,169.52,1.93,0.23,0.54,0.37,1.77,0.78,1.81,168.91,11.0,1.91,1.9
instance_356,0.27,7.88,0.7,4.78,55.34,4.05,0.09,0.43,0.07,0.61,2.74,12.41,18000.0,0.35,0.05,0.56,0.44,0.27,0.06,0.32,18000.0,0.55,0.16,0.11
instance_479,4.32,5.8,6.25,22.82,1.04,1.47,0.1,0.34,18000.0,0.91,0.44,0.31,18000.0,0.06,0.08,0.36,0.36,0.5,508.17,0.5,18000.0,0.39,0.07,0.07
instance_820,37.46,18000.0,31.4,18000.0,63.94,18000.0,18000.0,24.79,18000.0,52.51,18000.0,382.11,87.82,18000.0,18000.0,24.8,23.94,2.58,42.95,3.55,85.96,1.79,18000.0,18000.0
instance_670,0.05,18000.0,0.41,18000.0,0.42,1.49,0.05,0.08,0.64,0.61,1.86,18000.0,50.36,18000.0,0.05,0.09,0.09,0.42,0.08,0.42,49.76,18000.0,18000.0,18000.0
instance_404,0.07,4.02,0.36,4.59,0.37,0.29,0.09,0.14,0.12,0.51,0.3,0.81,175.9,0.61,0.07,0.16,0.16,0.36,0.07,0.36,175.7,0.29,0.48,0.41
instance_186,0.1,2.7,2.69,18000.0,2.67,18000.0,0.1,0.14,29.65,16.81,18000.0,18000.0,16.5,0.4,0.1,0.16,0.15,2.67,18000.0,2.69,16.33,15.98,0.4,0.4
instance_377,1.13,3.59,2.81,11.33,2.73,3.96,1.14,0.99,18000.0,2.91,4.51,0.11,8.61,6.96,1.11,1.0,1.0,2.84,18000.0,2.74,6.93,2.9,6.96,6.97
instance_582,0.13,132.88,2.2,137.86,0.99,0.37,0.1,0.15,43.82,0.51,0.43,0.05,0.83,0.21,0.09,0.3,0.16,0.41,0.03,0.51,0.76,0.15,0.21,0.21
instance_113,0.35,18000.0,0.4,77.22,0.4,0.09,0.35,1.21,0.01,2.31,0.09,1.12,0.15,0.02,0.35,1.26,1.24,0.39,0.0,0.39,0.15,0.07,0.02,0.02
instance_795,13.63,18000.0,8.48,18000.0,17.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,2.17,184.35,2.55,18000.0,18000.0,18000.0,18000.0
instance_802,0.55,110.47,2.12,18000.0,2.47,0.96,25.36,0.66,4.85,18000.0,0.94,0.08,18000.0,0.17,0.29,1.45,0.67,2.41,1.32,2.57,18000.0,0.89,0.18,0.17
instance_650,0.01,18000.0,0.07,2.26,0.06,0.12,0.01,0.03,0.01,0.09,0.6,0.02,0.06,0.01,0.01,0.04,0.04,0.06,0.01,0.06,0.05,0.06,0.01,0.01
instance_373,18000.0,18000.0,18000.0,18000.0,18000.0,189.5,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_26,18000.0,18000.0,448.9,18000.0,18000.0,18000.0,18000.0,63.34,18000.0,18000.0,18000.0,587.42,18000.0,18000.0,18000.0,66.84,62.91,13.99,15.77,15.8,18000.0,578.87,18000.0,18000.0
instance_439,0.01,18000.0,0.04,0.26,0.04,0.07,0.01,0.02,0.0,0.12,0.07,0.02,0.02,0.0,0.01,0.04,0.04,0.04,0.01,0.04,0.01,0.01,0.0,0.01
instance_602,18000.0,18000.0,18000.0,18000.0,18000.0,26.6,18000.0,75.96,9.75,18000.0,18000.0,587.61,18000.0,18000.0,18000.0,127.89,127.88,18000.0,18000.0,18000.0,18000.0,504.64,18000.0,18000.0
instance_579,43.38,29.0,4.09,29.59,7.25,1.63,6.26,1.72,1.47,4.32,1.63,7.31,18000.0,19.67,5.65,2.14,1.74,2.79,0.76,2.98,18000.0,2.97,44.51,22.56
instance_68,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_291,0.21,1.45,1.34,0.45,1.33,0.38,0.21,0.03,0.02,0.12,0.4,0.09,0.04,0.01,0.2,0.05,0.05,1.35,0.08,1.28,0.05,0.06,0.01,0.01
instance_165,0.14,0.48,0.46,395.16,0.44,1.41,0.14,0.17,7.03,0.81,57.19,1.51,18000.0,0.21,0.14,0.18,0.18,0.43,0.11,0.43,18000.0,0.58,0.2,0.22
instance_310,0.02,0.35,0.32,18000.0,0.32,18000.0,0.02,0.05,3.75,0.71,18000.0,0.1,1.43,0.13,0.02,0.06,0.06,0.32,18000.0,0.34,1.46,0.4,0.13,0.13
instance_170,0.01,18000.0,0.07,12.39,0.07,0.23,0.01,0.03,0.07,0.12,0.26,0.02,0.4,0.01,0.01,0.04,0.04,0.06,0.04,0.06,0.39,0.19,0.01,0.01
instance_709,0.01,0.17,0.14,2.36,0.14,6.74,0.01,0.05,0.02,0.21,9.07,162.91,0.06,0.04,0.01,0.07,0.07,0.15,0.05,0.19,0.13,0.07,0.04,0.04
instance_668,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_175,0.0,0.05,0.01,0.5,0.02,0.09,0.0,0.02,0.01,0.08,0.1,0.02,0.01,0.0,0.0,0.03,0.03,0.01,0.01,0.02,0.0,0.02,0.0,0.0
instance_667,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,3.08,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_506,20.73,18000.0,135.12,18000.0,18000.0,18000.0,18000.0,464.92,19.48,18000.0,18000.0,18000.0,18000.0,18000.0,127.75,473.82,463.75,18000.0,18000.0,14.88,18000.0,18000.0,18000.0,18000.0
instance_119,0.0,0.05,0.02,0.17,0.02,0.07,0.0,0.02,0.0,0.02,0.07,0.02,0.0,0.0,0.0,0.03,0.04,0.02,0.0,0.02,0.0,0.01,0.0,0.0
instance_451,0.0,18000.0,0.01,0.06,0.01,0.09,0.0,0.02,0.0,0.02,0.09,0.02,0.01,0.0,0.0,0.03,0.03,0.01,0.0,0.01,0.0,0.01,0.0,0.0
instance_723,18000.0,23.08,18000.0,28.3,18000.0,235.26,0.85,5.98,3.44,5.21,2.37,16.42,18000.0,64.68,0.27,6.08,5.85,259.44,18000.0,255.87,18000.0,2.03,2.43,18000.0
instance_481,18000.0,18000.0,18000.0,18000.0,18000.0,4.18,18000.0,18000.0,9.72,7.51,4.39,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_319,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_822,18000.0,119.69,2.25,18000.0,41.48,1.01,18000.0,18000.0,4.4,2.41,1.12,0.11,18000.0,0.18,0.29,18000.0,18000.0,2.52,3.13,2.73,18000.0,0.99,0.22,0.18
instance_511,0.05,0.33,0.31,18000.0,0.3,0.53,0.05,0.06,0.42,0.41,0.79,18000.0,18000.0,18000.0,0.04,0.07,0.07,0.29,0.04,0.31,18000.0,260.53,18000.0,18000.0
instance_529,62.76,18000.0,55.6,18000.0,1.01,9.46,0.8,0.92,18000.0,3.01,2.13,0.21,142.11,2.35,0.63,1.97,0.93,7.02,18000.0,7.17,144.63,3.33,2.26,1.95
instance_434,0.0,0.04,0.01,0.07,0.01,0.11,0.0,0.02,0.0,0.02,0.12,0.02,0.0,0.0,0.0,0.03,0.03,0.01,0.0,0.01,0.0,0.01,0.0,0.0
instance_515,94.34,18000.0,145.68,18000.0,134.21,21.27,18000.0,18000.0,18000.0,18000.0,45.95,18000.0,18000.0,18000.0,157.91,18000.0,539.37,113.36,0.11,112.97,18000.0,18000.0,18000.0,18000.0
instance_197,0.01,0.1,0.07,1.14,0.07,3.02,0.01,0.04,0.01,0.11,8.2,15.81,0.03,0.02,0.01,0.05,0.05,0.07,0.03,0.11,0.05,0.04,0.02,0.02
instance_371,0.03,18000.0,0.22,18000.0,0.21,0.62,0.03,0.05,0.32,0.31,0.73,18000.0,9.55,18000.0,0.03,0.06,0.06,0.21,0.05,0.21,9.36,18000.0,18000.0,18000.0
instance_589,18000.0,217.15,18000.0,18000.0,18000.0,18000.0,1.78,18000.0,8.52,18000.0,7.72,18000.0,18000.0,18000.0,1.62,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_676,0.02,0.34,0.33,18000.0,0.31,18000.0,0.02,0.05,3.67,0.81,18000.0,18000.0,0.56,0.18,0.02,0.06,0.06,0.31,18000.0,0.31,0.53,0.57,0.18,0.18
instance_590,0.02,18000.0,0.14,18000.0,0.15,0.34,0.02,0.04,0.21,0.21,0.35,18000.0,4.67,18000.0,0.02,0.05,0.05,0.14,0.03,0.15,4.52,3.05,18000.0,18000.0
instance_712,38.98,18000.0,67.71,18000.0,132.84,6.72,18000.0,116.54,18000.0,73.11,6.62,18000.0,18000.0,113.8,12.87,218.17,115.78,87.09,0.09,87.33,18000.0,413.06,103.05,92.22
instance_467,1.03,10.82,9.82,127.59,9.27,8.71,0.99,1.36,18000.0,4.01,8.86,0.31,383.47,0.6,0.98,1.31,1.35,9.09,18000.0,9.17,409.16,2.44,0.6,0.61
instance_603,18000.0,18000.0,18000.0,18000.0,18000.0,0.85,18000.0,18000.0,0.21,18000.0,0.33,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,0.15,18000.0,18000.0,18000.0,18000.0,18000.0
