instance,VCG.VAR.max,POSNEG.RATIO.VAR.stdev,VCG.VAR.min,VCG.VAR.mean,VG.min
sat/cms-scheel-md4-families-r24-c4-p6-13-17-19.cnf.bz2,0.000611,0.150143,0.000113,0.000294,6.4e-05
sat/cms-scheel-md4-families-r24-c5-p0-7-10-15-19.cnf.bz2,0.000611,0.152985,0.000112,0.000294,6.4e-05
sat/cms-scheel-md4-families-r24-c5-p1-5-10-12-18.cnf.bz2,0.000611,0.152987,0.000112,0.000294,6.4e-05
sat/cms-scheel-md4-families-r24-c5-p1-8-13-18-19.cnf.bz2,0.000611,0.152984,0.000112,0.000294,6.4e-05
sat/cms-scheel-md4-families-r24-c5-p1-8-9-16-19.cnf.bz2,0.000611,0.152985,0.000112,0.000294,6.4e-05
sat/cms-scheel-md4-families-r24-c5-p5-13-16-17-19.cnf.bz2,0.000611,0.152984,0.000112,0.000294,6.4e-05
sat/cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18.cnf.bz2,0.00061,0.155746,0.000112,0.000294,6.4e-05
sat/cms-scheel-md4-families-r24-c6-p1-9-13-16-18-19.cnf.bz2,0.00061,0.155746,0.000112,0.000294,6.4e-05
sat/cms-scheel-md4-families-r24-c6-p2-4-9-16-17-19.cnf.bz2,0.00061,0.155746,0.000112,0.000294,6.4e-05
sat/cms-scheel-md5-families-r24-c11-p1-4-6-9-10-11-13-15-17-18-19.cnf.bz2,0.000578,0.147924,8.9e-05,0.000213,4.4e-05
sat/cms-scheel-md5-families-r24-c4-p1-3-4-16.cnf.bz2,0.000581,0.130975,8.9e-05,0.000214,4.5e-05
sat/cms-scheel-md5-families-r24-c5-p6-11-15-16-19.cnf.bz2,0.000581,0.133584,8.9e-05,0.000214,4.5e-05
sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf.bz2,0.00058,0.138601,8.9e-05,0.000214,4.5e-05
sat/cms-scheel-md5-families-r24-c7-p1-5-6-12-16-18-19.cnf.bz2,0.00058,0.138601,8.9e-05,0.000214,4.5e-05
sat/CNP-5-0.cnf.bz2,0.000292,0.024612,6.7e-05,0.000142,9.6e-05
sat/CNP-5-1000.cnf.bz2,0.000366,0.030072,6.1e-05,0.000173,0.00011
sat/CNP-5-1100.cnf.bz2,0.000377,0.030734,7.5e-05,0.000177,0.000113
sat/CNP-5-1500.cnf.bz2,0.000425,0.034065,7.1e-05,0.000194,0.000113
sat/CNP-5-1700.cnf.bz2,0.000453,0.035856,7.5e-05,0.000204,0.000121
sat/CNP-5-1800.cnf.bz2,0.000467,0.036802,6.2e-05,0.000209,0.000109
sat/CNP-5-200.cnf.bz2,0.000301,0.025287,6e-05,0.000148,0.0001
sat/CNP-5-500.cnf.bz2,0.000321,0.026823,5.3e-05,0.000156,0.000107
sat/CNP-5-600.cnf.bz2,0.000329,0.02736,5.5e-05,0.000159,0.00011
sat/CNP-5-700.cnf.bz2,0.000337,0.027835,5.6e-05,0.000163,0.000112
sat/CNP-5-800.cnf.bz2,0.000345,0.028562,5.7e-05,0.000166,0.000103
sat/CNP-5-900.cnf.bz2,0.000355,0.029294,5.9e-05,0.000169,0.000106
sat/course_flat_0.12_2018_3_1.cnf.bz2,0.001205,0.198074,5e-06,4.5e-05,5e-06
sat/course0.12_2018_3_1.cnf.bz2,0.001221,0.234496,6e-06,4.4e-05,1.5e-05
sat/course0.16_2018_3_5.cnf.bz2,0.000707,0.25156,6e-06,2e-05,6e-06
sat/course0.2_2018_3.cnf.bz2,0.000909,0.255426,3e-06,1e-05,3e-06
sat/courses0.2_2017_9.cnf.bz2,0.000865,0.248239,1e-06,1.1e-05,3e-06
sat/cz-alt-3-7.cnf.bz2,0.002681,0.15543,8.1e-05,0.000216,5.1e-05
sat/dist10.c.cnf.bz2,0.006838,0.10383,0.000123,0.000302,7e-05
sat/dist6.c.cnf.bz2,0.006837,0.103488,0.000123,0.000302,7e-05
sat/dist7.c.cnf.bz2,0.006838,0.103693,0.000123,0.000302,7e-05
sat/dist8.c.cnf.bz2,0.006838,0.103751,0.000123,0.000302,7e-05
sat/dist9.c.cnf.bz2,0.006844,0.106472,0.000123,0.000303,7e-05
sat/e_rphp035_05.cnf.bz2,0.048537,0.294029,0.003442,0.015296,0.047849
sat/e_rphp055_04.cnf.bz2,0.033167,0.334514,0.001598,0.011924,0.032767
sat/e_rphp065_05.cnf.bz2,0.02808,0.303365,0.001076,0.00837,0.027864
sat/ecarev-110-1031-23-40-1.cnf.bz2,8.1e-05,0.021692,2.6e-05,7.9e-05,1.7e-05
sat/ecarev-110-1031-23-40-2.cnf.bz2,8.1e-05,0.021232,3e-05,7.9e-05,1.7e-05
sat/ecarev-110-1031-23-40-3.cnf.bz2,9e-05,0.021389,2.6e-05,7.9e-05,1.7e-05
sat/ecarev-110-1031-23-40-6.cnf.bz2,8.1e-05,0.021505,3e-05,7.9e-05,1.7e-05
sat/ecarev-110-1031-23-40-7.cnf.bz2,8.9e-05,0.021114,2.5e-05,7.9e-05,1.7e-05
sat/ecarev-110-4099-22-30-2.cnf.bz2,2.8e-05,0.024641,9e-06,2.7e-05,6e-06
sat/ecarev-110-4099-22-30-4.cnf.bz2,2.8e-05,0.024661,9e-06,2.7e-05,6e-06
sat/ecarev-110-4099-22-30-5.cnf.bz2,2.8e-05,0.024751,9e-06,2.7e-05,6e-06
sat/ecarev-110-4099-22-30-7.cnf.bz2,3.1e-05,0.024661,9e-06,2.7e-05,6e-06
sat/ex039_33.cnf.bz2,0.000766,0.18561,5e-06,0.000114,5e-06
sat/ex065_25.cnf.bz2,0.000978,0.180683,7e-06,0.000163,7e-06
sat/ex067_10.cnf.bz2,0.000479,0.129382,1e-06,0.0001,1e-06
sat/ex187_10.cnf.bz2,0.000338,0.120015,1e-06,6.8e-05,1e-06
sat/exam0.04_2018_3.cnf.bz2,0.00106,0.256338,3e-06,2.1e-05,7e-06
sat/factoring29986577x29986577.cnf.bz2,0.005137,0.03819,0.000582,0.001695,0.000291
sat/factoring39916801x54018521.cnf.bz2,0.005026,0.037331,0.000808,0.001578,0.000359
sat/factoring54018521x562448657.cnf.bz2,0.004364,0.037789,0.000614,0.001214,0.000273
sat/filter_iir_true-unreach-call.c.cnf.bz2,0.001357,0.108038,3e-06,8e-06,2e-06
sat/filter1_true-unreach-call.c.cnf.bz2,0.000381,0.108271,3e-06,9e-06,2e-06
sat/frb35-17-5_ext.cnf.bz2,0.07649,0.318555,0.02209,0.051473,0.003018
sat/full-ax-xa.rules.7-7.cnf.bz2,0.001298,0.127132,9e-06,2.8e-05,7e-06
sat/full-by-za.rules.5-7.cnf.bz2,0.00256,0.1355,2.3e-05,7.4e-05,1.9e-05
sat/full-cy-caa.rules.7-7.cnf.bz2,0.001356,0.128041,9e-06,2.9e-05,8e-06
sat/gto_p60c231_1.cnf.bz2,0.043053,0.218266,0.007828,0.02463,0.007828
sat/gto_p60c231.cnf.bz2,0.043307,0.215759,0.007874,0.025048,0.007874
sat/gto_p60c234.cnf.bz2,0.041825,0.201518,0.007605,0.024038,0.007605
sat/gto_p60c243.cnf.bz2,0.045936,0.20092,0.010601,0.024228,0.014134
sat/Karatsuba4477457x5308417.cnf.bz2,0.059445,0.114303,0.000493,0.008952,0.000219
sat/lei450-05b-05.cnf.bz2,0.007169,0.181046,0.002063,0.004354,0.001285
sat/less-cy-caa.rules.4-9.cnf.bz2,0.002335,0.111869,2.6e-05,8.7e-05,1.6e-05
sat/magicSquare-8_glb.cnf.bz2,0.004159,0.047356,0.000231,0.000507,0.000142
sat/mchess_15.cnf.bz2,0.015504,0.114902,0.004307,0.010792,0.005168
sat/mchess_16.cnf.bz2,0.014211,0.089686,0.00374,0.009436,0.00374
sat/mchess_17.cnf.bz2,0.012435,0.084043,0.003272,0.00821,0.003272
sat/Nb13T165.cnf.bz2,0.000235,0.018184,2e-06,5e-06,1e-06
sat/Nb13T166.cnf.bz2,0.000233,0.018129,2e-06,5e-06,1e-06
sat/Nb29T6.cnf.bz2,0.003448,0.08161,6e-06,1.4e-05,4e-06
sat/Nb37T6.cnf.bz2,0.002703,0.081626,3e-06,7e-06,2e-06
sat/Nb42T6.cnf.bz2,0.002381,0.081631,2e-06,5e-06,1e-06
sat/Nb45T6.cnf.bz2,0.002222,0.081633,2e-06,4e-06,1e-06
sat/Nb8T62.cnf.bz2,0.001025,0.02922,2.6e-05,5.8e-05,1.5e-05
sat/Nb8T63.cnf.bz2,0.001008,0.028991,2.5e-05,5.7e-05,1.5e-05
sat/newton_3_4_true-unreach-call.i.cnf.bz2,0.001068,0.104036,1e-05,2.4e-05,6e-06
sat/newton_3_6_false-unreach-call.i.cnf.bz2,0.001068,0.104036,1e-05,2.4e-05,6e-06
sat/pals_floodmax.5_overflow_false-unreach-call.ufo.UNBOUNDED.pals.c.cnf.bz2,0.003288,0.159989,0.000523,0.001172,0.000448
sat/pals_lcr-var-start-time.5_true-unreach-call.ufo.UNBOUNDED.pals.c.cnf.bz2,0.01901,0.165522,0.000265,0.000686,0.000199
sat/pals_lcr-var-start-time.6_true-unreach-call.ufo.UNBOUNDED.pals.c.cnf.bz2,0.016736,0.168606,0.000416,0.001057,0.000312
sat/pals_lcr.8_overflow_false-unreach-call.ufo.UNBOUNDED.pals.c.cnf.bz2,0.015938,0.198209,0.0001,0.000558,0.0001
sat/patat-08-comp-3.cnf.bz2,0.006258,0.241535,2.3e-05,0.00018,2e-05
sat/prime_119218851371.cnf.bz2,0.006804,0.088132,0.000707,0.001619,0.000353
sat/prime_200560490131.cnf.bz2,0.006777,0.087031,0.000669,0.001538,0.000335
sat/Problem11_label51_false-unreach-call.c.cnf.bz2,0.007653,0.101302,1e-06,5e-06,0.0
sat/Problem14_label14_false-unreach-call.c.cnf.bz2,0.006983,0.104634,2e-06,6e-06,1e-06
sat/Problem14_label19_true-unreach-call.c.cnf.bz2,0.00698,0.104629,2e-06,6e-06,1e-06
sat/Problem14_label20_true-unreach-call.c.cnf.bz2,0.004794,0.104627,2e-06,4e-06,1e-06
sat/Problem14_label57_false-unreach-call.c.cnf.bz2,0.006983,0.10463,2e-06,6e-06,1e-06
sat/quadratic_loose_error.c.cnf.bz2,0.002188,0.095092,1.8e-05,4.3e-05,1e-05
sat/quadratic_tight_error.c.cnf.bz2,0.002187,0.095145,1.8e-05,4.3e-05,1e-05
sat/queen12_12.col.12.cnf.bz2,0.002366,0.0,0.001816,0.001984,0.006218
sat/queen8_12.col.12.cnf.bz2,0.003342,0.0,0.002611,0.002976,0.009016
sat/queen8-8-9.cnf.bz2,0.036477,0.279845,0.028173,0.030583,0.0129
sat/ramsey-30-4.cnf.bz2,0.006897,0.0,0.006897,0.006897,0.006958
sat/satcoin-genesis-SAT-1024.cnf.bz2,0.000248,0.02756,1.2e-05,3.7e-05,7e-06
sat/satcoin-genesis-SAT-16.cnf.bz2,0.000226,0.027392,1.2e-05,3.7e-05,7e-06
sat/satcoin-genesis-SAT-2048.cnf.bz2,0.000248,0.027577,1.2e-05,3.7e-05,7e-06
sat/satcoin-genesis-SAT-3.cnf.bz2,0.000228,0.027243,1.2e-05,3.7e-05,7e-06
sat/satcoin-genesis-SAT-64.cnf.bz2,0.000226,0.027395,1.2e-05,3.7e-05,7e-06
sat/satcoin-genesis-SAT-7.cnf.bz2,0.00023,0.027389,1.2e-05,3.7e-05,7e-06
sat/satcoin-genesis-SAT-8.cnf.bz2,0.000226,0.027392,1.2e-05,3.7e-05,7e-06
sat/satcoin-genesis-SAT-9.cnf.bz2,0.00023,0.027392,1.2e-05,3.7e-05,7e-06
sat/sdiv15prop.cnf.bz2,0.032162,0.103922,0.000825,0.002214,0.000825
sat/sdiv17prop.cnf.bz2,0.028322,0.102541,0.000641,0.001717,0.000641
sat/si2-b03m-m400-03.cnf.bz2,0.084307,0.29928,7.3e-05,0.0113,7.3e-05
sat/si2-b03m-m800-03.cnf.bz2,0.061062,0.340124,9e-06,0.005843,9e-06
sat/si2-b06m-m1000-03.cnf.bz2,0.052432,0.288653,2.3e-05,0.007897,2.3e-05
sat/sqrt_ineq_3.c.cnf.bz2,0.001432,0.087831,1e-05,2.9e-05,7e-06
sat/sted1_0x0-330.cnf.bz2,0.001597,0.412849,5.8e-05,0.000274,5.8e-05
sat/sted1_0x24204-330.cnf.bz2,0.001668,0.287969,5.5e-05,0.000284,5.5e-05
sat/sted5_0x0-50.cnf.bz2,0.007357,0.414635,0.000446,0.001563,0.000446
sat/sted5_0x0-60.cnf.bz2,0.007059,0.414798,0.00057,0.001572,0.000588
sat/sted5_0x24204-50.cnf.bz2,0.007675,0.268772,0.000424,0.001636,0.000424
sat/terminator_03_true-unreach-call_true-termination.i.cnf.bz2,0.017193,0.155622,1.7e-05,5.9e-05,1e-05
sat/TimetableCNFEncoding_1_UNKNOWN.cnf.bz2,7.7e-05,0.318617,0.0,1.5e-05,0.0
sat/TimetableCNFEncoding_17_UNKNOWN.cnf.bz2,7.8e-05,0.320418,0.0,1.5e-05,0.0
sat/TimetableCNFEncoding_20_UNKNOWN.cnf.bz2,7.5e-05,0.321116,0.0,1.4e-05,0.0
sat/udiv35prop.cnf.bz2,0.00703,0.08334,0.000377,0.000633,0.000283
sat/udiv40prop.cnf.bz2,0.006072,0.08103,0.000287,0.000483,0.000216
sat/uniqinv25prop.cnf.bz2,0.018947,0.079031,0.000798,0.001261,0.000499
