instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18,algorithm_19,algorithm_20,algorithm_21,algorithm_22,algorithm_23,algorithm_24
instance_16,0.02,0.18,0.16,18000.0,0.16,463.42,0.02,0.04,0.04,0.21,0.24,18000.0,18000.0,1.55,0.02,0.05,0.05,0.16,18000.0,0.15,18000.0,18000.0,2.12,1.94
instance_19,0.03,18000.0,0.26,11.34,0.26,0.33,0.03,0.05,0.05,0.41,3.12,0.71,18000.0,0.07,0.03,0.06,0.06,0.25,0.04,0.25,18000.0,0.22,0.07,0.07
instance_20,0.01,0.06,0.03,0.24,0.03,0.07,0.01,0.02,0.0,0.08,0.07,0.02,0.01,0.0,0.0,0.04,0.04,0.03,0.0,0.03,0.0,0.01,0.0,0.0
instance_21,0.0,18000.0,0.01,0.68,0.01,0.27,0.0,0.02,0.01,0.02,0.29,1.71,18000.0,0.31,0.0,0.04,0.04,0.01,18000.0,0.02,18000.0,0.01,0.31,0.31
instance_22,44.78,18000.0,22.7,18000.0,8.27,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,531.79,13.73,18000.0,18000.0,18000.0,160.06,18000.0,18000.0,18000.0,489.31,505.46
instance_23,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_26,18000.0,18000.0,448.9,18000.0,18000.0,18000.0,18000.0,63.34,18000.0,18000.0,18000.0,587.42,18000.0,18000.0,18000.0,66.84,62.91,13.99,15.77,15.8,18000.0,578.87,18000.0,18000.0
instance_27,0.02,18000.0,0.15,20.59,0.15,0.36,0.02,0.04,0.19,0.21,0.45,46.71,12.21,18000.0,0.02,0.05,0.05,0.14,0.04,0.15,12.13,1.06,18000.0,18000.0
instance_28,0.0,0.06,0.03,0.45,0.03,1.07,0.0,0.03,0.0,0.11,1.24,0.61,0.02,0.01,0.0,0.04,0.05,0.03,0.01,0.07,0.02,0.02,0.01,0.01
instance_31,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,15.97,18000.0,20.24,18000.0,24.45,18000.0,18000.0
instance_33,0.32,0.72,0.7,18000.0,0.72,0.45,0.25,0.32,0.43,1.12,0.48,0.11,18000.0,0.08,0.17,0.34,0.33,0.69,0.27,0.69,18000.0,0.47,0.09,0.08
instance_36,0.0,0.04,0.0,0.05,0.01,0.08,0.0,0.02,0.0,0.02,0.08,0.02,0.0,0.0,0.0,0.03,0.03,0.0,0.02,0.01,0.0,0.0,0.0,0.0
instance_38,0.0,18000.0,0.02,0.75,0.02,0.1,0.0,0.04,0.0,0.12,0.16,0.02,0.01,0.01,0.0,0.04,0.03,0.02,0.01,0.03,0.0,0.02,0.01,0.0
instance_39,0.01,18000.0,0.03,2.11,0.03,0.62,0.01,0.03,0.02,0.06,0.62,3.71,18000.0,1.35,0.01,0.04,0.04,0.02,18000.0,0.03,18000.0,0.02,1.34,1.38
instance_42,0.01,0.11,0.18,30.82,0.09,0.19,0.01,0.03,0.12,0.11,0.24,0.31,29.56,0.05,0.01,0.04,0.04,0.08,0.02,0.09,29.65,0.13,0.06,0.06
instance_44,0.01,18000.0,0.06,4.66,0.06,0.13,0.01,0.03,0.06,0.11,0.17,0.21,1.03,0.03,0.01,0.04,0.04,0.06,0.01,0.06,1.02,0.09,0.03,0.03
instance_45,0.01,2.3,0.12,4.1,0.12,0.32,0.01,0.09,0.01,0.21,0.46,0.02,0.33,0.01,0.01,0.18,0.1,0.16,0.08,0.14,0.33,0.03,0.01,0.01
instance_47,0.01,18000.0,0.1,0.1,0.11,0.29,0.01,0.03,0.01,0.02,0.29,0.06,18000.0,0.03,0.01,0.04,0.04,0.1,0.01,0.11,0.07,0.01,0.03,0.03
instance_48,0.06,0.34,0.28,5.32,0.27,0.14,0.07,0.05,0.51,0.41,0.12,0.11,7.31,0.01,0.06,0.06,0.06,0.27,0.68,0.27,7.41,0.08,0.01,0.01
instance_49,0.01,0.08,0.05,0.67,0.05,1.67,0.0,0.03,0.0,0.11,1.9,2.71,0.02,0.02,0.0,0.04,0.04,0.05,0.02,0.09,0.03,0.03,0.02,0.02
instance_52,1.43,18000.0,6.07,18000.0,6.62,120.57,1.44,3.11,2.35,0.61,120.92,7.11,11.82,12.02,1.43,3.16,3.12,6.42,50.8,6.24,1.23,0.58,12.04,11.98
instance_53,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_54,1.58,18000.0,3.36,18000.0,2.6,1.16,18000.0,117.05,18000.0,2.71,1.15,18000.0,40.29,6.82,0.38,117.04,117.06,3.19,0.05,3.24,37.69,8.11,6.65,6.54
instance_55,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_56,150.14,18000.0,286.25,18000.0,301.03,20.04,18000.0,18000.0,234.88,18000.0,20.99,18000.0,18000.0,18000.0,62.73,18000.0,18000.0,157.11,0.25,158.54,18000.0,18000.0,18000.0,18000.0
instance_58,0.01,0.08,0.05,4.59,0.05,0.13,0.01,0.02,0.06,0.11,0.16,0.1,1.62,0.01,0.0,0.04,0.04,0.05,0.01,0.05,1.61,0.08,0.01,0.01
instance_59,0.02,0.19,0.16,18000.0,0.16,591.31,0.02,0.04,0.05,0.21,0.25,18000.0,18000.0,1.57,0.02,0.05,0.05,0.14,18000.0,0.16,18000.0,18000.0,1.69,1.68
instance_60,0.01,0.07,0.03,0.26,0.03,0.07,0.01,0.02,0.0,0.08,0.07,0.02,0.01,0.0,0.01,0.03,0.04,0.03,0.0,0.03,0.0,0.01,0.0,0.0
instance_61,0.0,18000.0,0.03,2.51,0.03,0.14,0.0,0.02,0.03,0.08,0.15,0.02,0.04,0.01,0.0,0.03,0.04,0.03,0.02,0.04,0.04,0.06,0.01,0.01
instance_63,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,15.37,18000.0,71.18,18000.0,18000.0,18000.0,18000.0,1.44,18000.0,18000.0,18000.0,30.78,18000.0,18000.0,18000.0,18000.0
instance_64,4.15,17.16,4.32,8.15,4.14,4.59,0.16,0.5,0.11,12.61,1.74,4.01,18000.0,0.69,0.11,1.0,0.52,1.37,0.09,1.43,18000.0,2.6,0.71,0.83
instance_66,18000.0,18000.0,108.65,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,561.41,18000.0,239.61,18000.0,15.01,1.5,18000.0,18000.0,56.62,0.49,58.8,18000.0,18000.0,34.86,18000.0
instance_67,0.01,18000.0,0.11,43.45,0.11,0.38,0.01,0.03,0.23,0.21,0.47,0.1,3.04,0.02,0.01,0.04,0.04,0.1,0.06,0.11,3.04,0.54,0.02,0.02
instance_68,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_69,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,31.81,18000.0,18000.0,221.41,93.34,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,133.85,18000.0,135.59,18000.0,102.16,18000.0,18000.0
instance_70,0.07,18000.0,0.78,18000.0,0.85,18000.0,0.07,0.09,4.16,2.22,18000.0,14.01,0.47,0.06,0.07,0.11,0.11,0.81,0.16,0.81,0.46,14.93,0.06,0.06
instance_71,150.52,18000.0,176.35,18000.0,171.39,18.38,18000.0,18000.0,203.96,18000.0,18.72,18000.0,18000.0,18000.0,49.06,18000.0,18000.0,99.5,0.24,100.77,18000.0,18000.0,18000.0,513.95
instance_72,0.02,18000.0,0.13,109.29,0.13,0.3,0.02,0.04,0.16,0.21,0.34,0.09,58.94,0.02,0.02,0.05,0.05,0.13,0.03,0.13,58.9,0.09,0.02,0.02
instance_73,0.18,18000.0,0.04,0.57,0.04,0.16,0.04,0.02,0.12,0.21,0.3,0.02,0.01,0.0,0.03,0.04,0.04,0.03,0.04,0.04,0.01,0.08,0.0,0.0
instance_74,0.02,18000.0,0.17,18000.0,0.18,0.32,0.02,0.04,0.27,0.31,0.59,18000.0,18000.0,18000.0,0.02,0.05,0.05,0.17,0.03,0.17,18000.0,18000.0,18000.0,18000.0
instance_76,0.01,18000.0,0.09,10.15,0.09,0.23,0.01,0.03,0.11,0.21,0.24,0.41,1.29,0.98,0.01,0.04,0.05,0.09,0.02,0.09,1.27,0.1,0.46,0.51
instance_77,0.03,18000.0,0.23,18000.0,0.24,0.61,0.03,0.05,0.36,0.31,0.87,18000.0,12.04,18000.0,0.03,0.06,0.06,0.22,0.05,0.24,11.77,18000.0,18000.0,18000.0
instance_78,0.01,18000.0,0.06,5.94,0.06,0.17,0.01,0.03,0.08,0.11,0.17,0.02,1.06,0.01,0.01,0.04,0.04,0.05,0.02,0.06,1.05,0.06,0.01,0.01
instance_80,0.0,0.04,0.01,0.05,0.01,0.07,0.0,0.02,0.0,0.02,0.07,0.02,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0
instance_81,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,47.02,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_82,10.06,18000.0,11.69,18000.0,18000.0,18000.0,53.95,10.53,18000.0,23.12,18000.0,28.11,18000.0,1.18,5.11,19.88,10.5,23.42,0.57,26.81,18000.0,22.04,1.17,1.17
instance_83,14.91,18000.0,10.95,18000.0,572.42,18000.0,18000.0,9.94,18000.0,8.61,18000.0,0.11,18000.0,7.48,18000.0,18.52,9.89,14.27,5.27,16.53,18000.0,1.06,10.96,7.74
instance_84,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_87,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,19.5,18000.0,199.69,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,41.74,18000.0,18000.0,18000.0,18000.0
instance_88,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,54.32,18000.0,177.11,18000.0,130.52,18000.0,18000.0,18000.0,25.35,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_90,0.02,18000.0,0.2,40.22,0.2,0.43,0.02,0.05,0.49,0.31,0.37,9.11,18000.0,3.35,0.02,0.06,0.06,0.18,0.03,0.19,18000.0,0.19,4.22,3.56
instance_91,18000.0,23.87,3.1,259.89,18.57,25.66,0.48,13.91,18000.0,18000.0,57.89,1.81,18000.0,131.8,0.13,40.75,42.84,5.26,12.91,27.45,18000.0,4.34,529.26,0.97
instance_92,0.64,57.26,1.79,18000.0,1.74,10.33,0.57,0.92,18000.0,2.81,3.25,0.51,270.27,10.11,0.57,1.44,0.93,1.96,30.12,2.05,267.69,1.94,10.11,10.17
instance_94,0.75,18000.0,3.51,18000.0,3.4,59.27,0.75,1.68,1.16,0.41,59.5,3.61,3.9,3.97,0.75,1.66,1.65,3.36,3.54,3.34,0.65,0.3,3.96,3.95
instance_95,0.07,3.83,0.4,3.64,0.38,0.26,0.07,0.48,0.14,0.51,0.26,0.07,0.24,0.04,0.06,1.15,0.51,0.59,0.02,31.29,0.23,0.13,0.03,0.04
instance_96,0.02,18000.0,0.17,7.41,0.17,0.27,0.02,0.05,0.03,0.31,0.72,0.51,109.72,0.05,0.02,0.05,0.06,0.17,0.03,0.17,110.3,0.15,0.05,0.05
instance_97,1.05,18000.0,1.9,18000.0,1.44,0.85,18000.0,10.46,6.65,3.51,0.83,18000.0,70.36,88.98,0.25,10.45,10.37,1.91,0.03,1.97,73.29,4.01,84.99,86.34
instance_98,0.0,18000.0,0.04,1.32,0.04,0.1,0.0,0.02,0.0,0.06,0.2,0.02,0.03,0.01,0.0,0.04,0.03,0.04,0.01,0.05,0.02,0.04,0.01,0.01
instance_99,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,66.1,18000.0,46.71,18000.0,53.21,18000.0,46.6,521.98,49.93,32.48,44.11,18000.0,45.05,18000.0,75.28,51.73,46.99
instance_100,18000.0,18000.0,209.8,18000.0,586.84,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,491.9,18000.0,18000.0,18000.0,18000.0,9.03,18000.0,11.25,483.29,8.22,18000.0,18000.0
instance_101,7.61,18000.0,6.23,18000.0,8.79,42.58,200.92,0.6,18000.0,3.81,88.15,8.21,38.06,5.32,12.89,1.14,0.7,1.5,6.92,1.98,37.35,1.08,4.63,4.58
instance_103,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_104,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_105,0.05,1.89,0.41,2.39,0.41,0.33,0.05,0.13,0.09,0.51,0.35,0.08,0.13,0.08,0.05,0.19,0.14,0.41,0.02,0.42,0.13,0.08,0.08,0.08
instance_108,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,119.66,18000.0,18000.0,18000.0,18000.0,27.46,18000.0,18000.0,18000.0,18000.0
instance_109,18.88,32.72,4.0,13.21,3.51,37.41,0.15,34.44,18000.0,7.72,6.86,6.21,18000.0,5.9,0.17,1.81,1.53,3.85,18000.0,7.92,18000.0,7.89,7.88,2.14
instance_110,0.06,2.17,0.23,1.52,0.22,0.23,0.06,0.09,0.03,0.31,0.25,0.02,0.5,0.02,0.05,0.11,0.1,0.23,0.04,0.24,0.5,0.05,0.02,0.02
instance_112,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_113,0.35,18000.0,0.4,77.22,0.4,0.09,0.35,1.21,0.01,2.31,0.09,1.12,0.15,0.02,0.35,1.26,1.24,0.39,0.0,0.39,0.15,0.07,0.02,0.02
instance_114,50.96,18000.0,91.46,18000.0,84.83,13.02,18000.0,18000.0,18000.0,18000.0,25.91,18000.0,18000.0,18000.0,40.27,18000.0,18000.0,60.29,0.09,60.46,18000.0,18000.0,18000.0,292.92
instance_115,18000.0,18000.0,18000.0,18000.0,18000.0,218.92,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_117,0.0,0.04,0.0,0.07,0.01,0.11,0.0,0.02,0.0,0.02,0.11,0.02,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0
instance_118,114.35,40.02,314.97,125.64,174.55,41.08,305.74,18000.0,111.71,18000.0,49.28,18000.0,18000.0,18000.0,178.19,18000.0,18000.0,188.45,236.87,5.75,18000.0,18000.0,18000.0,18000.0
instance_122,0.0,0.04,0.01,1.92,0.01,0.07,0.0,0.02,0.0,0.02,0.07,0.03,0.0,0.0,0.0,0.03,0.03,0.01,0.0,0.01,0.0,0.01,0.0,0.0
instance_123,18000.0,18000.0,18000.0,18000.0,18000.0,5.45,18000.0,18000.0,0.18,138.11,2.69,18000.0,18000.0,18000.0,1.5,18000.0,18000.0,552.63,18000.0,34.21,18000.0,18000.0,18000.0,18000.0
instance_124,18000.0,18000.0,18000.0,18000.0,18000.0,1.36,18000.0,18000.0,8.68,18000.0,72.18,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_126,18000.0,147.8,38.51,223.17,19.86,6.16,32.06,3.48,1.37,12.02,6.1,3.11,18000.0,1.14,1.87,3.5,3.51,20.38,6.34,21.71,18000.0,11.9,1.16,1.17
instance_128,0.02,1.37,0.14,2.53,0.14,0.38,0.02,0.06,0.03,0.21,0.8,0.12,0.71,0.02,0.02,0.07,0.07,0.13,0.5,0.14,0.71,0.03,0.03,0.03
instance_129,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_131,0.01,0.16,0.12,138.84,0.13,18000.0,0.01,0.03,1.78,0.41,18000.0,0.02,0.1,0.07,0.01,0.04,0.05,0.13,18000.0,0.13,0.08,0.24,0.07,0.07
instance_132,260.44,18000.0,314.36,18000.0,532.0,34.21,18000.0,18000.0,18000.0,18000.0,78.96,18000.0,18000.0,18000.0,161.54,18000.0,18000.0,184.3,0.17,182.67,18000.0,18000.0,18000.0,18000.0
instance_134,0.02,0.16,0.14,7.74,0.13,0.25,0.02,0.04,0.25,0.21,8.47,0.21,5.03,0.08,0.02,0.05,0.05,0.14,0.02,0.15,5.04,0.1,0.07,0.06
instance_135,13.16,18000.0,18000.0,18000.0,18000.0,18000.0,13.28,11.37,7.5,69.62,18000.0,15.32,18000.0,18000.0,13.19,11.47,11.44,18000.0,21.47,18000.0,18000.0,69.56,18000.0,18000.0
instance_136,0.0,18000.0,0.03,1.01,0.03,0.1,0.0,0.02,0.03,0.09,0.12,0.02,0.03,0.01,0.0,0.03,0.04,0.02,0.01,0.03,0.02,0.04,0.01,0.01
instance_137,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,61.8,18000.0,18000.0,18000.0,18000.0
instance_140,0.03,0.49,0.48,18000.0,0.47,18000.0,0.03,0.06,20.56,1.51,18000.0,18000.0,2.22,0.12,0.03,0.07,0.07,0.43,18000.0,0.46,2.17,1.16,0.12,0.12
instance_142,0.01,0.1,0.07,3.17,0.07,0.17,0.01,0.03,0.08,0.11,0.19,0.21,0.06,0.07,0.01,0.04,0.04,0.07,0.02,0.07,0.05,0.09,0.05,0.07
instance_143,0.03,0.25,0.22,34.4,0.23,0.66,0.03,0.05,0.58,0.31,22.94,6.52,134.34,1.13,0.03,0.06,0.06,0.22,0.04,0.22,133.92,1.07,1.48,1.17
instance_144,0.53,1.41,1.41,18000.0,1.41,9.56,0.53,0.84,33.81,2.71,148.66,5.52,18000.0,0.71,0.54,0.85,0.85,1.36,0.29,1.36,18000.0,2.39,0.68,0.69
instance_145,0.12,18000.0,0.54,43.32,0.55,16.17,0.12,0.31,0.22,0.11,16.2,0.71,0.36,0.39,0.12,0.32,0.32,0.51,0.38,0.52,0.13,0.06,0.39,0.39
instance_146,0.03,0.26,0.25,14.36,0.24,0.29,0.03,0.06,0.2,0.41,0.31,1.02,0.55,0.16,0.03,0.08,0.08,0.23,18000.0,0.24,0.54,7.36,0.16,0.16
instance_147,0.36,0.9,0.87,18000.0,0.89,18000.0,0.39,0.45,74.86,1.12,18000.0,18000.0,13.23,25.62,0.36,0.46,0.46,0.88,18000.0,0.87,0.19,2.06,25.65,25.65
instance_152,0.01,18000.0,0.11,91.16,0.12,0.4,0.01,0.03,0.32,0.31,0.5,0.12,3.59,0.02,0.01,0.05,0.05,0.11,0.06,0.12,3.62,0.6,0.02,0.02
instance_154,59.2,18000.0,87.72,18000.0,83.39,11.19,18000.0,464.72,246.78,480.01,12.45,18000.0,18000.0,18000.0,11.53,18000.0,463.52,75.75,0.25,76.0,18000.0,214.06,18000.0,18000.0
instance_155,0.47,18000.0,1.97,18000.0,1.97,62.19,0.47,1.11,1.2,0.31,61.66,2.41,2.31,2.56,0.47,1.15,1.13,1.88,1.43,1.92,0.47,0.21,2.56,2.57
instance_156,0.07,18000.0,0.35,40.09,0.33,9.01,0.07,0.2,0.07,0.09,9.18,0.41,0.19,0.21,0.07,0.21,0.2,0.32,0.87,0.34,0.08,0.04,0.21,0.21
instance_157,0.08,0.58,0.54,2.0,0.54,4.89,0.08,0.15,0.05,0.61,0.9,0.31,18000.0,0.28,0.08,0.16,0.17,0.54,3.08,0.56,18000.0,0.34,0.29,0.29
instance_158,0.01,18000.0,0.1,16.48,0.11,0.28,0.01,0.03,0.13,0.21,0.33,1.31,2.65,28.06,0.01,0.05,0.05,0.1,0.03,0.11,2.66,0.14,8.35,5.25
instance_159,0.03,11.58,0.29,18000.0,0.28,0.6,0.04,0.14,0.06,0.31,0.68,0.06,0.45,0.05,0.03,0.25,0.15,0.32,0.04,0.37,0.43,0.05,0.03,0.03
instance_160,18000.0,18000.0,18000.0,18000.0,18000.0,0.64,18000.0,18000.0,4.27,1.61,0.72,2.01,3.78,9.29,18000.0,18000.0,18000.0,18000.0,18000.0,34.55,3.81,2.76,14.14,3.28
instance_161,18000.0,554.55,18000.0,18000.0,18000.0,18000.0,162.34,207.06,120.11,18000.0,18000.0,18000.0,18000.0,52.95,6.68,414.49,203.81,163.96,1.02,164.9,18000.0,18000.0,31.52,33.63
instance_162,18000.0,235.83,18000.0,18000.0,33.4,18000.0,2.11,18000.0,18000.0,18000.0,135.32,86.31,18000.0,18000.0,1.4,18000.0,18000.0,346.02,84.84,26.83,18000.0,2.52,18000.0,18000.0
instance_164,0.02,0.17,0.15,9.88,0.14,0.24,0.02,0.04,0.26,0.21,0.26,0.81,0.26,0.2,0.02,0.05,0.05,0.14,0.02,0.15,0.25,0.11,0.33,0.21
instance_165,0.14,0.48,0.46,395.16,0.44,1.41,0.14,0.17,7.03,0.81,57.19,1.51,18000.0,0.21,0.14,0.18,0.18,0.43,0.11,0.43,18000.0,0.58,0.2,0.22
instance_166,0.0,18000.0,0.01,0.09,0.0,0.07,0.0,0.02,0.0,0.02,0.07,0.02,0.0,0.0,0.0,0.03,0.03,0.0,0.06,0.01,0.0,0.0,0.0,0.0
instance_167,1.99,3.66,3.75,18000.0,3.67,18000.0,2.0,0.93,9.26,4.01,18000.0,18000.0,1.86,0.12,2.0,0.94,0.94,3.62,18000.0,3.64,1.86,3.02,0.12,0.12
instance_168,0.19,0.98,0.96,18000.0,1.0,0.65,0.2,0.31,38.5,1.21,1.49,0.21,29.83,0.19,0.19,0.51,0.32,0.95,0.16,0.96,16.06,0.57,0.19,0.19
instance_169,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,45.01,388.93,18000.0,109.03,18000.0,37.42,18000.0,18000.0,22.19,18000.0,390.17,18000.0,18000.0,18000.0,18000.0,111.86,18000.0,18000.0
instance_170,0.01,18000.0,0.07,12.39,0.07,0.23,0.01,0.03,0.07,0.12,0.26,0.02,0.4,0.01,0.01,0.04,0.04,0.06,0.04,0.06,0.39,0.19,0.01,0.01
instance_171,187.03,18000.0,285.16,18000.0,18000.0,508.39,18000.0,28.49,56.93,126.71,43.37,18.82,18000.0,3.02,18000.0,41.05,28.5,33.07,2.05,39.92,18000.0,38.58,40.93,8.31
instance_172,11.44,14.52,14.58,18000.0,14.48,0.59,11.43,70.92,6.62,3.22,0.6,18000.0,39.33,0.43,11.41,72.04,72.27,14.21,0.02,14.25,44.41,3.87,0.43,0.43
instance_176,0.01,0.09,0.06,0.6,0.06,0.19,0.01,0.04,0.0,0.11,3.39,0.08,18000.0,0.02,0.01,0.05,0.05,0.05,0.04,0.06,18000.0,0.04,0.02,0.02
instance_177,516.29,18000.0,18000.0,18000.0,18000.0,33.76,18000.0,18000.0,395.7,18000.0,34.94,18000.0,18000.0,18000.0,216.86,18000.0,18000.0,18000.0,0.51,18000.0,18000.0,18000.0,18000.0,18000.0
instance_179,0.0,18000.0,0.01,0.13,0.01,0.1,0.0,0.02,0.0,0.02,0.1,0.61,117.1,0.02,0.0,0.03,0.03,0.01,18000.0,0.01,116.89,0.0,0.02,0.02
instance_180,0.03,7.93,0.23,18000.0,0.22,0.51,0.03,0.14,0.03,0.31,0.58,0.1,0.14,0.05,0.02,0.29,0.15,0.89,0.03,0.91,0.13,0.05,0.02,0.02
