instance,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_58,feature_59,feature_60,feature_61,feature_62,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_56,feature_57
instance_995,20032.0,59252.0,7912.0,34808.0,6.1276,2.8092,0.9092,1.91,2.9696,0.0,4.0,4.806,0.006,2.2836,0.004,0.1276,3.6252,0.0,0.9584,3.5048,0.006,4.4564,0.0036,0.0636,4.9212,0.4128,0.4612,0.0,2.2224,4.9812,0.0028,4.0944,0.0004,0.032,7.6164,2.1676,0.0052,5.5284,0.0024,0.0552,0.0176,4.202,0.0036,0.0652,11.8284,0.494,2.8068,0.0576,2.3272,9.5812,24.4672,0.338,16.0,28.0,3.0536,3655.24,2.2828,1908.0,9648.0,6560.0,2096.0,5656.0,2432.0,2768.0,111.052,0.4572,90.364,138.976,125.56,93.076,120.756,102.768,109.176,0.4616,5.1524,0.0,3.388,0.7784,0.0296,0.636,0.0332,0.39,0.1328,3.336,0.0,0.8364,0.1488,0.0824,0.146,0.084,0.1188,387.868,0.872,1566.48,0.1624,1564.0,1484.0,1652.0,2.7708,0.9824,3.3384,0.0888,431.6,0.486,1565.64,0.1628,1564.0,1488.0,1648.0,1.1076,1.0888,3.3688,0.0652,0.6248,1.9716
instance_1137,200.0,17800.0,200.0,17800.0,0.0,0.0,0.0448,1.2444,2.666,0.5716,4.0,3.9608,0.56,0.0,0.56,0.56,0.0,0.0,0.0,0.0,0.56,0.1304,0.5212,0.6032,14.608,0.1472,0.0956,0.0064,0.4116,8.1708,0.0328,0.4928,0.0232,0.0412,10.8164,0.2336,0.044,0.0,0.044,0.044,,,,,,,,,,,8.0,0.0,8.0,8.0,0.0,18296.0,0.0184,18208.0,18452.0,18452.0,18208.0,18312.0,18244.0,18264.0,78.936,0.02,78.4,79.46,79.46,78.4,79.324,78.74,78.748,0.2956,2.5244,0.0132,0.7872,0.5184,0.0532,0.3992,0.1184,0.3184,0.0004,1.2252,0.0,0.0004,0.0004,0.0,0.0004,0.0,0.0004,26.4004,1.2292,35.6012,0.934,36.0,24.0,48.0,8.8176,1.346,3.5608,0.4652,24.3464,1.2224,35.5724,0.9336,36.0,24.0,48.0,7.7828,1.73,3.4964,0.4624,2.8232,3.0964
instance_1590,2704.0,345696.0,2704.0,345696.0,0.0,0.0,0.0312,2.3768,2.1936,0.0,4.0,2.7052,0.0156,1.1492,0.012,0.154,2.6976,0.0,1.568,3.9976,0.0156,0.0204,0.0152,0.0156,2.906,2.096,0.0076,2.0724,2.1348,0.1252,0.0156,0.0208,0.0148,0.0156,2.906,3.9976,0.0084,0.3332,0.0044,0.0088,,,,,,,,,,,12.0,0.0,12.0,12.0,0.0,10369.2,1.9104,5044.0,16692.0,16692.0,5044.0,16692.0,6044.0,13696.0,153.12,0.2116,141.924,163.408,163.408,141.924,163.408,149.66,157.488,2.77,0.0112,2.7432,2.8072,2.788,2.756,2.7692,2.7692,2.7692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.056,48.364,1281.76,0.3064,1288.0,1216.0,1356.0,162.14,0.4596,3.9816,0.2564,244.188,40.86,1281.16,0.3152,1288.0,1220.0,1356.0,171.152,0.4264,4.032,0.5084,3.1228,3.8048
instance_486,1520.0,6460.0,1472.0,6420.0,0.1304,0.0248,0.9172,1.9824,2.3436,0.0,4.0,2.9248,0.0332,0.2844,0.0328,0.0544,0.7056,0.0,0.0,3.8428,0.0332,1.164,0.0124,0.0696,10.7764,0.8608,0.6588,0.0,2.8572,12.9756,0.016,1.6608,0.0024,0.0448,9.2612,1.9464,0.0644,1.1332,0.0248,0.132,0.0504,0.9484,0.0176,0.1048,11.8276,0.4384,0.9564,0.2388,1.1428,9.1916,16.0,0.0,16.0,16.0,0.0,15820.4,0.0604,15492.0,16392.0,16392.0,15492.0,15832.0,15760.0,15788.0,90.252,0.2304,83.876,101.16,101.16,83.876,93.92,86.86,90.2,1.5364,2.3816,0.0004,3.5616,2.8552,0.3052,2.222,0.7964,1.512,0.3392,2.626,0.01,1.1172,0.646,0.1008,0.4804,0.1652,0.2796,54.032,1.2564,327.592,0.3272,328.0,292.0,360.0,3.85,0.8208,3.4112,0.1696,44.66,1.1676,328.136,0.32,328.0,296.0,360.0,1.566,1.568,3.364,0.1648,1.3164,2.446
instance_956,2800.0,56000.0,2800.0,56000.0,0.0,0.0,0.2,1.4964,2.608,0.8,4.0,3.3176,0.0284,0.0,0.0284,0.0284,0.0,0.0,0.0,0.0,0.0284,0.388,0.02,0.0368,14.5544,0.3164,0.2432,0.0,1.4504,11.9928,0.0052,0.9272,0.002,0.0092,11.3608,0.7276,0.0872,0.3036,0.0644,0.106,,,,,,,,,,,12.0,0.0,12.0,12.0,0.0,291.964,0.9532,192.0,580.0,356.0,220.0,332.0,244.0,280.0,199.32,0.2688,173.444,239.42,217.824,182.116,206.44,190.052,199.388,0.6664,2.7748,0.0008,2.4552,1.3116,0.1136,0.938,0.2956,0.6044,0.0108,2.6036,0.0016,0.0524,0.0196,0.004,0.0136,0.006,0.0092,156.628,0.7828,535.96,0.316,536.0,488.0,588.0,4.3984,0.8684,3.4272,0.1804,128.476,0.7452,537.72,0.2836,536.0,492.0,588.0,1.7076,1.5908,3.3724,0.124,1.9516,2.4612
instance_864,3768.0,66248.0,3536.0,45952.0,0.2624,1.7668,0.308,1.6248,3.59,0.0,4.0,7.1068,0.0216,2.074,0.0092,0.0588,6.062,0.0,1.1628,1.6888,0.0216,4.6276,0.0004,0.1004,14.4164,2.5232,0.8296,0.0,4.0,13.0772,0.0036,5.7852,0.0,0.0268,10.424,1.1688,0.0228,3.5724,0.0004,0.0572,0.0348,4.4884,0.004,0.5608,16.8456,0.4592,4.66,0.0144,3.9192,10.538,17.8348,0.4512,16.0,24.0,2.8144,11029.2,1.0316,7552.0,16436.0,16436.0,7552.0,11832.0,8960.0,11720.0,146.896,0.4464,120.1,173.264,173.264,120.1,153.596,136.704,153.48,3.0884,0.8236,0.0,4.0,3.6652,2.396,3.6212,2.9092,3.1948,1.2724,2.9236,0.0324,3.9948,1.998,0.1024,1.9928,0.1232,1.936,61.484,8.3668,542.6,0.2972,544.0,500.0,592.0,16.9712,1.0708,3.9376,0.1224,75.764,0.602,542.84,0.294,544.0,492.0,588.0,5.6812,2.2012,3.9572,0.0164,1.5228,2.4764
instance_100,1704000.0,5160000.0,305656.0,1880000.0,18.3,6.9904,0.6504,2.0788,2.9716,0.0,4.0,6.0084,0.0,8.5532,0.0,0.0148,5.0592,0.0,1.6688,3.3904,0.0,10.868,0.0,0.0372,12.5556,0.626,0.7156,0.0,4.0,12.218,0.0,7.122,0.0,0.016,10.2212,1.9136,0.0004,9.5308,0.0,0.0316,,,,,,,,,,,32.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.978,1.788,0.0,4.0,4.0,0.5136,3.9916,2.114,3.7732,0.5076,4.246,0.0,2.0,1.2172,0.0,1.0272,0.0088,0.2776,95180.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7312,0.0,5.75,0.0,72988.0,5.4208,57116.0,3.464,85592.0,0.0,85592.0,16.6968,5.7104,5.8184,2.5,0.64,1.9952
instance_617,4000.0,80000.0,4000.0,80000.0,0.0,0.0,0.2,1.4956,2.6208,0.8,4.0,3.3216,0.02,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.02,0.404,0.0144,0.0272,14.7644,0.3152,0.2436,0.0,1.2244,12.0288,0.0036,0.932,0.0012,0.0064,11.4084,0.7312,0.066,0.3392,0.0496,0.0852,,,,,,,,,,,12.0,0.0,12.0,12.0,0.0,175.112,0.9164,108.0,324.0,220.0,132.0,196.0,148.0,168.0,226.76,0.344,181.92,292.284,252.932,202.416,238.488,212.308,227.348,0.6592,2.8184,0.0016,2.1856,1.3372,0.1156,0.9576,0.2824,0.5692,0.0108,2.7272,0.0008,0.0544,0.0204,0.004,0.014,0.006,0.0092,228.364,2.0972,763.56,0.3144,762.0,704.0,828.0,4.1632,0.8604,3.4192,0.2308,180.82,0.6212,768.52,0.2168,764.0,716.0,820.0,1.4416,1.566,3.3692,0.092,1.9064,2.2772
instance_1333,64956.0,193328.0,21036.0,104356.0,8.3512,3.4104,0.8064,1.9996,2.8888,0.0,4.0,6.1704,0.0024,2.3112,0.0016,0.0488,5.6868,0.0,1.1616,3.0856,0.0024,4.6928,0.0012,0.0276,10.5116,0.6784,0.754,0.0,3.6472,10.6212,0.0012,3.816,0.0004,0.014,8.8616,2.172,0.0024,5.6732,0.0008,0.0304,0.0084,4.6544,0.0008,0.2396,18.0836,0.558,3.4528,0.0072,2.8484,12.7432,28.536,0.3288,20.0,32.0,3.5244,3766.56,0.8804,2564.0,5732.0,4280.0,2588.0,4156.0,3424.0,3620.0,166.824,0.8044,131.02,222.816,209.08,131.624,201.32,132.872,155.076,1.3044,2.7472,0.0032,3.9812,2.2956,0.0908,1.9804,0.5672,1.2276,0.2328,3.3428,0.0,1.6376,0.5172,0.0788,0.3736,0.0908,0.1328,659.84,2.0632,5218.8,0.5944,5314.0,5176.0,5468.0,2.8492,1.4876,3.4556,0.2608,1243.32,0.2008,5313.6,0.0788,5324.0,5188.0,5436.0,2.2968,1.0788,3.5808,0.0352,1.0012,3.6412
instance_1395,500.0,10648.0,500.0,10648.0,0.0,0.0,0.188,1.4888,2.5688,0.8,4.0,3.2772,0.16,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.16,0.3572,0.1264,0.1984,14.0128,0.3284,0.2452,0.0,1.2112,11.7236,0.0288,0.942,0.012,0.0496,11.404,0.7212,0.1808,0.0676,0.1684,0.1864,0.386,0.238,0.3112,0.4732,16.5016,0.3776,0.244,0.3044,0.4596,3.9452,11.8708,0.238,8.0,12.0,0.57,16867.6,0.0748,16528.0,17448.0,17448.0,16528.0,17344.0,16664.0,16768.0,112.196,0.1196,107.66,118.972,118.972,107.66,114.796,109.416,112.744,0.6788,2.6708,0.0056,2.1344,1.3008,0.1708,0.9636,0.328,0.592,0.0072,2.2236,0.0012,0.0216,0.012,0.0028,0.0092,0.0044,0.0064,42.332,1.1044,99.476,0.6132,100.0,80.0,120.0,6.218,0.9796,3.4868,0.2884,37.9504,1.1412,99.504,0.6036,100.0,80.0,120.0,4.3652,1.73,3.4332,0.284,2.2176,2.8148
instance_220,768.0,8064.0,576.0,7296.0,1.3332,0.4212,0.3156,4.0,0.0,4.0,4.0,0.0,0.158,2.4596,0.0556,0.3332,3.1764,0.0,0.3156,0.3156,0.158,0.0,0.158,0.158,0.0,0.1112,0.0,0.1112,0.1112,0.0,0.0812,0.0,0.0812,0.0812,0.0,3.0788,0.3136,0.0,0.3136,0.3136,0.3668,2.6156,0.0768,0.796,3.1764,0.0696,2.8004,0.022,0.2224,3.1764,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4392,0.0,2.4388,2.4392,2.4392,2.4392,2.4392,2.4392,2.4392,1.392,0.0,1.392,1.392,1.392,1.392,1.392,1.392,1.392,0.0,0.0,131.48,0.5924,132.0,108.0,156.0,14.1968,0.688,4.0,0.002,0.0,0.0,131.28,0.5816,132.0,108.0,156.0,14.2036,0.6752,4.0,0.002,3.998,3.9996
instance_275,2240.0,9520.0,2192.0,9472.0,0.0876,0.0204,0.9256,1.9328,2.3368,0.0,4.0,2.6548,0.022,0.2224,0.022,0.0364,0.518,0.0,0.0,3.8884,0.022,1.0776,0.01,0.0456,10.4592,0.944,0.6696,0.0,3.1112,13.2388,0.0108,1.5608,0.0,0.0252,9.1968,1.9492,0.0436,1.0852,0.0204,0.0944,0.0328,0.96,0.012,0.064,11.7152,0.4356,0.9588,0.2224,1.0,9.2488,16.0,0.0,16.0,16.0,0.0,15144.0,0.0744,14772.0,15612.0,15612.0,14772.0,15436.0,14868.0,15212.0,126.372,0.3692,112.136,146.0,146.0,112.136,145.16,121.176,123.744,1.6204,2.2268,0.012,3.8664,2.8456,0.366,2.3308,0.8896,1.578,0.3672,2.4188,0.0176,1.3776,0.664,0.1152,0.5092,0.1952,0.3208,74.224,1.5028,484.24,0.2756,484.0,444.0,524.0,3.662,0.8104,3.4256,0.15,58.916,1.014,484.92,0.2656,484.0,444.0,524.0,1.292,1.4804,3.3828,0.124,1.2804,2.3776
instance_522,17084.0,50480.0,5792.0,27516.0,7.7984,3.3384,0.842,2.0088,2.91,0.0,4.0,6.3692,0.0092,1.9804,0.0056,0.0552,5.7672,0.0,1.1932,3.0552,0.0092,3.0972,0.004,0.0536,11.0644,0.6952,0.7304,0.0,2.9564,11.5248,0.004,2.736,0.0012,0.028,9.374,2.1992,0.0084,3.9044,0.0028,0.0604,0.02,3.152,0.0028,0.2348,16.6732,0.624,2.822,0.0312,2.4848,13.4856,27.0796,0.3468,20.0,32.0,3.5428,6986.8,0.2892,6336.0,7568.0,7568.0,6336.0,7568.0,6336.0,7056.0,140.004,0.6108,112.888,165.148,165.148,112.888,165.148,112.888,141.98,1.3396,2.634,0.0112,3.998,2.508,0.1472,1.9912,0.5856,1.2456,0.2332,3.5576,0.0,1.4992,0.5332,0.0576,0.3668,0.09,0.136,174.24,1.2732,1446.84,0.1448,1444.0,1380.0,1516.0,3.2628,0.882,3.4288,0.0884,319.676,0.4088,1441.28,0.1508,1440.0,1372.0,1512.0,2.6812,1.1292,3.5676,0.0604,1.28,3.9676
instance_1296,26260.0,81948.0,5784.0,33232.0,14.1604,5.8636,0.6964,1.3016,2.0648,0.0,4.0,3.8184,0.0092,1.3864,0.0056,0.0496,4.3632,0.0,0.5012,3.1612,0.0092,4.6708,0.004,0.1176,10.3692,0.3612,0.3556,0.0,2.7368,9.1348,0.0044,5.0004,0.0016,0.062,9.1472,2.1428,0.0072,3.8824,0.0028,0.0664,0.0316,3.5568,0.0028,0.1728,17.6068,0.5616,2.6888,0.068,1.9116,12.7312,37.7496,0.3844,32.0,44.0,5.1656,13133.2,0.4456,11388.0,15316.0,15316.0,11388.0,15316.0,12340.0,13488.0,197.5,0.7348,154.664,255.064,255.064,154.664,255.064,188.18,192.08,1.0144,3.4892,0.0,3.8948,2.6544,0.1064,1.324,0.3236,0.7336,0.11,3.0452,0.0,0.7672,0.1896,0.0348,0.1688,0.0448,0.106,274.18,0.8304,1247.92,0.166,1248.0,1180.0,1316.0,3.2984,0.866,3.3476,0.0864,319.176,0.446,1252.08,0.166,1252.0,1184.0,1320.0,1.4996,1.174,3.3956,0.0744,0.8144,3.968
instance_461,280.0,24920.0,280.0,24920.0,0.0,0.0,0.0448,1.2504,2.7172,0.5716,4.0,4.0108,0.4,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.4,0.1472,0.368,0.4364,15.2068,0.1408,0.1072,0.0064,0.3872,8.5068,0.0236,0.6692,0.0168,0.0332,12.1856,0.2356,0.0444,0.0,0.0444,0.0444,,,,,,,,,,,8.0,0.0,8.0,8.0,0.0,17816.8,0.0776,17504.0,18408.0,18408.0,17504.0,17996.0,17504.0,17672.0,103.724,0.0612,101.912,106.68,106.68,101.912,103.564,103.096,103.372,0.2832,2.9552,0.0136,0.7456,0.6104,0.0436,0.4584,0.0952,0.2392,0.0004,1.3628,0.0,0.0004,0.0004,0.0,0.0004,0.0004,0.0004,34.5468,1.07,48.392,0.822,48.0,36.0,60.0,8.0976,1.2412,3.5184,0.4016,33.7224,1.1332,48.52,0.8312,48.0,36.0,60.0,7.3172,1.6448,3.5104,0.6584,2.726,3.0336
