instance,feature_29,feature_37,feature_25,feature_3,feature_32
instance_307,0.00017,0.60549,0.366,0.00017,5e-05
instance_311,3e-05,0.56737,0.0,3e-05,1e-05
instance_312,0.00026,0.61995,0.36712,0.00026,8e-05
instance_319,7e-05,0.58704,0.36036,7e-05,2e-05
instance_321,0.00029,0.62167,0.36841,0.00029,9e-05
instance_322,7e-05,0.58736,0.35727,7e-05,2e-05
instance_323,9e-05,0.58982,0.36027,9e-05,2e-05
instance_324,0.00018,0.60823,0.36385,0.00018,5e-05
instance_328,0.00086,0.70706,0.63453,0.00071,5e-05
instance_329,0.00043,0.60888,0.66366,0.00037,4e-05
instance_331,0.00092,0.7106,0.62627,0.00073,5e-05
instance_332,0.00043,0.64847,0.66676,0.0004,4e-05
instance_333,0.00036,0.61571,0.65882,0.00036,4e-05
instance_334,0.00039,0.61001,0.66092,0.00037,4e-05
instance_335,0.00044,0.60812,0.65065,0.00036,4e-05
instance_337,0.00098,0.72433,0.65721,0.0008,6e-05
instance_338,0.00045,0.65311,0.64717,0.0004,4e-05
instance_339,0.00052,0.64654,0.65124,0.00043,4e-05
instance_342,0.00102,0.70594,0.62372,0.00074,5e-05
instance_343,0.001,0.72431,0.65272,0.00079,6e-05
instance_344,0.00091,0.72518,0.6488,0.00079,6e-05
instance_345,0.00053,0.64822,0.65359,0.00041,4e-05
instance_348,0.04722,0.5109,0.0,0.00019,0.0
instance_349,0.0369,0.47922,0.0,0.00019,0.0
instance_350,0.03688,0.47946,0.0,0.00019,0.0
instance_351,0.04731,0.51145,0.0,0.00019,0.0
instance_352,0.05328,0.54171,0.0,0.00031,0.0
instance_353,0.05329,0.54148,0.0,0.00031,0.0
instance_354,0.04957,0.52868,0.0,0.00028,0.0
instance_355,0.05007,0.5193,0.0,0.00021,0.0
instance_357,0.05006,0.51946,0.0,0.00021,0.0
instance_358,0.03825,0.47969,0.0,0.0002,0.0
instance_359,0.03956,0.48418,0.0,0.00021,0.0
instance_360,0.0496,0.52831,0.0,0.00028,0.0
instance_361,0.04959,0.52848,0.0,0.00028,0.0
instance_363,0.03689,0.47934,0.0,0.00019,0.0
instance_364,0.00315,0.33451,0.33567,0.00214,0.00028
instance_365,0.00412,0.30176,0.33371,0.00277,0.00028
instance_366,0.00432,0.35808,0.34711,0.00325,0.0002
instance_367,0.00468,0.34818,0.34669,0.00316,0.00035
instance_368,0.00349,0.28954,0.32554,0.00238,0.00025
instance_369,0.00278,0.30716,0.33249,0.00189,0.00024
instance_370,0.00309,0.30174,0.33169,0.00218,0.00025
instance_371,0.0046,0.3852,0.34683,0.00309,0.00036
instance_373,0.00379,0.28999,0.32643,0.00251,0.00026
instance_374,0.00222,0.34515,0.33674,0.00155,0.00013
instance_375,0.00274,0.32137,0.32964,0.00199,0.00013
instance_376,0.00291,0.31397,0.32528,0.00196,0.00012
instance_378,0.00203,0.29562,0.31757,0.00152,0.00012
instance_380,0.00259,0.32406,0.32983,0.00188,0.00013
instance_382,0.00196,0.31368,0.3258,0.00139,0.00011
instance_383,0.00243,0.30661,0.325,0.00165,0.00011
instance_385,0.00241,0.34438,0.32609,0.00188,0.00014
instance_386,0.00277,0.33722,0.33325,0.00196,0.00014
instance_387,0.00271,0.33347,0.33042,0.00183,0.00012
instance_388,0.0013,0.27102,0.31212,0.00092,8e-05
instance_389,0.002,0.3115,0.31665,0.00147,0.00011
instance_390,0.00257,0.31598,0.3165,0.00191,0.00013
instance_391,0.00191,0.3564,0.34018,0.00144,0.00014
instance_393,0.00247,0.33324,0.33289,0.00181,0.00013
instance_394,0.0028,0.33625,0.33878,0.00192,0.00013
instance_398,0.00203,0.3241,0.32968,0.00157,0.00012
instance_399,0.00169,0.3002,0.32147,0.00125,0.00011
instance_400,0.00238,0.31154,0.32736,0.00164,0.0001
instance_402,0.00274,0.34275,0.32912,0.00198,0.00014
instance_405,0.00336,0.35064,0.34091,0.00221,0.00013
instance_406,0.00298,0.31696,0.32423,0.0021,0.00013
instance_407,0.00169,0.32189,0.3306,0.00131,0.00012
instance_408,0.00321,0.31905,0.32891,0.00212,0.00012
instance_409,0.00154,0.34141,0.32901,0.00119,0.00012
instance_411,0.00204,0.33391,0.33242,0.00156,0.00013
instance_414,0.22527,0.59054,0.63496,0.22527,0.00083
instance_415,0.40541,0.40575,0.81441,0.39709,0.00018
instance_416,0.43508,0.43508,0.86818,0.42829,0.00033
instance_419,0.22521,0.22521,0.54152,0.22521,0.00023
instance_422,0.78098,0.78098,1.88835,0.78098,0.00015
instance_423,0.68847,0.68847,1.48661,0.68847,0.00156
instance_426,0.55104,0.55104,1.10221,0.54851,0.00028
instance_430,0.88752,0.88752,2.80907,0.88752,8e-05
instance_431,0.5,0.5,1.0,0.5,0.005
instance_433,0.51351,0.51351,0.99792,0.49896,0.00053
instance_434,0.5,0.5,1.0,0.5,0.005
instance_436,0.61047,0.61047,1.24424,0.60756,0.00292
instance_439,0.70238,0.70238,1.53623,0.70238,0.00298
instance_441,0.72973,0.72973,1.64317,0.72973,0.0027
instance_442,0.43702,0.46385,0.87726,0.42383,0.00053
instance_443,0.5,0.5,1.0,0.5,0.005
instance_444,0.53071,0.53071,1.03374,0.51597,0.00253
instance_446,0.6015,0.6015,1.22711,0.60093,0.00058
instance_449,0.53792,0.53792,1.04013,0.51966,0.00145
instance_450,0.1987,0.29804,0.65159,0.1987,0.0005
instance_452,0.17002,0.25504,0.58509,0.17002,0.00068
instance_454,0.27586,0.41379,0.84015,0.27586,0.00046
instance_455,0.2859,0.42885,0.86655,0.2859,0.00022
instance_456,0.11529,0.17294,0.45744,0.11529,7e-05
instance_458,0.32824,0.4888,0.96391,0.32112,0.0001
instance_459,0.07908,0.11862,0.3669,0.07908,0.00015
instance_460,0.22147,0.3322,0.7053,0.22147,0.00043
instance_463,0.13459,0.20188,0.50295,0.13459,0.00011
instance_465,0.22097,0.33146,0.70412,0.22097,0.00042
instance_466,0.19807,0.29711,0.65013,0.19807,0.00034
instance_468,0.20863,0.30393,0.63282,0.19061,0.0001
instance_469,0.17951,0.26926,0.60704,0.17951,0.00054
instance_470,0.19074,0.28612,0.63311,0.19074,0.00023
instance_471,0.12694,0.19042,0.48497,0.12694,0.00031
instance_473,0.03044,0.04566,0.21841,0.03044,0.0
instance_474,0.27586,0.41379,0.84016,0.27586,0.00014
instance_477,0.03059,0.04588,0.21891,0.03059,1e-05
instance_479,0.23018,0.34527,0.72618,0.23018,0.00102
instance_480,0.1357,0.20355,0.50562,0.1357,8e-05
instance_484,0.19929,0.29893,0.65298,0.19929,0.00023
instance_485,0.32785,0.48821,0.96281,0.32073,0.0001
instance_486,0.0656,0.09841,0.3303,0.0656,9e-05
instance_487,0.11149,0.16724,0.44812,0.11149,0.00012
instance_488,0.05851,0.08776,0.31036,0.05851,3e-05
instance_491,0.00874,0.68007,0.49302,0.00339,0.00029
instance_493,0.04848,0.86058,0.54445,0.03285,0.00234
instance_495,0.0132,0.65019,0.4988,0.00689,0.00071
instance_498,0.0132,0.65019,0.49879,0.00689,0.00071
instance_500,0.04848,0.86058,0.54445,0.03285,0.00234
instance_501,0.0132,0.65019,0.49879,0.00689,0.00071
instance_502,0.0132,0.65019,0.49879,0.00689,0.00071
instance_504,0.0132,0.65019,0.49879,0.00689,0.00071
instance_505,0.04848,0.86058,0.54445,0.03285,0.00234
instance_508,0.04641,0.85101,0.54177,0.03198,0.00231
instance_509,0.04724,0.85394,0.54381,0.03228,0.00231
instance_510,0.01455,0.66416,0.50112,0.0077,0.00077
instance_511,0.00891,0.68056,0.49346,0.00343,0.00029
instance_512,0.00519,0.70053,0.46601,0.0021,0.00025
instance_513,0.0132,0.65019,0.49879,0.00689,0.00071
instance_514,0.04848,0.86058,0.54445,0.03285,0.00234
instance_515,0.04848,0.86058,0.54445,0.03285,0.00234
instance_517,0.0132,0.65019,0.49879,0.00689,0.00071
instance_518,0.0132,0.65019,0.49879,0.00689,0.00071
instance_521,0.17191,0.99226,0.52521,0.17189,8e-05
instance_522,0.16416,0.99221,0.83308,0.13745,0.00022
instance_523,0.16213,0.99282,0.83495,0.1353,0.00017
instance_524,0.15654,0.99148,0.79764,0.13437,0.00028
instance_525,0.15504,0.98612,0.73093,0.14614,0.00066
instance_526,0.15172,0.98881,0.75521,0.13949,0.0004
instance_527,0.15542,0.99112,0.78933,0.13453,0.00028
instance_528,0.06376,0.99736,1.56396,0.06374,0.00015
instance_529,0.15325,0.98952,0.76844,0.13926,0.00036
instance_530,0.06379,0.99739,1.57763,0.06377,0.00016
instance_531,0.10549,0.99137,0.89856,0.10545,0.00018
instance_532,0.06483,0.99748,1.60361,0.06482,0.00013
instance_534,0.16079,0.99379,0.8403,0.13073,0.00014
instance_535,0.06421,0.99742,1.60788,0.06419,0.00014
instance_536,0.1738,0.98381,0.76839,0.16402,0.00066
instance_539,0.16241,0.99116,0.81688,0.14015,0.00026
instance_540,0.15702,0.98314,0.58034,0.14302,0.00037
instance_541,0.15546,0.99279,0.8123,0.13086,0.00018
instance_543,0.01056,0.99384,0.19904,0.01032,5e-05
instance_545,0.16794,0.99225,0.84748,0.14034,0.0002
instance_546,0.10091,0.99137,0.91189,0.10089,0.00017
instance_548,0.16417,0.99056,0.81144,0.14108,0.00034
instance_549,0.15678,0.99282,0.8164,0.13144,0.00018
instance_550,0.1555,0.9877,0.75336,0.14435,0.00047
instance_552,0.02827,0.99686,12.57024,0.02826,0.00014
instance_553,0.02885,0.96048,1.97868,0.02885,1e-05
instance_555,0.02879,0.96061,1.97754,0.02879,1e-05
instance_557,0.04934,0.97278,1.09441,0.04918,1e-05
instance_559,0.22664,0.72171,0.63511,0.22664,2e-05
instance_563,0.02819,0.9017,2.88148,0.02622,0.00039
instance_567,0.0285,0.11418,0.21462,0.0285,0.0
instance_568,0.27034,0.77657,0.0,0.27034,0.0
instance_569,0.03746,0.96576,0.0,0.03746,0.0
instance_570,0.27034,0.77657,0.0,0.27034,0.0
instance_571,0.22664,0.72171,0.63511,0.22664,2e-05
instance_572,0.09777,0.32507,0.37671,0.09777,0.0
instance_573,0.04726,0.75486,0.71539,0.04726,0.00023
instance_574,0.05525,0.94144,3.34601,0.04966,0.00064
instance_575,0.23105,0.72421,0.71185,0.23104,3e-05
instance_578,0.02885,0.96048,1.97868,0.02885,1e-05
instance_579,0.0375,0.96573,0.0,0.0375,0.0
instance_580,0.16482,0.98825,0.0,0.16472,1e-05
instance_582,0.01426,0.99384,0.34961,0.01426,0.00123
instance_585,0.01304,0.99444,0.32494,0.01304,0.00102
instance_586,0.02891,0.92985,3.3928,0.02845,0.00021
instance_587,0.04934,0.97278,1.09441,0.04918,1e-05
instance_589,0.02819,0.9017,2.8815,0.02621,0.00039
instance_590,0.0375,0.96573,0.0,0.0375,0.0
instance_591,0.02774,0.89952,2.85821,0.02592,0.00039
instance_592,0.06298,0.96566,1.09204,0.0628,3e-05
instance_593,0.04726,0.75486,0.7154,0.04726,0.00023
instance_594,0.01326,0.98703,3.12598,0.01326,2e-05
instance_595,0.0285,0.11418,0.21462,0.0285,0.0
instance_596,0.03557,0.91759,3.08476,0.03425,0.00034
instance_598,0.27034,0.77657,0.0,0.27034,0.0
instance_599,0.25293,0.74746,0.75806,0.25221,0.00018
instance_600,0.06298,0.96566,1.09204,0.0628,3e-05
