instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5
instance_130,72000.0,30.0,481.0,64.0,66.0
instance_133,135.0,17.0,105.0,6.0,8.0
instance_137,295.0,63.0,242.0,97.0,10.0
instance_138,72000.0,340.0,72000.0,366.0,472.0
instance_139,1008.0,46.0,515.0,72.0,37.0
instance_140,1100.0,1195.0,1344.0,207.0,426.0
instance_142,577.0,31.0,1345.0,53.0,39.0
instance_144,765.0,203.0,1292.0,147.0,89.0
instance_146,84.0,3.0,91.0,4.0,30.0
instance_147,72000.0,111.0,2293.0,5.0,553.0
instance_148,72000.0,84.0,72000.0,58.0,36.0
instance_150,72000.0,72000.0,72000.0,49.0,79.0
instance_151,2998.0,260.0,1708.0,401.0,840.0
instance_152,72000.0,3538.0,72000.0,72000.0,72000.0
instance_153,14.0,4.0,72000.0,1.0,1.0
instance_154,53.0,10.0,72000.0,4.0,9.0
instance_155,72000.0,72000.0,72000.0,72000.0,1762.0
instance_156,168.0,6.0,653.0,1.0,2.0
instance_157,19.0,2.0,72000.0,1.0,1.0
instance_161,89.0,32.0,608.0,20.0,62.0
instance_163,72000.0,72000.0,72000.0,32.0,60.0
instance_164,1864.0,29.0,72000.0,88.0,19.0
instance_166,666.0,31.0,20.0,599.0,476.0
instance_167,3300.0,3927.0,72000.0,1376.0,1117.0
instance_168,855.0,90.0,396.0,27.0,28.0
instance_170,72000.0,5168.0,72000.0,72000.0,2370.0
instance_172,72000.0,72000.0,72000.0,210.0,129.0
instance_174,20.0,6.0,6.0,3.0,3.0
instance_178,72000.0,1.0,72000.0,1.0,72000.0
instance_179,72000.0,2.0,72000.0,2.0,72000.0
instance_180,931.0,116.0,936.0,14.0,39.0
instance_182,72000.0,401.0,72000.0,1717.0,732.0
instance_183,72000.0,2673.0,72000.0,72000.0,72000.0
instance_184,109.0,76.0,293.0,48.0,26.0
instance_185,1012.0,200.0,4340.0,103.0,282.0
instance_187,35.0,10.0,67.0,7.0,9.0
instance_189,72000.0,72000.0,72000.0,72000.0,6517.0
instance_190,42.0,29.0,190.0,51.0,120.0
instance_191,100.0,11.0,41.0,6.0,6.0
instance_192,75.0,15.0,61.0,11.0,10.0
instance_193,72000.0,72000.0,6231.0,5426.0,2808.0
instance_194,306.0,76.0,693.0,316.0,106.0
instance_195,72000.0,63.0,1741.0,29.0,74.0
instance_196,2122.0,1974.0,72000.0,2517.0,2123.0
instance_197,148.0,32.0,221.0,22.0,112.0
instance_198,4063.0,6934.0,72000.0,2402.0,2720.0
instance_199,81.0,4.0,104.0,11.0,11.0
instance_200,113.0,120.0,72000.0,14.0,28.0
instance_202,72000.0,1131.0,72000.0,5973.0,693.0
instance_203,605.0,53.0,4847.0,95.0,54.0
instance_204,48.0,14.0,17.0,10.0,21.0
instance_206,5.0,2.0,39.0,1.0,1.0
instance_209,759.0,57.0,126.0,51.0,38.0
instance_210,72000.0,3439.0,6868.0,72000.0,3979.0
instance_213,839.0,23.0,578.0,54.0,77.0
instance_214,72000.0,72000.0,72000.0,37.0,63.0
instance_215,72000.0,148.0,72000.0,72000.0,218.0
instance_216,2385.0,166.0,903.0,434.0,341.0
instance_217,296.0,62.0,367.0,447.0,370.0
