instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18,algorithm_19,algorithm_20,algorithm_21,algorithm_22,algorithm_23,algorithm_24
instance_307,94.68,266.93,53.67,18000.0,39.5,52.51,18000.0,53.39,18000.0,33.71,34.22,9.71,13.24,4.52,18000.0,71.96,50.67,67.16,18000.0,93.16,16.58,35.83,4.59,5.55
instance_339,0.17,1.94,1.83,38.49,1.82,214.7,0.26,0.26,4.59,4.01,116.89,3.51,18000.0,0.72,0.16,0.29,0.27,1.85,14.37,1.83,18000.0,3.88,18000.0,321.6
instance_13,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,90.69,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_482,0.47,18000.0,94.98,22.83,93.97,18.72,0.46,0.42,15.81,0.11,18.54,1.41,9.71,1.53,0.46,0.43,0.43,93.67,2.0,93.01,10.39,0.06,1.53,1.53
instance_422,0.0,0.04,0.0,0.05,0.0,0.07,0.0,0.02,0.0,0.03,0.07,0.02,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0
instance_719,18000.0,18000.0,18000.0,18000.0,18000.0,75.79,18000.0,18000.0,18000.0,18000.0,75.77,18000.0,18000.0,18000.0,498.9,18000.0,18000.0,18000.0,0.93,18000.0,18000.0,18000.0,18000.0,18000.0
instance_210,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_443,18000.0,18000.0,18000.0,18000.0,18000.0,3.2,18000.0,18000.0,9.93,18000.0,3.27,18000.0,72.18,18000.0,18000.0,18000.0,18000.0,18000.0,0.18,18000.0,85.54,18000.0,336.68,18000.0
instance_340,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,24.88,416.21,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,59.35,18000.0,18000.0,18000.0,18000.0
instance_33,0.32,0.72,0.7,18000.0,0.72,0.45,0.25,0.32,0.43,1.12,0.48,0.11,18000.0,0.08,0.17,0.34,0.33,0.69,0.27,0.69,18000.0,0.47,0.09,0.08
instance_750,0.0,0.04,0.01,0.05,0.01,0.06,0.0,0.02,0.0,0.02,0.06,0.02,0.0,0.0,0.0,0.03,0.03,0.0,0.01,0.01,0.0,0.0,0.0,0.0
instance_94,0.75,18000.0,3.51,18000.0,3.4,59.27,0.75,1.68,1.16,0.41,59.5,3.61,3.9,3.97,0.75,1.66,1.65,3.36,3.54,3.34,0.65,0.3,3.96,3.95
instance_796,0.01,0.1,0.07,5.74,0.08,0.21,0.01,0.03,0.08,0.11,0.24,18000.0,0.33,1.46,0.01,0.04,0.04,0.07,0.02,0.08,0.32,2.53,2.07,1.42
instance_76,0.01,18000.0,0.09,10.15,0.09,0.23,0.01,0.03,0.11,0.21,0.24,0.41,1.29,0.98,0.01,0.04,0.05,0.09,0.02,0.09,1.27,0.1,0.46,0.51
instance_179,0.0,18000.0,0.01,0.13,0.01,0.1,0.0,0.02,0.0,0.02,0.1,0.61,117.1,0.02,0.0,0.03,0.03,0.01,18000.0,0.01,116.89,0.0,0.02,0.02
instance_236,0.03,18000.0,0.2,117.74,0.19,0.41,0.03,0.05,0.24,0.31,0.53,0.09,523.53,0.03,0.03,0.08,0.07,0.19,0.04,0.2,526.72,0.11,0.03,0.03
instance_168,0.19,0.98,0.96,18000.0,1.0,0.65,0.2,0.31,38.5,1.21,1.49,0.21,29.83,0.19,0.19,0.51,0.32,0.95,0.16,0.96,16.06,0.57,0.19,0.19
instance_414,0.02,0.18,0.15,30.58,0.16,0.37,0.02,0.04,0.18,0.21,0.48,18000.0,2.11,18000.0,0.02,0.05,0.05,0.15,0.04,0.15,2.11,18000.0,18000.0,18000.0
instance_611,0.01,0.12,0.09,8.26,0.09,0.23,0.01,0.03,0.11,0.21,0.27,18000.0,0.58,52.99,0.01,0.04,0.05,0.09,0.03,0.09,0.56,47.93,356.82,170.94
instance_432,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_763,0.03,0.29,0.25,18000.0,0.26,0.68,0.03,0.05,0.38,0.41,1.04,18000.0,18000.0,18000.0,0.03,0.07,0.07,0.25,0.05,0.26,18000.0,18000.0,18000.0,18000.0
instance_104,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_630,1.26,18000.0,5.4,18000.0,5.16,18000.0,1.26,3.0,5.17,0.61,18000.0,6.11,13.07,14.62,1.26,2.99,2.98,5.28,3.92,5.02,1.26,0.56,14.61,14.56
instance_512,0.0,0.05,0.02,18000.0,0.02,0.18,0.0,0.02,0.16,0.12,0.19,0.02,18000.0,0.05,0.0,0.04,0.04,0.02,0.05,0.03,18000.0,0.27,0.05,0.05
instance_326,0.01,0.09,0.06,14.49,0.06,0.13,0.01,0.02,0.06,0.11,0.21,0.31,1.57,0.04,0.01,0.04,0.04,0.05,0.01,0.06,1.56,0.09,0.04,0.04
instance_501,18000.0,18000.0,18000.0,18000.0,18000.0,513.05,16.42,10.4,18000.0,12.51,165.06,14.61,18000.0,18000.0,30.93,18000.0,18000.0,97.24,18000.0,98.93,18000.0,11.19,28.74,39.71
instance_115,18000.0,18000.0,18000.0,18000.0,18000.0,218.92,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_533,0.95,18000.0,3.99,18000.0,3.97,18000.0,0.94,2.23,3.45,0.51,18000.0,4.52,7.36,8.24,0.94,2.22,2.21,3.77,2.92,3.86,0.93,0.42,8.27,8.23
instance_110,0.06,2.17,0.23,1.52,0.22,0.23,0.06,0.09,0.03,0.31,0.25,0.02,0.5,0.02,0.05,0.11,0.1,0.23,0.04,0.24,0.5,0.05,0.02,0.02
instance_376,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_53,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_590,0.02,18000.0,0.14,18000.0,0.15,0.34,0.02,0.04,0.21,0.21,0.35,18000.0,4.67,18000.0,0.02,0.05,0.05,0.14,0.03,0.15,4.52,3.05,18000.0,18000.0
instance_391,0.04,0.18,0.15,6.05,0.15,10.8,0.04,0.07,4.3,0.21,11.92,18000.0,0.8,1.54,0.04,0.09,0.09,0.15,18000.0,0.15,0.03,0.22,1.53,1.53
instance_134,0.02,0.16,0.14,7.74,0.13,0.25,0.02,0.04,0.25,0.21,8.47,0.21,5.03,0.08,0.02,0.05,0.05,0.14,0.02,0.15,5.04,0.1,0.07,0.06
instance_592,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,9.06,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_565,1.49,3.12,3.21,18000.0,3.2,19.79,1.48,5.1,79.35,5.52,330.07,11.41,18000.0,1.41,1.48,5.16,5.17,3.2,0.82,3.2,18000.0,6.26,1.31,1.35
instance_121,0.11,0.53,0.5,2.65,0.53,1.5,0.11,0.22,0.03,0.41,1.41,2.22,18000.0,0.08,0.11,0.29,0.23,0.5,0.03,0.5,18000.0,0.12,0.1,0.07
instance_338,40.91,18000.0,26.58,18000.0,58.97,3.14,18000.0,18000.0,18000.0,18000.0,2.97,18000.0,18000.0,0.56,4.42,18000.0,18000.0,18000.0,18000.0,131.77,18000.0,18000.0,0.56,0.56
instance_696,0.93,7.08,7.07,1.67,6.97,0.61,0.91,0.05,0.07,0.31,0.62,0.09,18000.0,0.03,0.9,0.07,0.07,6.92,0.31,6.91,18000.0,0.23,0.03,0.03
instance_252,273.39,18000.0,84.57,18000.0,105.43,96.13,21.95,10.53,18000.0,16.31,60.12,2.71,18000.0,59.45,11.11,21.25,10.66,18.16,18000.0,18.58,18000.0,14.68,58.77,58.66
instance_818,0.03,18000.0,0.16,7.59,0.17,9.19,0.03,0.1,0.05,0.1,9.28,0.21,0.09,0.09,0.03,0.11,0.12,0.16,0.1,0.16,0.04,0.02,0.09,0.09
instance_588,18000.0,18000.0,18000.0,29.93,18000.0,18000.0,18000.0,18000.0,18000.0,316.72,18000.0,18000.0,18000.0,18000.0,378.88,437.42,306.65,18000.0,18000.0,84.31,18000.0,18000.0,18000.0,18000.0
instance_722,0.0,18000.0,0.01,0.1,0.01,0.08,0.0,0.02,0.0,0.02,0.09,0.41,5.71,0.01,0.0,0.03,0.03,0.01,19.8,0.01,5.69,0.0,0.01,0.01
instance_196,2.21,18000.0,8.97,18000.0,8.9,18000.0,2.19,5.15,12.74,1.02,18000.0,10.51,32.59,36.92,2.2,5.14,5.16,8.85,6.88,8.66,2.17,0.96,36.91,36.96
instance_470,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,19.68,18000.0,144.25,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,37.28,18000.0,18000.0,18000.0,18000.0
instance_201,2.21,1.28,1.25,18000.0,1.27,0.51,2.2,0.24,0.48,0.81,0.52,0.11,369.65,0.3,2.2,0.25,0.25,1.24,0.1,1.25,370.57,1.06,0.29,0.29
instance_305,0.1,18000.0,0.51,1.76,0.5,0.83,0.1,0.14,0.02,0.31,0.78,0.61,18000.0,0.04,0.1,0.15,0.15,0.5,0.02,0.5,18000.0,0.1,0.05,0.04
instance_490,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,388.17,18000.0,281.01,18000.0,352.02,18000.0,269.24,18000.0,414.08,336.42,18000.0,18000.0,18000.0,18000.0,359.15,299.07,290.32
instance_209,18000.0,18000.0,133.97,18000.0,125.76,12.75,18000.0,171.37,18000.0,18000.0,14.89,18000.0,18000.0,182.22,91.49,380.27,171.96,100.56,0.25,101.5,18000.0,270.01,299.25,330.3
instance_360,25.91,18000.0,138.84,18000.0,146.14,32.53,18000.0,485.16,18000.0,18000.0,51.8,18000.0,18000.0,18000.0,212.96,411.36,379.24,131.09,0.09,133.69,18000.0,18000.0,18000.0,18000.0
instance_732,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,53.21,18000.0,18000.0,18000.0,18000.0
instance_721,0.01,0.15,0.12,81.62,0.11,0.42,0.01,0.03,0.61,0.31,0.5,18000.0,4.62,0.03,0.01,0.04,0.05,0.12,0.07,0.12,4.6,0.66,0.03,0.03
instance_555,0.01,0.11,0.08,1.33,0.09,3.56,0.01,0.04,0.01,0.12,3.8,17.72,0.04,0.03,0.01,0.05,0.06,0.08,0.03,0.21,0.06,0.04,0.03,0.03
instance_25,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,4.63,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_406,18000.0,162.87,18000.0,18000.0,18000.0,18000.0,18000.0,2.15,304.38,7.41,18000.0,1.31,299.14,18000.0,18000.0,2.71,2.17,18000.0,18000.0,18000.0,298.94,7.31,18000.0,18000.0
instance_682,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,2.81,18000.0,39.29,18000.0,15.43,18000.0,18000.0,18000.0,2.78,18000.0,18000.0,18000.0,12.38,18000.0,18000.0,18000.0,18000.0,18000.0
instance_695,0.01,0.13,0.1,51.2,0.1,0.34,0.01,0.03,0.45,0.21,0.47,18000.0,2.79,0.02,0.01,0.04,0.04,0.1,0.06,0.1,2.79,0.48,0.02,0.02
instance_653,0.0,0.07,0.04,2.0,0.04,0.13,0.0,0.02,0.06,0.1,0.22,0.02,0.08,0.01,0.0,0.04,0.03,0.04,0.01,0.04,0.07,0.08,0.01,0.01
instance_633,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,13.96,18000.0,105.2,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_468,25.4,18000.0,28.38,18000.0,28.27,2.27,25.6,7.23,14.61,1.81,2.3,1.12,18000.0,21.17,25.56,7.28,7.19,27.62,0.73,27.74,18000.0,1.83,21.2,21.43
instance_687,8.99,18000.0,6.75,18000.0,19.46,337.41,18000.0,0.54,18000.0,5.31,18000.0,9.82,34.14,73.4,55.94,1.08,0.55,1.51,11.09,1.94,33.52,0.97,77.69,93.38
instance_253,21.38,3.38,3.34,18000.0,3.44,18000.0,18000.0,2.69,25.54,5.31,18000.0,18000.0,18000.0,18000.0,467.35,3.09,2.7,3.32,40.17,3.3,18000.0,18000.0,18000.0,18000.0
instance_184,0.0,0.07,0.05,18000.0,0.04,0.11,0.0,0.02,0.01,0.11,0.1,7.01,29.22,0.01,0.0,0.04,0.03,0.04,0.11,0.04,29.29,0.23,0.01,0.01
instance_352,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,1.28,160.84,18000.0,18000.0,18000.0,18000.0
instance_602,18000.0,18000.0,18000.0,18000.0,18000.0,26.6,18000.0,75.96,9.75,18000.0,18000.0,587.61,18000.0,18000.0,18000.0,127.89,127.88,18000.0,18000.0,18000.0,18000.0,504.64,18000.0,18000.0
instance_819,3.22,18000.0,5.75,18000.0,5.18,1.74,18000.0,117.88,483.4,5.61,1.84,18000.0,18000.0,6.26,0.6,117.9,117.89,4.72,0.06,4.67,18000.0,6.59,6.06,5.73
instance_439,0.01,18000.0,0.04,0.26,0.04,0.07,0.01,0.02,0.0,0.12,0.07,0.02,0.02,0.0,0.01,0.04,0.04,0.04,0.01,0.04,0.01,0.01,0.0,0.01
instance_215,85.97,18000.0,187.6,18000.0,156.29,17.21,18000.0,18000.0,153.64,18000.0,17.88,18000.0,18000.0,18000.0,38.22,18000.0,462.48,130.28,0.22,130.83,18000.0,18000.0,18000.0,18000.0
instance_825,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,1.3,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_560,2.52,544.36,5.4,18000.0,5.24,8.49,2.38,3.21,42.83,6.31,13.46,0.31,300.32,47.75,2.17,6.78,3.22,6.47,18000.0,6.6,293.1,5.11,47.85,47.82
instance_476,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_416,174.06,18000.0,481.16,18000.0,18000.0,18000.0,18000.0,29.7,18000.0,129.61,18000.0,18000.0,18000.0,23.82,39.48,18000.0,30.32,28.21,18000.0,35.39,18000.0,18000.0,24.29,24.22
instance_708,0.03,0.23,0.2,18000.0,0.2,0.37,0.03,0.04,0.31,0.31,0.48,18000.0,18000.0,18000.0,0.03,0.05,0.06,0.19,0.04,0.2,18000.0,18000.0,18000.0,18000.0
instance_649,10.41,18000.0,26.3,18000.0,19.67,5.08,18000.0,28.17,51.65,77.71,5.39,18000.0,18000.0,18000.0,3.28,165.24,28.2,27.04,0.09,27.11,18000.0,67.57,18000.0,18000.0
instance_367,0.92,59.15,2.12,18000.0,1.75,0.96,0.55,0.99,202.84,2.11,1.39,0.11,11.04,1.67,1.33,1.67,1.0,1.65,3.27,35.05,15.36,1.01,0.97,1.39
instance_546,18000.0,18000.0,380.48,18000.0,18000.0,339.14,18000.0,27.85,18000.0,50.62,18000.0,16.81,18000.0,78.61,70.6,38.59,28.01,66.42,18000.0,67.42,18000.0,36.28,85.52,89.1
instance_574,9.96,16.32,15.96,18000.0,16.15,0.55,9.95,97.47,8.44,8.72,0.55,18000.0,35.98,0.36,10.0,98.24,97.16,15.86,0.01,15.82,37.41,0.66,0.36,0.36
instance_193,0.06,18000.0,0.5,18000.0,0.52,1.81,0.06,0.09,0.79,0.71,1.97,18000.0,83.9,18000.0,0.06,0.1,0.1,0.49,0.1,0.49,83.22,18000.0,18000.0,18000.0
instance_399,0.01,18000.0,0.12,70.17,0.12,0.44,0.01,0.04,0.83,0.31,0.52,0.08,5.05,0.03,0.01,0.05,0.05,0.12,0.07,0.12,5.01,0.69,0.03,0.03
instance_272,5.34,5.53,5.55,18000.0,5.5,0.69,5.54,38.51,8.71,5.52,0.71,18000.0,133.35,24.25,5.31,37.61,37.61,5.41,0.03,5.43,133.73,6.19,24.15,24.02
instance_627,18000.0,18000.0,18000.0,18000.0,82.83,12.07,3.46,15.05,8.11,21.11,12.79,20.41,18000.0,2.49,3.21,14.78,14.97,54.12,69.58,69.06,18000.0,21.11,2.84,2.86
instance_108,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,119.66,18000.0,18000.0,18000.0,18000.0,27.46,18000.0,18000.0,18000.0,18000.0
instance_111,0.54,158.42,4.66,18000.0,22.59,2.79,0.48,2.04,6.87,4.61,27.23,0.21,3.76,18000.0,0.46,3.5,2.04,4.59,0.26,30.91,4.2,1.43,18000.0,18000.0
instance_780,0.0,18000.0,0.0,0.08,0.0,0.07,0.0,0.03,0.0,0.02,0.07,0.02,0.0,0.0,0.0,0.03,0.03,0.0,0.05,0.01,0.0,0.0,0.0,0.0
instance_680,18000.0,18000.0,564.52,18000.0,18000.0,18000.0,18000.0,94.3,18000.0,61.41,18000.0,10.11,18000.0,18000.0,150.55,171.79,94.56,18000.0,18000.0,18000.0,18000.0,61.63,18000.0,18000.0
instance_579,43.38,29.0,4.09,29.59,7.25,1.63,6.26,1.72,1.47,4.32,1.63,7.31,18000.0,19.67,5.65,2.14,1.74,2.79,0.76,2.98,18000.0,2.97,44.51,22.56
instance_507,0.01,0.06,0.03,0.28,0.03,0.08,0.01,0.03,0.0,0.1,0.07,0.02,0.01,0.0,0.01,0.04,0.04,0.03,0.0,0.04,0.0,0.01,0.0,0.0
instance_290,18000.0,18000.0,18000.0,18000.0,11.71,18000.0,18000.0,5.54,21.26,1.51,18000.0,23.02,26.85,18000.0,18000.0,7.91,6.03,19.66,18000.0,41.63,27.08,22.99,18000.0,18000.0
instance_526,0.02,18000.0,0.19,35.85,0.18,0.38,0.02,0.05,0.34,0.21,0.3,8.51,104.03,2.14,0.02,0.06,0.06,0.17,0.02,0.18,104.08,0.16,1.4,1.38
instance_797,18000.0,18000.0,18000.0,18000.0,18000.0,10.12,18000.0,18000.0,18000.0,18000.0,14.15,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
instance_684,0.05,18000.0,0.22,6.68,0.22,0.24,0.04,0.07,0.03,0.31,1.09,0.31,38.34,0.04,0.05,0.08,0.08,0.21,0.03,0.22,38.55,0.11,0.04,0.04
instance_817,0.02,18000.0,0.14,4.3,0.15,0.2,0.02,0.05,0.02,0.21,0.19,0.21,3.73,0.03,0.02,0.06,0.06,0.14,0.02,0.14,3.74,0.1,0.03,0.03
instance_540,2.4,18000.0,20.7,18000.0,21.4,18000.0,2.39,2.22,353.12,35.41,18000.0,18000.0,272.24,1.83,2.39,2.21,2.21,20.56,58.24,20.45,273.89,18000.0,2.03,2.02
instance_463,0.0,18000.0,0.0,0.09,0.01,0.1,0.0,0.02,0.0,0.02,0.1,0.03,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0
instance_275,18000.0,18000.0,18000.0,18000.0,18000.0,98.64,18000.0,18000.0,18000.0,18000.0,104.74,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,1.72,18000.0,18000.0,18000.0,18000.0,18000.0
instance_775,0.19,5.25,5.21,18000.0,5.32,18000.0,0.19,0.24,0.85,28.62,18000.0,0.31,3.49,0.19,0.19,0.26,0.25,5.22,0.1,5.22,3.42,26.53,0.19,0.19
instance_543,5.71,18000.0,10.53,18000.0,7.02,82.87,18000.0,3.09,335.91,2.31,0.41,0.12,28.46,0.07,1.79,6.49,3.1,7.78,0.5,9.94,28.45,0.29,0.07,0.07
instance_426,1.79,28.2,5.34,132.42,2.81,2.66,0.39,1.16,11.09,2.71,3.6,0.91,18000.0,27.15,0.38,1.66,1.17,3.14,18000.0,3.22,18000.0,1.69,10.87,1.45
instance_140,0.03,0.49,0.48,18000.0,0.47,18000.0,0.03,0.06,20.56,1.51,18000.0,18000.0,2.22,0.12,0.03,0.07,0.07,0.43,18000.0,0.46,2.17,1.16,0.12,0.12
instance_489,0.0,0.14,0.06,0.23,0.06,0.17,0.01,0.03,0.01,0.11,0.2,0.02,0.01,0.0,0.0,0.04,0.05,0.05,0.02,0.06,0.01,0.02,0.0,0.0
instance_616,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,15.67,18000.0,578.17,18000.0,18000.0
instance_180,0.03,7.93,0.23,18000.0,0.22,0.51,0.03,0.14,0.03,0.31,0.58,0.1,0.14,0.05,0.02,0.29,0.15,0.89,0.03,0.91,0.13,0.05,0.02,0.02
instance_415,0.0,0.04,0.01,0.06,0.01,0.13,0.0,0.02,0.0,0.02,0.13,0.02,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.01,0.0,0.01,0.0,0.0
