instance,feature_30,feature_24,feature_8,feature_31,feature_21
instance_229,0.82899,0.46828,0.16131,0.9795,0.0
instance_230,0.82899,0.48604,0.16131,0.9795,0.0
instance_232,0.82899,0.4594,0.16131,0.9795,0.0
instance_233,0.82899,0.4594,0.16131,0.9795,0.0
instance_234,0.82899,0.46828,0.16131,0.9795,0.0
instance_235,0.82899,0.47716,0.16131,0.9795,0.0
instance_237,0.82899,0.48604,0.16131,0.9795,0.0
instance_239,0.82899,0.4594,0.16131,0.9795,0.0
instance_240,0.82899,0.47716,0.16131,0.9795,0.0
instance_243,0.82899,0.4594,0.16131,0.9795,0.0
instance_244,0.82899,0.47716,0.16131,0.9795,0.0
instance_245,0.82899,0.46828,0.16131,0.9795,0.0
instance_247,0.82899,0.46828,0.16131,0.9795,0.0
instance_249,0.82899,0.47716,0.16131,0.9795,0.0
instance_250,0.82899,0.48604,0.16131,0.9795,0.0
instance_251,0.82899,0.46828,0.16131,0.9795,0.0
instance_253,0.82899,0.4594,0.16131,0.9795,0.0
instance_257,0.82899,0.46828,0.16131,0.9795,0.0
instance_258,0.82899,0.47716,0.16131,0.9795,0.0
instance_260,0.82899,0.47716,0.16131,0.9795,0.0
instance_261,0.82899,0.4594,0.16131,0.9795,0.0
instance_264,0.82899,0.48604,0.16131,0.9795,0.0
instance_265,0.82899,0.46828,0.16131,0.9795,0.0
instance_268,0.82899,0.48604,0.16131,0.9795,0.0
instance_270,0.82899,0.47716,0.16131,0.9795,0.0
instance_271,0.82899,0.48604,0.16131,0.9795,0.0
instance_272,0.82899,0.46828,0.16131,0.9795,0.0
instance_273,0.82899,0.46828,0.16131,0.9795,0.0
instance_274,0.82899,0.46828,0.16131,0.9795,0.0
instance_275,0.82899,0.4594,0.16131,0.9795,0.0
instance_276,0.82899,0.47716,0.16131,0.9795,0.0
instance_277,0.82899,0.46828,0.16131,0.9795,0.0
instance_278,0.82899,0.4594,0.16131,0.9795,0.0
instance_279,0.82899,0.46828,0.16131,0.9795,0.0
instance_281,0.79149,0.34748,0.22655,0.92288,0.0303
instance_282,0.81072,0.35639,0.22166,0.92549,0.2
instance_283,0.87248,0.3298,0.17851,0.95002,0.05882
instance_284,0.82741,0.34264,0.19902,0.9316,0.2
instance_285,0.87545,0.32868,0.17935,0.93464,0.11111
instance_286,0.87384,0.32528,0.17452,0.9501,0.05882
instance_287,0.89146,0.32194,0.16525,0.95632,0.05882
instance_289,0.86162,0.31029,0.13967,0.92085,0.11111
instance_290,0.78463,0.34866,0.23182,0.91768,0.05882
instance_291,0.81588,0.3381,0.19875,0.93764,0.03759
instance_292,0.87247,0.32318,0.17539,0.94836,0.11111
instance_293,0.88311,0.31533,0.15734,0.95105,0.11111
instance_296,0.78088,0.33905,0.22043,0.8708,0.11111
instance_297,0.94858,0.2848,0.10559,0.97785,0.01538
instance_298,0.88678,0.3256,0.1565,0.95185,0.05882
instance_299,0.81757,0.32948,0.16046,0.89074,0.10714
instance_300,0.88159,0.32443,0.16215,0.95188,0.11111
instance_301,0.95474,0.28755,0.0981,0.98085,0.01538
instance_302,0.91629,0.32074,0.1478,0.9594,0.05882
instance_303,0.85366,0.33112,0.18531,0.93871,0.16667
instance_305,0.89535,0.30866,0.15082,0.95406,0.05882
instance_307,0.8484,0.35849,0.2068,0.94295,0.2
instance_311,0.22957,0.13564,0.16187,0.31563,0.0
instance_312,0.26725,0.16581,0.20995,0.37652,0.0
instance_313,0.22329,0.14837,0.16885,0.31888,0.0
instance_314,0.29762,0.19132,0.23846,0.42488,0.0
instance_316,0.15765,0.09429,0.12006,0.21963,0.0
instance_317,0.2221,0.13314,0.16921,0.30898,0.0
instance_319,0.20814,0.13267,0.16459,0.2951,0.0
instance_321,0.37078,0.23659,0.21599,0.51289,0.0
instance_323,0.20339,0.12338,0.15761,0.28399,0.0
instance_324,0.22957,0.13564,0.16187,0.31563,0.0
instance_325,0.22664,0.14475,0.17974,0.322,0.0
instance_326,0.22769,0.14161,0.17727,0.32091,0.0
instance_328,0.48616,0.28007,0.34838,0.67052,0.0
instance_329,0.1526,0.09207,0.11999,0.21351,0.0
instance_330,0.18644,0.1149,0.14141,0.26075,0.0
instance_331,0.35782,0.22656,0.23449,0.49365,0.0
instance_333,0.12307,0.07726,0.1059,0.1765,0.0
instance_334,0.15977,0.09661,0.11458,0.221,0.0
instance_335,0.14145,0.08316,0.09954,0.19439,0.0
instance_337,0.80104,0.34958,0.27806,0.96903,0.08333
instance_338,0.89403,0.21525,0.1715,0.98745,0.0
instance_339,0.81654,0.33996,0.27503,0.97215,0.08333
instance_340,0.93658,0.17401,0.15296,0.97908,0.05263
instance_343,0.33673,0.18694,0.12073,0.91908,0.00386
instance_344,0.79368,0.38095,0.29768,0.95301,0.125
instance_345,0.60707,0.3894,0.2733,0.99592,0.04167
instance_347,0.82285,0.32929,0.26827,0.97641,0.08333
instance_349,0.86438,0.2321,0.17684,0.9779,0.05
instance_351,0.51739,0.4463,0.23595,0.77844,0.0
instance_353,0.48997,0.45497,0.23709,0.7583,0.0
instance_354,0.43145,0.45725,0.22527,0.72398,0.0
instance_356,0.51371,0.4297,0.26551,0.8254,0.33333
instance_357,0.59271,0.43763,0.24488,0.81278,0.0
instance_361,0.51545,0.44559,0.22481,0.75691,0.0
instance_363,0.11205,0.48179,0.103,0.74215,0.22222
instance_364,0.59279,0.43658,0.24309,0.81207,0.0
instance_365,0.74718,0.4101,0.21764,0.81941,0.0
instance_366,0.09115,0.48341,0.08731,0.73444,0.22222
instance_368,0.53138,0.45123,0.21361,0.76143,0.0
instance_369,0.43689,0.46246,0.2361,0.73067,0.0
instance_370,0.14208,0.47809,0.09523,0.74178,0.22222
instance_371,0.52997,0.44948,0.23432,0.76562,0.0
instance_372,0.41896,0.44937,0.13895,0.78632,0.22222
instance_373,0.55757,0.44491,0.2344,0.77809,0.0
instance_374,0.69793,0.41194,0.24272,0.82275,0.0
instance_375,0.29092,0.4623,0.11732,0.76419,0.22222
instance_376,0.53744,0.42991,0.2639,0.82422,0.33333
instance_377,0.37401,0.47256,0.20323,0.65903,0.0
instance_378,0.55062,0.42821,0.2245,0.81337,0.28571
instance_380,0.72504,0.41288,0.22606,0.81676,0.0
instance_386,0.4741,0.45228,0.22957,0.75042,0.0
instance_387,0.49106,0.45674,0.24056,0.76017,0.0
instance_388,0.43835,0.46412,0.23946,0.73269,0.0
instance_389,0.46915,0.45231,0.2539,0.79931,0.0
instance_390,0.65507,0.42014,0.21713,0.81952,0.28571
instance_391,0.71685,0.41301,0.22945,0.81559,0.0
instance_392,0.10816,0.48209,0.09888,0.74029,0.22222
instance_393,0.42186,0.43426,0.28837,0.84605,0.33333
instance_395,0.5306,0.44967,0.21042,0.75979,0.0
instance_396,0.47397,0.45937,0.26695,0.80537,0.0
instance_397,0.25087,0.46246,0.15772,0.78088,0.25
instance_398,0.61493,0.42055,0.22398,0.81683,0.28571
instance_399,0.57998,0.44022,0.19355,0.74355,0.0
instance_400,0.41786,0.43441,0.27698,0.84193,0.33333
instance_401,0.53498,0.44274,0.22729,0.76846,0.0
instance_402,0.27067,0.4614,0.17076,0.78689,0.25
instance_403,0.57399,0.42704,0.25352,0.82276,0.33333
instance_405,0.47338,0.45782,0.26423,0.80419,0.0
instance_406,0.52932,0.44797,0.23142,0.76411,0.0
instance_409,0.59202,0.43282,0.23632,0.80915,0.0
instance_411,0.63279,0.71753,0.12205,0.99967,0.0
instance_413,0.64385,0.72235,0.1248,0.99967,0.0
instance_414,0.65578,0.73368,0.5173,0.99851,0.0
instance_416,0.64441,0.6946,0.3829,0.99882,0.0
instance_418,0.60054,0.71765,0.06212,0.99975,0.0829
instance_419,0.60392,0.72011,0.05589,0.99985,0.10648
instance_420,0.61664,0.71427,0.08961,0.99963,0.01047
instance_422,0.62318,0.71842,0.11466,0.9997,0.0
instance_423,0.61263,0.71193,0.12454,0.99949,0.0
instance_424,0.50788,0.70968,0.08174,0.99961,0.13115
instance_425,0.60778,0.71673,0.06119,0.99984,0.07895
instance_426,0.60215,0.67742,0.3069,0.99903,0.0
instance_427,0.63996,0.71836,0.08585,0.99977,0.03659
instance_428,0.60929,0.72023,0.05816,0.99984,0.0
instance_429,0.61474,0.71627,0.05927,0.99984,0.10317
instance_430,0.61686,0.69198,0.36445,0.99888,0.0
instance_431,0.52851,0.70614,0.09839,0.99953,0.0
instance_433,0.63886,0.71972,0.08109,0.99978,0.03896
instance_437,0.52506,0.70839,0.08487,0.99959,0.12146
instance_439,0.63226,0.7179,0.08835,0.99964,0.01307
instance_440,0.5879,0.7197,0.05223,0.99986,0.09091
instance_442,0.54951,0.70827,0.0847,0.99961,0.09278
instance_443,0.61083,0.71355,0.06624,0.99973,0.10127
instance_444,0.60046,0.71604,0.11837,0.99968,0.0
instance_446,0.5759,0.71109,0.10555,0.9995,0.0
instance_447,0.65582,0.69973,0.21522,0.99888,0.0
instance_448,0.63733,0.7224,0.20546,0.99894,0.0
instance_449,0.55328,0.70619,0.0877,0.9996,0.0
instance_450,0.67499,0.73444,0.49932,0.99853,0.0
instance_451,0.51582,0.70588,0.08555,0.99959,0.13878
instance_453,0.57856,0.69848,0.35295,0.9989,0.0
instance_454,0.61244,0.71605,0.0613,0.99984,0.03333
instance_457,0.59764,0.68012,0.32859,0.99897,0.0
instance_459,0.61732,0.71948,0.05985,0.99984,0.10256
instance_460,0.61026,0.71661,0.14665,0.99933,0.0
instance_463,0.62377,0.71748,0.10737,0.99971,0.0
instance_465,0.61821,0.71839,0.05939,0.99984,0.1
instance_466,0.61768,0.72064,0.129,0.99965,0.0
instance_467,0.623,0.71284,0.08981,0.99963,0.025
instance_468,0.60808,0.71612,0.1138,0.9997,0.0
instance_470,0.62817,0.72053,0.05862,0.99984,0.06024
instance_471,0.61427,0.71148,0.11877,0.99951,0.0
instance_473,0.62773,0.71591,0.07522,0.9998,0.03226
instance_474,0.59795,0.71833,0.05555,0.99985,0.10791
instance_475,0.60791,0.71488,0.12153,0.99967,0.0
instance_478,0.64936,0.71994,0.09034,0.99963,0.04255
instance_479,0.52584,0.70933,0.09795,0.99953,0.0
instance_480,0.62093,0.71768,0.1195,0.99968,0.0
instance_483,0.55779,0.71265,0.10197,0.99951,0.0
instance_486,0.59087,0.71395,0.09965,0.99973,0.0
instance_487,0.61719,0.71683,0.11083,0.9997,0.0
instance_489,0.54599,0.70977,0.12235,0.99944,0.0
instance_490,0.63556,0.71847,0.07819,0.99979,0.0
instance_491,0.63023,0.71496,0.08758,0.99964,0.03774
instance_492,0.66644,0.7105,0.22568,0.99885,0.0
instance_496,0.64206,0.71527,0.08127,0.99978,0.03509
instance_498,0.63951,0.69912,0.37227,0.99884,0.0
instance_500,0.52585,0.70659,0.11979,0.99945,0.0
instance_502,0.63511,0.71982,0.1251,0.99966,0.0
instance_504,0.6481,0.72077,0.07887,0.99979,0.04598
instance_505,0.5996,0.71687,0.05466,0.99985,0.0
instance_506,0.58983,0.67269,0.30336,0.99903,0.0
instance_508,0.65079,0.72181,0.07938,0.99979,0.0429
instance_509,0.57048,0.70782,0.08674,0.9996,0.13265
instance_510,0.47398,0.42785,0.4633,0.85923,0.00025
instance_512,0.30218,0.37859,0.42426,0.83356,0.0002
instance_515,0.31058,0.38039,0.43832,0.84291,0.00043
instance_516,0.40573,0.40747,0.3952,0.81493,0.00029
instance_517,0.36304,0.36873,0.50648,0.80413,0.00017
instance_518,0.2752,0.3739,0.38434,0.74781,0.00017
instance_519,0.49008,0.38957,0.47595,0.87138,0.00031
instance_520,0.34082,0.36886,0.42226,0.88886,0.00044
instance_522,0.10057,0.52536,0.03904,0.27872,0.0
instance_524,0.22115,0.47605,0.09985,0.44863,0.00373
instance_526,0.05448,0.59775,0.02771,0.25605,0.0
instance_527,0.0315,0.61208,0.01584,0.22361,0.0
instance_528,0.03737,0.63608,0.0222,0.22814,0.0
instance_529,0.10996,0.58927,0.03689,0.43846,0.0
instance_530,0.10055,0.58309,0.0749,0.32295,0.0
instance_531,0.02216,0.60733,0.01048,0.29353,0.0
instance_532,0.62105,0.47691,0.21911,0.79167,0.05
instance_533,0.88723,0.55685,0.19409,0.99099,0.02222
instance_538,0.73196,0.41134,0.15078,0.83519,0.01408
instance_539,0.72408,0.43341,0.12818,0.83949,0.0
instance_540,0.48124,0.47857,0.16988,0.69436,0.02041
instance_542,0.80038,0.34796,0.18421,0.87205,0.04
instance_545,0.59014,0.56048,0.17969,0.98386,0.02326
instance_546,0.80302,0.33114,0.16,0.88291,0.01351
instance_547,0.57409,0.41083,0.16132,0.75532,0.01887
instance_548,0.63979,0.55843,0.19286,0.88982,0.01754
instance_549,0.72493,0.43225,0.12953,0.83998,0.0
instance_550,0.64982,0.55599,0.19164,0.88919,0.01754
instance_551,0.8011,0.33176,0.16043,0.88024,0.01351
instance_552,0.44872,0.52199,0.13299,0.67315,0.0
instance_553,0.50451,0.51781,0.17111,0.80727,0.02083
instance_554,0.47811,0.48019,0.16364,0.70291,0.02439
instance_555,0.72466,0.43399,0.12976,0.84008,0.0
instance_556,0.78615,0.37466,0.17473,0.87027,0.02703
instance_558,0.53286,0.44395,0.20969,0.92514,0.01333
instance_559,0.44921,0.52098,0.13425,0.67419,0.0
instance_560,0.67821,0.4113,0.21573,0.86291,0.04167
instance_561,0.62541,0.43033,0.20403,0.77082,0.04762
instance_562,0.72463,0.43193,0.12853,0.84025,0.0
instance_564,0.5217,0.54581,0.16059,0.98196,0.02632
instance_565,0.74956,0.39709,0.16136,0.84666,0.02083
instance_566,0.56916,0.58802,0.17479,0.86416,0.02381
instance_569,0.78511,0.35463,0.15318,0.86788,0.01351
instance_571,0.4519,0.52135,0.13644,0.67653,0.0
instance_572,0.7798,0.37065,0.18225,0.86138,0.03846
instance_575,0.45102,0.52047,0.1388,0.67578,0.0
instance_576,0.61636,0.46724,0.24067,0.75139,0.08333
instance_579,0.72484,0.43163,0.13005,0.84032,0.0
instance_581,0.60227,0.48344,0.2152,0.79865,0.05
instance_582,0.62105,0.47691,0.21911,0.79167,0.05
instance_584,0.55356,0.43774,0.20559,0.72522,0.03846
instance_586,0.79349,0.35256,0.20189,0.87755,0.03191
instance_587,0.72395,0.43292,0.13012,0.8399,0.0
instance_588,0.48401,0.51783,0.17832,0.95028,0.01724
instance_590,0.4495,0.52118,0.1341,0.67328,0.0
instance_594,0.50451,0.51781,0.17111,0.80727,0.02083
instance_595,0.78013,0.36301,0.18024,0.85799,0.01282
instance_596,0.52973,0.51216,0.16333,0.70211,0.01667
instance_597,0.7817,0.37566,0.17534,0.86495,0.02703
instance_598,0.63979,0.55843,0.19286,0.88982,0.01754
instance_599,0.62541,0.43033,0.20403,0.77082,0.04762
instance_600,0.47035,0.5328,0.16148,0.81927,0.00962
instance_601,0.62541,0.43033,0.20403,0.77082,0.04762
instance_602,0.72485,0.43334,0.12823,0.84002,0.0
instance_603,0.50366,0.52904,0.16654,0.98129,0.02632
instance_604,0.65931,0.5836,0.18245,0.89616,0.01754
instance_605,0.71927,0.41948,0.13885,0.82926,0.02273
instance_609,0.78301,0.36961,0.17226,0.86406,0.01754
instance_611,0.73031,0.38519,0.19894,0.7985,0.025
instance_613,0.50366,0.52904,0.16654,0.98129,0.02632
instance_614,0.48651,0.45539,0.21487,0.61543,0.03448
instance_615,0.61933,0.43281,0.20043,0.76656,0.04167
instance_617,0.50451,0.51781,0.17111,0.80727,0.02083
instance_618,0.49181,0.52954,0.15911,0.73378,0.0
instance_619,0.57419,0.53702,0.18137,0.8313,0.0
instance_620,0.49181,0.52954,0.15911,0.73378,0.0
instance_621,0.61289,0.58485,0.17001,0.98474,0.02326
instance_623,0.72709,0.43247,0.12789,0.84175,0.0
instance_624,0.56916,0.58802,0.17479,0.86416,0.02381
instance_625,0.45145,0.51987,0.14109,0.67618,0.0
instance_627,0.61289,0.58485,0.17001,0.98474,0.02326
instance_628,0.44959,0.5214,0.13457,0.67371,0.0
instance_629,0.63979,0.55843,0.19286,0.88982,0.01754
instance_630,0.59014,0.56048,0.17969,0.98386,0.02326
