instance,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9,algorithm_10,algorithm_11,algorithm_12,algorithm_13,algorithm_14,algorithm_15,algorithm_16,algorithm_17,algorithm_18,algorithm_19,algorithm_20
instance_15,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_17,12000.0,12000.0,12000.0,1.318,12000.0,1.497,23.511,6.617,36.789,12000.0,0.65,546.98,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,405.06600000000003
instance_18,12000.0,12000.0,234.59,0.556,12000.0,0.662,0.3,80.601,4.078,12000.0,0.331,23.475,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,5.601
instance_19,12000.0,47.023,12000.0,12000.0,12000.0,1.024,0.514,22.286,8.423,12000.0,0.8200000000000001,334.261,56.607,12000.0,3.56,12000.0,12000.0,12000.0,12000.0,10.274000000000001
instance_20,12000.0,0.404,27.559,1.847,12000.0,0.388,0.384,26.108,11.438,0.649,0.47000000000000003,1.135,0.523,6.408,0.554,20.133,12000.0,12000.0,12000.0,8.318
instance_21,12000.0,12000.0,19.425,12000.0,12000.0,11.144,3.162,0.748,92.738,12000.0,17.746,1.716,0.8200000000000001,12000.0,12000.0,11.1,12000.0,12000.0,12000.0,375.97700000000003
instance_23,12000.0,12000.0,46.119,12000.0,12000.0,44.294000000000004,8.294,1.434,12000.0,12000.0,34.698,8.333,1.685,12000.0,12000.0,38.875,12000.0,12000.0,12000.0,12000.0
instance_24,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,503.553,17.583000000000002,12000.0,12000.0,12000.0,196.93200000000002,68.519,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_25,12000.0,3.642,9.125,12000.0,12000.0,3.436,2.2,0.484,105.303,12000.0,5.904,1.095,0.518,12000.0,4.474,4.761,12000.0,12000.0,12000.0,64.306
instance_26,43.835,9.836,62.718,12000.0,12000.0,315.692,48.378,1.706,904.807,495.262,82.791,3.731,2.0260000000000002,12000.0,12000.0,188.494,323.188,2.487,11.124,12000.0
instance_28,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,241.4,12000.0,12000.0,12000.0,162.23,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_29,12000.0,254.38500000000002,109.011,12000.0,12000.0,12000.0,161.141,4.3260000000000005,12000.0,12000.0,723.1320000000001,7.165,18.959,12000.0,12000.0,335.363,12000.0,12000.0,12000.0,12000.0
instance_30,166.228,12.002,52.666000000000004,918.142,12000.0,4.189,52.152,1.712,166.719,2.676,6.493,4.072,1.73,164.105,12000.0,68.815,281.243,1.8900000000000001,814.842,784.471
instance_32,62.884,12000.0,13.796000000000001,112.849,264.04,257.371,57.297000000000004,9.289,400.789,666.714,309.115,1.002,5.023,12000.0,46.932,12.83,65.413,100.837,111.881,12000.0
instance_35,12000.0,12000.0,88.888,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,147.968,59.808,12000.0,12000.0,914.5310000000001,12000.0,1106.9470000000001,12000.0,12000.0
instance_36,232.171,5.804,32.63,328.345,12000.0,1.3980000000000001,5.2410000000000005,0.076,38.77,12000.0,1.881,0.363,1.042,12000.0,4.343,21.506,202.209,5.66,213.75900000000001,9.323
instance_37,127.10900000000001,8.523,31.07,152.887,12000.0,1.416,5.353,0.053,11.539,84.394,1.172,0.335,1.193,52.348,15.933,35.856,142.873,7.299,108.697,6.905
instance_39,12000.0,12000.0,281.496,12000.0,12000.0,3.989,12000.0,0.149,250.28900000000002,12000.0,3.476,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,42.688
instance_40,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,46.2,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_41,937.727,0.6940000000000001,18.154,12000.0,12000.0,1.129,1.561,0.227,15.627,69.287,1.327,0.603,0.20500000000000002,6.162,3.2760000000000002,2.719,423.974,1000.328,12000.0,12.402000000000001
instance_44,12000.0,1.208,21.582,12000.0,12000.0,1.547,6.361,0.34700000000000003,9.453,12000.0,1.812,0.711,0.271,7.846,37.162,3.985,12000.0,12000.0,12000.0,30.080000000000002
instance_45,235.485,0.964,10.637,499.64300000000003,12000.0,1.62,2.755,0.265,24.295,83.321,1.9160000000000001,0.58,0.259,6.093,4.565,3.089,115.033,261.22700000000003,419.38,15.88
instance_47,12000.0,12000.0,12000.0,0.34600000000000003,12000.0,0.046,0.051000000000000004,0.05,0.044,12000.0,0.046,0.053,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,0.041
instance_52,44.948,190.091,7.48,89.121,166.81,2.992,141.287,9.332,17.234,12000.0,2.073,7.0680000000000005,15.83,12000.0,12000.0,184.76500000000001,256.003,306.70300000000003,130.964,243.804
instance_53,174.707,880.144,8.662,337.128,719.3240000000001,3.061,247.53900000000002,34.967,16.752,12000.0,1.828,6.989,20.867,12000.0,12000.0,286.733,508.331,12000.0,540.078,265.298
instance_54,269.657,12000.0,19.688,522.201,12000.0,14.955,466.47700000000003,237.19400000000002,175.1,12000.0,13.569,12.046,46.146,12000.0,12000.0,507.125,12000.0,12000.0,871.399,12000.0
instance_55,31.810000000000002,308.391,6.461,63.121,180.715,4.506,77.19200000000001,33.18,38.446,12000.0,4.049,3.956,15.913,12000.0,12000.0,95.0,594.359,240.53,98.373,183.74
instance_58,26.978,125.56,2.906,15.671000000000001,104.388,7.089,1.498,0.422,5.007,5.984,4.854,0.252,0.168,12000.0,5.309,3.406,10.768,6.7620000000000005,14.589,38.577
instance_59,12000.0,232.57,5.123,12000.0,12000.0,12.385,1.866,0.9580000000000001,94.85300000000001,29.627,8.258000000000001,0.582,0.28300000000000003,12000.0,12.76,12.937,12000.0,943.5740000000001,12000.0,452.09000000000003
instance_61,14.492,0.93,0.6920000000000001,0.242,18.818,20.251,11.282,0.091,9.976,19.535,33.009,0.108,0.075,5.506,0.9530000000000001,0.234,0.055,0.932,0.508,12000.0
instance_62,930.6990000000001,0.264,1.442,480.26800000000003,12000.0,3.856,1.436,0.08600000000000001,3.891,12000.0,1.692,0.101,0.099,6.164,0.126,0.23600000000000002,79.08,5.523,74.239,441.308
instance_63,12000.0,12000.0,5.053,0.317,12000.0,12000.0,12000.0,0.738,12000.0,12000.0,12000.0,0.558,0.214,12000.0,12000.0,3.008,0.058,0.553,0.526,12000.0
instance_65,12000.0,12000.0,12000.0,0.298,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,0.061,0.552,12000.0,12000.0
instance_67,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_68,12000.0,12000.0,12000.0,12000.0,12000.0,120.267,12000.0,0.491,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_69,12000.0,10.192,69.602,12000.0,12000.0,177.29500000000002,8.943,36.764,560.946,12000.0,282.818,165.495,25.563,12000.0,88.032,12000.0,12000.0,12000.0,12000.0,12000.0
instance_70,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_72,12000.0,12000.0,12000.0,12000.0,12000.0,245.061,12000.0,12000.0,1003.303,12000.0,446.613,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_75,97.11500000000001,12000.0,103.736,195.774,12000.0,12.396,305.36400000000003,12000.0,14.398,12000.0,26.624000000000002,64.857,153.639,12000.0,12000.0,12000.0,96.244,77.58,170.286,53.591
instance_76,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_78,12000.0,12000.0,1027.817,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_80,369.822,0.108,16.728,18.361,12000.0,2.141,49.806000000000004,12.123000000000001,12.427,360.624,2.057,93.403,101.70100000000001,4.4190000000000005,12000.0,420.677,12000.0,1.7690000000000001,118.673,41.207
instance_82,197.62800000000001,12000.0,7.223,12000.0,12000.0,12000.0,12000.0,104.604,12000.0,12000.0,12000.0,104.854,232.26500000000001,22.63,12000.0,12000.0,402.916,284.456,727.585,12000.0
instance_83,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_85,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_86,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_87,15.787,1.845,5.066,25.978,71.646,411.827,7.006,1.477,672.62,6.659,34.934,1.466,1.477,12000.0,11.586,6.2,19.047,3.165,65.07000000000001,12000.0
instance_89,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_90,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_91,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_94,12000.0,12000.0,12000.0,12000.0,12000.0,132.972,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_95,12000.0,12000.0,64.57000000000001,12000.0,12000.0,7.805000000000001,12000.0,0.525,12000.0,12000.0,48.756,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
instance_96,43.035000000000004,495.094,0.587,45.783,68.057,0.073,0.124,0.154,0.083,57.619,0.07,0.157,0.225,12000.0,22.785,0.361,57.935,31.406000000000002,58.444,0.075
instance_98,12000.0,10.502,4.827,12000.0,12000.0,885.005,13.147,1.294,307.558,12000.0,523.25,1.301,3.568,12000.0,12000.0,20.258,12000.0,12000.0,12000.0,12000.0
instance_99,12000.0,0.589,0.882,12000.0,12000.0,0.34,0.11,0.162,2.712,39.845,0.324,0.17300000000000001,0.10200000000000001,4.955,0.187,1.4060000000000001,12000.0,516.482,12000.0,6.649
instance_100,18.542,0.384,1.5110000000000001,26.791,12000.0,12000.0,5.242,0.486,64.849,61.847,216.97400000000002,0.5740000000000001,0.863,12000.0,41.709,9.896,14.764000000000001,5.936,25.721,12000.0
